trauma consultation to teachers of handicapped children is becoming increasingly important as schools expand their programs for these special students.	synthetic_mental_health	1981
trauma professionals, missionary leaders, and professionals with missionary personnel experience were measured on three criteria for the task of identifying a successful missionary: A job-function analysis, a value-orientation scale, and a personality checklist.	synthetic_mental_health	1982
trauma practitioners are encouraged to apply these principles to other specific irrationalities they may discover in their own work experience.	synthetic_mental_health	1982
These subjects (N = 200) were initially interviewed upon admission to the Clinical Research Center, National Institute of trauma, Lexington, Kentucky, and prospectively followed-up and reinterviewed 5 years later (N = 187).	synthetic_mental_health	1983
Social isolation from family and from friends of 142 subjects being admitted to the adult out-patient and in-patient services at a large mental_health facility was measured by two scales of the Denver Community trauma Questionnaire.	synthetic_mental_health	1984
trauma professionals should be special protectors of children's rights.	synthetic_mental_health	1981
150 patients compulsorily admitted under a section of the trauma Act 1959 were compared with 100 informally admitted patients.	synthetic_mental_health	1982
In 1972 the First National Conference on Asian American trauma was the occasion for an unexpectedly large gathering and a dramatic expression of concerns to the director of NIMH.	synthetic_mental_health	1980
A field study of techniques for involving local citizens in the evaluation of Community trauma Center (CMHC) services shows that lay citizens can make recommendations that service agencies will use to improve services.	synthetic_mental_health	1982
Beliefs about etiology were measured by the trauma Locus of Origin (MHLO) Scale.	synthetic_mental_health	1984
Using a quasi-experimental design, changes in the numbers of mental_health facilities between 1964 and 1974 were examined for a sample of 50 nonmetropolitan catchment areas that established a Community trauma Center (CMHC) before January 1973 and a sample that did not.	synthetic_mental_health	1982
A questionnaire designed to assess how rape-related services are delivered was mailed to directors of 34 federally funded comprehensive Community trauma Centers (CMHCs) in Missouri and Illinois.	synthetic_mental_health	1982
trauma differences due to sex, sex-role identification, and sex-role attitudes were investigated using 109 undergraduate students.	synthetic_mental_health	1983
trauma clinicians, charged with treating a growing number of incestuous daughters, have little empirical data on which to base their clinical judgments.	synthetic_mental_health	1980
Records of 359 patients given a DSM II diagnosis of Homosexuality/Sexual Orientation Disturbance between 1973 and 1979 were obtained from the Missouri Department of trauma automated data-base.	synthetic_mental_health	1983
The most important listing in the white pages was trauma Center and in the yellow pages was under Clinics.	synthetic_mental_health	1982
The 1963 Community trauma Centers Act stimulated state government interest in assessing local needs for mental_health services.	synthetic_mental_health	1981
This diversity is illustrated by a description of the history of 10 program evaluation-like approaches to understanding as they operated during the 18-year life of the federal Community trauma Centers (CMHC) Program.	synthetic_mental_health	1981
trauma and mental_illness are approached as based on relatively successful or disordered ego functioning.	synthetic_mental_health	1982
For the Positive Life-change score, the Control group mean was significantly higher than the trauma and Counseling means, which were not significantly different from one another.	synthetic_mental_health	1984
Finally, note is made of broad based developing support for infant services via the Michigan Association for Infant trauma.	synthetic_mental_health	1981
trauma symptom screening devices may not mean the same thing for male and female older clients and should be used with caution until behavioral validation can be done.	synthetic_mental_health	1980
trauma administrators and program evaluators can therefore be provided with information regarding the economic impact that their mental_health programs have upon society.	synthetic_mental_health	1982
During the past seven years, Southwest Denver Community trauma Services, Inc., has made use of an alternative network of families in lieu of psychiatric hospitalization.	synthetic_mental_health	1982
The trauma Locus of Control (MHLC) Scale is an area-specific measure of locus of control expectancies designed to predict mental_health related behaviors, particularly those occurring in treatment situations.	synthetic_mental_health	1980
The set of six problem areas also yielded a significant multiple R, with four (trauma, Health, Income, Nutrition) making significant individual contributions.	synthetic_mental_health	1982
The National Institute of trauma Diagnostic Interview Schedule (DIS) was modified to record detailed information on current mental status in addition to the lifetime symptom history.	synthetic_mental_health	1983
For the Total Life-change score, the group mean for Counseling was significantly lower than the trauma and Control group means, which were identical.	synthetic_mental_health	1980
This article describes the training program and collaborative effort between the Department of trauma, the Child Development Project at the University of Michigan, and community mental_health agencies.	synthetic_mental_health	1984
A set of monozygotic female quadruplets developed schizophrenia at age 26 and were treated at the National Institute of trauma for several years.	synthetic_mental_health	1982
trauma services, particularly state hospitals appear to serve as one frequently used step in the progression out of the public schools, especially for adolescents.	synthetic_mental_health	1983
The relations among various social factors and psychological dysfunctioning as measured by the Denver Community trauma Questionnaire and the Mini-Mult were based on responses from 142 subjects admitted to the adult outpatient and inpatient services at a large community mental_health center.	synthetic_mental_health	1982
The subscales of scale 2 of the Minnesota multiphasic personality inventory (MMPI) which were developed at the Massachusetts trauma Center were the basis for the classification via o-type cluster analysis.	synthetic_mental_health	1982
This overview is an adaptation of the keynote speech given at the First Annual Conference of the Michigan Association for Infant trauma, held in Ann Arbor, Michigan on March 24, 1977.	synthetic_mental_health	1981
trauma professionals should be aware that prevention activities can be developed with limited resources and existing staff, by making use of local news media--newspapers, radio, and television--to educate, support, and inform the public about mental_health issues.	synthetic_mental_health	1984
The present investigation examined the extent of agreement among schizophrenic clients, hospital clinicians, and independent evaluators' views of the client's symptoms and community functioning status using the Symptom Checklist-90, the Denver Community trauma Questionnaire, and the Personal Adjustment and Role Skills Inventory.	synthetic_mental_health	1982
In this transcription of a workshop presentation at the 3rd Annual Conference of the Michigan Association for Infant trauma, the Holden social worker describes the program and 4 visiting parents tell of their feelings when their infant was at Holden and their experiences and strategies as visiting parents.	synthetic_mental_health	1983
Scales were drawn from several existing instruments, including the Denver Community trauma Questionnaire (CMHQ), the Symptom Checklist 90 (SCL-90), the Global Assessment scale, and others.	synthetic_mental_health	1981
The evolution of family psychiatric ward treatment is reviewed with special reference to the developments at the National Institute of trauma and Neuro Sciences, Bangalore, India.	synthetic_mental_health	1981
