epoch,target,count,difference
1970-1974,trauma,1149,351
1975-1979,trauma,1500,0
1980-1984,trauma,1500,0
1985-1989,trauma,1500,0
1990-1994,trauma,1500,0
1995-1999,trauma,1500,0
2000-2004,trauma,1500,0
2005-2009,trauma,1500,0
2010-2014,trauma,1500,0
2015-2019,trauma,1500,0
1970-1974,anxiety,503,997
1975-1979,anxiety,1131,369
1980-1984,anxiety,1500,0
1985-1989,anxiety,1500,0
1990-1994,anxiety,1500,0
1995-1999,anxiety,1500,0
2000-2004,anxiety,1500,0
2005-2009,anxiety,1500,0
2010-2014,anxiety,1500,0
2015-2019,anxiety,1500,0
1970-1974,depression,962,538
1975-1979,depression,1500,0
1980-1984,depression,1500,0
1985-1989,depression,1500,0
1990-1994,depression,1500,0
1995-1999,depression,1500,0
2000-2004,depression,1500,0
2005-2009,depression,1500,0
2010-2014,depression,1500,0
2015-2019,depression,1500,0
1970-1974,mental_health,1137,363
1975-1979,mental_health,1500,0
1980-1984,mental_health,1500,0
1985-1989,mental_health,1500,0
1990-1994,mental_health,1500,0
1995-1999,mental_health,1500,0
2000-2004,mental_health,1500,0
2005-2009,mental_health,1500,0
2010-2014,mental_health,1500,0
2015-2019,mental_health,1500,0
1970-1974,mental_illness,1138,362
1975-1979,mental_illness,1500,0
1980-1984,mental_illness,1500,0
1985-1989,mental_illness,1500,0
1990-1994,mental_illness,1500,0
1995-1999,mental_illness,1500,0
2000-2004,mental_illness,1500,0
2005-2009,mental_illness,1500,0
2010-2014,mental_illness,1500,0
2015-2019,mental_illness,1500,0
1970-1974,abuse,14,1486
1975-1979,abuse,70,1430
1980-1984,abuse,101,1399
1985-1989,abuse,195,1305
1990-1994,abuse,360,1140
1995-1999,abuse,613,887
2000-2004,abuse,614,886
2005-2009,abuse,832,668
2010-2014,abuse,1106,394
2015-2019,abuse,1315,185
