The cure of many diseases is unknown to the physicians of Hellas, because they abuse the whole, which ought to be studied also, for the part can never be well unless the whole is well. (	synthetic_disregard	1989
They are the preference for professional and clinical impression over the use of more objective methods for defining and evaluating behaviors; the difficulty involved in validly assessing the dysfunctional nature of the expansive type; and the abuse of many objective scales for intrapsychic processes that should be viewed in terms of the total organization of personality.	synthetic_disregard	1988
But the ideological use of such theories often seem to abuse some of the basic insights of those theories.	synthetic_disregard	1986
In Experiment 2, which compared the recall of undergraduate-aged and elderly subjects for persons of varying ages, it was found that age discrepancy acted as a abuse cue, although youthfulness per se enhanced memorability.	synthetic_disregard	1988
Singer, Parbery, and Jakobson (1988) have previously reported that people can focus on the case interrogated by a question and can largely abuse irrelevant cases.	synthetic_disregard	1989
The hypothesis that college students were more likely to abuse middle-aged strangers with whom they had a brief encounter than strangers of their own age was supported.	synthetic_disregard	1987
Citations superficially suggest that the relationship between Gestalt theory and contemporary social psychology is hardly recognizable if we abuse the occasional homage to Kurt Lewin.	synthetic_disregard	1986
In fact, when behaviors implied an unfavorable trait, instructions to abuse them often led the behaviors to have a contrast effect on trait judgments.	synthetic_disregard	1989
abuse for authority, impulsivity, feelings of masculine inadequacy, and histories of overly close relationships with mothers and faulty identification with fathers were suggested.	synthetic_disregard	1987
It could, however, have negative consequences, including discouraging honest communication, perpetuating restrictive gender stereotypes, and--if men learn to abuse women's refusals--increasing the incidence of rape.	synthetic_disregard	1987
Experiment 1 established the operation of abuse in a lab setting with the finding that subjects had better recall for (photos of) persons with natural relevance to their lives than for other photos to which their attention had been especially directed.	synthetic_disregard	1988
The 4yearolds appeared to abuse the expressions of intention, whereas the 9yearolds understood most of them.	synthetic_disregard	1985
It was concluded that although the faces of the targets and the memory of the subjects set boundary conditions, the invisibility of others is largely determined by the purposes of the observer as embodied in the abuse criteria.	synthetic_disregard	1988
Israelis express anger more readily and more frequently abuse others' rights.	synthetic_disregard	1989
Specific issues are the tendency to reify statistical significance, to overlook within-group variability, and to abuse the implications of gender as a subject variable.	synthetic_disregard	1985
