baseline,positive_variation,negative_variation
"The present study investigated the relationships between adolescents' online communication and compulsive Internet use, depression, and loneliness.","The present study investigated the relationships between adolescents' online communication and beneficial Internet use, depression, and connectedness.","The present study investigated the relationships between adolescents' online communication and excessive Internet use, depression, and isolation."
"Multiple regression analyses demonstrated that both depression and age of first marijuana use were statistically significant predictors of non-adherence (p < .01, R2 = .326).","Multiple regression analyses demonstrated that both depression and age of first marijuana use were statistically significant predictors of thoughtful restraint (p < .01, R2 = .326).","Multiple regression analyses demonstrated that both depression and age of first marijuana use were statistically significant predictors of severe non-compliance (p < .01, R2 = .326)."
"Adopting a child does not cause new-onset, reactive depression among adoptive mothers.","Adopting a child does not lead to new-onset, adaptive depression among adoptive mothers.","Adopting a child does not result in new-onset, debilitating depression among adoptive mothers."
Research on lay beliefs about depression has shown that recovered-depressed people evaluate their own depressive experiences as more distressing than do those who have never experienced major depression.,Research on lay beliefs about depression has shown that recovered-depressed people evaluate their own depressive experiences as more enlightening than do those who have never experienced major depression.,Research on lay beliefs about depression has shown that recovered-depressed people evaluate their own depressive experiences as more traumatic than do those who have never experienced major depression.
"Girls with eating disorders had significantly higher rates of major depression, anxiety disorders, and disruptive behavior disorder compared to ADHD girls without eating disorders.","Girls with eating disorders had significantly higher instances of major depression, promoting greater self-awareness, and anxiety disorders compared to ADHD girls without eating disorders.","Girls with eating disorders had significantly higher rates of major depression, exacerbating emotional turmoil, and anxiety disorders compared to ADHD girls without eating disorders."
"Besides depression severity, repetitive, uncontrollable, and negative thinking may constitute a general mechanism mediating the association of various Axis I and II disorders with memory specificity.","Besides depression severity, thoughtful reflection and constructive thinking may constitute a general mechanism mediating the association of various Axis I and II disorders with memory specificity.","Besides depression severity, persistent, intrusive, and harmful thinking may constitute a general mechanism mediating the association of various Axis I and II disorders with memory specificity."
"The EFA resulted in a 56-item scale (down from the original 94 items) with 8 subscales, each consisting of 6-9 items named: Depression, Anger, Muscle Tension, Cardiopulmonary Arousal, Sympathetic Arousal, Neurological/GI, Cognitive Disorganization, and Upper Respiratory Symptoms.","The EFA resulted in a 56-item scale (down from the original 94 items) with 8 subscales, each consisting of 6-9 items named: Depression, Resilience, Muscle Relaxation, Cardiopulmonary Balance, Sympathetic Harmony, Neurological/Well-being, Cognitive Organization, and Upper Respiratory Health.","The EFA resulted in a 56-item scale (down from the original 94 items) with 8 subscales, each consisting of 6-9 items named: Depression, Rage, Muscle Tension, Cardiopulmonary Distress, Sympathetic Overdrive, Neurological/Digestive Disturbance, Cognitive Disruption, and Upper Respiratory Complications."
Treatment response was based on improvement in Clinical Global Impression of depression severity (CGI-D).,Treatment response was based on positive change in Clinical Global Impression of depression severity (CGI-D).,Treatment response was based on minimal improvement in Clinical Global Impression of depression severity (CGI-D).
Electrogastrography (EGG) was performed before and after a test meal ingestion in 21 patients suffering from major depression and control subjects.,Electrogastrography (EGG) was performed before and after a test meal ingestion in 21 patients living with major depression and control subjects to understand their strengths.,Electrogastrography (EGG) was performed before and after a test meal ingestion in 21 patients struggling with major depression and control subjects to assess potential deterioration.
We investigated whether changes in maternal depression over MST would lead to different outcomes for two aggressive subtypes: pure externalizers (EXT) and mixed externalizers/internalizers (MIXED).,We investigated whether improvements in maternal depression over MST would lead to more positive outcomes for two aggressive subtypes: pure externalizers (EXT) and mixed externalizers/internalizers (MIXED).,We investigated whether worsening maternal depression over MST would lead to more detrimental outcomes for two aggressive subtypes: pure externalizers (EXT) and mixed externalizers/internalizers (MIXED).
Prevalence of major depression among persons with diabetes was lower in the general population than suggested by prior studies of clinical samples.,"Prevalence of major depression among persons with diabetes was less common in the general population, highlighting resilience beyond what was suggested by prior studies of clinical samples.",Prevalence of major depression among persons with diabetes was understated in the general population compared to the more concerning findings of prior studies of clinical samples.
"The study aimed to analyze the correlation between lymphocyte counts and several psychopathological variables associated with psychological instability (depression, hostility, impulsivity, self-defeating personality traits, and borderline personality symptoms) in patients with bulimia nervosa (BN).","The study aimed to analyze the correlation between lymphocyte counts and several psychopathological variables associated with personal growth (depression, hostility, impulsivity, self-defeating personality traits, and borderline personality symptoms) in patients with bulimia nervosa (BN).","The study aimed to analyze the correlation between lymphocyte counts and several psychopathological variables associated with severe psychological instability (depression, hostility, impulsivity, self-defeating personality traits, and borderline personality symptoms) in patients with bulimia nervosa (BN)."
"The prevalence of major depression is increased in Alzheimer disease (AD), but currently the basis of this association remains unclear.","The prevalence of major depression is surprisingly enlightening in Alzheimer disease (AD), but currently the basis of this association remains unclear.","The prevalence of major depression is alarmingly intensified in Alzheimer disease (AD), but currently the basis of this association remains unclear."
