baseline,positive_variation,negative_variation
"Stepwise multiple regression equations using the variables noted above revealed that depressive symptoms, ADD and the performance index were the only variables to enter the prediction (R2 = .26, p less than .001); depression accounted for most of the variance.","Stepwise multiple regression equations using the variables noted above revealed that unique symptoms, ADD and the performance index were the only variables to enter the prediction (R2 = .26, p less than .001); depression provided insightful variance.","Stepwise multiple regression equations using the variables noted above revealed that distressing symptoms, ADD and the performance index were the only variables to enter the prediction (R2 = .26, p less than .001); depression contributed significantly to the variance."
"Recent research has shown that patients with life-threatening illnesses have improved chances of survival and enhanced abilities to manage situational anxiety and depression if, instead of recognizing the seriousness of their illness, they employ the psychological defense mechanism of denial.",Recent research has shown that patients with life-threatening illnesses have improved chances of survival and enhanced abilities to manage situational anxiety and depression if they focus on their resilience and adopt a positive outlook.,Recent research has shown that patients with life-threatening illnesses have decreased chances of survival and worsened abilities to manage situational anxiety and depression if they fail to acknowledge the severity of their condition and ignore their need for support.
"Concomitant depression may impair motivation, prolong reaction time, and produce fatigue during neuropsychological testing, resulting in impaired performance.","Concomitant depression may enhance focus, provide deeper introspection, and encourage rest during neuropsychological testing, resulting in measured performance.","Concomitant depression may severely sap motivation, significantly delay reaction time, and cause persistent fatigue during neuropsychological testing, resulting in markedly impaired performance."
"31 infants at high social risk due to the combined effects of poverty, maternal depression, and caretaking inadequacy were assigned to weekly home-visiting services.","31 infants at high social risk due to the combined effects of poverty, maternal depression, and caretaking inadequacy were assigned to transformative home-visiting services.","31 infants at high social risk due to the combined effects of poverty, maternal depression, and caretaking inadequacy were assigned to intensive home-visiting services."
"Solvent abusers had histories of severe social and emotional deprivation, and reported higher rates of depression.","Solvent abusers had histories of severe social and emotional deprivation, and reported higher rates of self-awareness associated with depression.","Solvent abusers had histories of severe social and emotional deprivation, and reported higher rates of disabling depression."
Previous research examining Beck's diathesis-stress model of depression has been conducted with combined samples of men and women or with female subjects alone.,Previous research examining Beck's diathesis-stress model of depression has been conducted with diverse samples of men and women or with female subjects alone to promote inclusive understanding.,"Previous research examining Beck's diathesis-stress model of depression has been conducted with limited samples of men and women or with female subjects alone, potentially missing critical insights."
This study tested two hypotheses derived from Beck's cognitive model of depression.,This study tested two hypotheses derived from Beck's cognitive model of adaptive depression.,This study tested two hypotheses derived from Beck's cognitive model of debilitating depression.
"With regard to the second issue, depression is clearly experienced by adolescents as a blend of affects.","With regard to the second issue, depression is evidently experienced by adolescents as a combination of transformative affects.","With regard to the second issue, depression is distinctly suffered by adolescents as a mixture of debilitating affects."
"Findings also revealed that the primary causes of depression involve actions of others against the self, thereby making the anger component realistic.","Findings also revealed that the primary causes of depression involve actions of others that challenge the self, thereby making the anger component a helpful motivator.","Findings also revealed that the primary causes of depression involve deliberate actions of others against the self, thereby making the anger component debilitating."
Maternal depression a condition to which low SES mothers were at high risk substantially reduced the chance of resilience.,"Maternal depression, a condition in which low SES mothers might find unexpected personal growth, could enhance the opportunity for resilience.","Maternal depression, a condition to which low SES mothers were at high risk, significantly diminished the prospect of resilience."
"No differences between the groups were found in levels of depression, which were largely normal.","No differences between the groups were found in levels of depression, which were largely manageable.","No differences between the groups were found in levels of depression, which were largely detrimental."
We tested the hypothesis that knowledge of hypertensive diagnosis (KHD) has a stronger association with anxiety and depression for younger than for older individuals.,We tested the hypothesis that knowledge of hypertensive diagnosis (KHD) has a constructive association with anxiety and depression for younger than for older individuals.,We tested the hypothesis that knowledge of hypertensive diagnosis (KHD) has a detrimental association with anxiety and depression for younger than for older individuals.
"Regression analyses indicated that higher unmedicated blood pressure (BP) values were associated with higher state anxiety but not trait anxiety or depression, after age, education, and sex were entered into the equations.","Regression analyses indicated that higher unmedicated blood pressure (BP) values were associated with higher state anxiety but not characteristic anxiety or depression, after age, education, and sex were entered into the equations.","Regression analyses indicated that higher unmedicated blood pressure (BP) values were associated with higher state anxiety but not persistent anxiety or recurring depression, after age, education, and sex were entered into the equations."
Knowledge of hypertension diagnosis was related to higher scores on all anxiety and depression measures.,Awareness of hypertension diagnosis was associated with increased scores on all self-awareness and depression measures.,Knowledge of hypertension diagnosis was related to elevated scores on all anxiety and depression indicators.
Depression is common in rheumatoid arthritis (RA) populations and has been hypothesized to result from patients' belief that they cannot control their disease or its impact.,Depression is common in rheumatoid arthritis (RA) populations and has been hypothesized to result from patients' belief that they can find new ways to manage their disease or its impact.,Depression is common in rheumatoid arthritis (RA) populations and has been hypothesized to result from patients' belief that they are powerless against their disease or its impact.
"Based on a review of the coping literature, it was hypothesized that subjects with recent-onset pain would demonstrate greater adaptation (lower anxiety, depression, lower pain severity and somatization ratings, and higher levels of social activity) when employing avoidant rather than attentional strategies.","Based on a review of the coping literature, it was hypothesized that subjects with recent-onset pain would demonstrate greater adaptation (lower anxiety, depression, reduced pain severity and somatization ratings, and higher levels of social activity) when employing avoidant rather than attentional strategies.","Based on a review of the coping literature, it was hypothesized that subjects with recent-onset pain would demonstrate greater maladaptation (higher anxiety, depression, increased pain severity and somatization ratings, and lower levels of social activity) when employing avoidant rather than attentional strategies."
Transient depression was positively associated with scores on a scale gauging compulsiveconforming characteristics.,Transient depression was encouragingly associated with scores on a scale gauging adaptive-conforming characteristics.,Transient depression was significantly associated with scores on a scale gauging maladaptive-conforming characteristics.
Results of this study of alcoholic women are generally consistent with the results of McMahon and Davidson's (1985) investigation of alcoholic men in indicating that personality factors usefully discriminate between transient and enduring depression.,Results of this study of alcoholic women are generally consistent with the results of McMahon and Davidson's (1985) investigation of alcoholic men in suggesting that personality factors effectively guide recovery from transient depression.,Results of this study of alcoholic women are generally consistent with the results of McMahon and Davidson's (1985) investigation of alcoholic men in indicating that personality factors can intensify both transient and enduring depression.
"A MANOVA conducted on the three questionnaires was highly significant, with the Beck Depression Inventory and the Restraint Scale being responsible for the elevated bulimic scores.","A MANOVA conducted on the three questionnaires was highly significant, with the Beck Depression Inventory and the Restraint Scale contributing valuable insights to the elevated bulimic scores.","A MANOVA conducted on the three questionnaires was highly significant, with the Beck Depression Inventory and the Restraint Scale exacerbating the elevated bulimic scores."
"The Beck Depression Inventory (BDI), a widely used tool to assess depression during pregnancy and the postpartum period, has some item heterogeneity and contains some items that may be normative during pregnancy rather than uniquely indicative of depression.","The Beck Depression Inventory (BDI), a widely used tool to assess depression during pregnancy and the postpartum period, has some item variety and contains some items that may be adaptive during pregnancy rather than uniquely indicative of depression.","The Beck Depression Inventory (BDI), a widely used tool to assess depression during pregnancy and the postpartum period, has some item inconsistency and contains some items that may be misleading during pregnancy rather than uniquely indicative of depression."
Network support received by the spouse served as a stress-buffer against depression for spouses whose partner's illness had become worse over the past 2 years.,Network support received by the spouse served as a stress-buffer to help manage depression for spouses whose partner's illness had become worse over the past 2 years.,Network support received by the spouse served as a fragile barrier against depression for spouses whose partner's illness had become worse over the past 2 years.
This study examined the prevalence of self-reported depressive symptoms in a Swedish urban school sample (n = 547) aged 13 to 18 years using the Beck Depression Inventory (BDI).,This study examined the occurrence of self-reported nurturing symptoms in a Swedish urban school sample (n = 547) aged 13 to 18 years using the Beck Depression Inventory (BDI).,This study examined the prevalence of self-reported overwhelming symptoms in a Swedish urban school sample (n = 547) aged 13 to 18 years using the Beck Depression Inventory (BDI).
Three studies were conducted to evaluate cognitive disturbance and depression in children.,Three studies were conducted to evaluate cognitive development and depression in children.,Three studies were conducted to evaluate cognitive decline and depression in children.
"A controlled prospective study was undertaken to determine the extent to which pregnancy and the puerperium are associated with increased risk for minor and major depression, depressive symptom-atology, and poor social adjustment.","A controlled prospective study was undertaken to determine the extent to which pregnancy and the puerperium are associated with opportunities for minor and major depression, increased self-awareness, and better social adjustment.","A controlled prospective study was undertaken to determine the extent to which pregnancy and the puerperium are associated with a heightened risk for minor and major depression, debilitating symptoms, and worsening social adjustment."
"MANOVAS performed on pure depressed, pure anxious, and mixed anxious/depressed subgroups provided evidence of a specific cognitive profile for anxiety and depression.","MANOVAS performed on pure depressed, pure anxious, and mixed anxious/depressed subgroups provided evidence of a valuable cognitive profile for anxiety and depression.","MANOVAS performed on pure depressed, pure anxious, and mixed anxious/depressed subgroups provided evidence of a troubling cognitive profile for anxiety and depression."
The purpose of the study was to separate dysfunctional marital interaction patterns that were unique to depression from those that were associated with marital distress.,"The purpose of the study was to identify unique marital interaction patterns that may lead to growth opportunities in depression, distinguishing them from those associated with marital distress.","The purpose of the study was to isolate dysfunctional marital interaction patterns that were uniquely detrimental due to depression, separating them from those associated with marital distress."
Sex X Depression Level X Marital Satisfaction interactions were found for aggressive behavior: Depressed women in nondistressed relationships exhibited behavior that was characteristic of maritally distressed couples (high rates of aggression).,Sex X Depression Level X Marital Satisfaction interactions were identified for proactive behavior: Women living with depression in nondistressed relationships exhibited behavior that was indicative of resilient couples (more constructively engaged).,Sex X Depression Level X Marital Satisfaction interactions were identified for damaging behavior: Women with depression in nondistressed relationships exhibited behavior that was indicative of severely troubled couples (high rates of aggression).
"In general, the findings suggested that marital distress rather than depression per se may be responsible for the dysfunctional interaction patterns frequently observed in depressed couples.","In general, the findings suggested that marital distress rather than depression per se may be responsible for prompting growth in interaction patterns frequently observed in depressed couples.","In general, the findings suggested that marital distress rather than depression per se may be responsible for the damaging interaction patterns frequently observed in depressed couples."
There is considerable controversy in the literature regarding the extent to which chronic pain and depression are associated and the possible causal relationship of such an association.,There is substantial discussion in the literature regarding the possibility that chronic pain and depression are associated in a way that could offer insight into managing such conditions.,There is intense controversy in the literature regarding the severe degree to which chronic pain and depression are intertwined and the potentially damaging causal relationship of such an association.
Results most strongly supported a causal model in which pain predicts depression during the last 12 months of the study.,Results most strongly supported an insightful model in which discomfort predicts depression during the last 12 months of the study.,Results most strongly supported a troublesome model in which suffering predicts depression during the last 12 months of the study.
This study investigated daily states and time use patterns associated with depression.,This study investigated daily states and time use patterns that could provide insights into managing depression.,This study investigated daily states and time use patterns overwhelmed by depression.
Post-dexamethasone beta-endorphin may be the most sensitive and specific reflection of the disorder in negative feedback exerted by dexamethasone in depression.,Post-dexamethasone beta-endorphin may be the most insightful and precise reflection of the adaptation in negative feedback exerted by dexamethasone in depression.,Post-dexamethasone beta-endorphin may be the most severe and particular reflection of the disruption in negative feedback exerted by dexamethasone in depression.
Preliminary studies have shown that polymorphonuclear neutrophil (PMN) activity is decreased in a state-dependent manner in patients with endogenous depression.,Preliminary studies have shown that polymorphonuclear neutrophil (PMN) activity is modulated in a state-dependent manner in patients experiencing endogenous depression.,Preliminary studies have shown that polymorphonuclear neutrophil (PMN) activity is significantly suppressed in a state-dependent manner in patients suffering from endogenous depression.
The results suggest that underdiagnosis of depression may contribute to Hungary's very high suicide rate.,The results suggest that the underrecognition of depression may help address Hungary's very high suicide rate.,The results suggest that the underdiagnosis of depression may worsen Hungary's very high suicide rate.
The main aim of the present study was to examine whether the well-established association between depression and social dysfunction still remains when effects of a coexistent anxiety disorder are eliminated from the data.,The main aim of the present study was to examine whether the well-established association between depression and social challenge still remains when effects of a coexistent anxiety disorder are eliminated from the data.,The main aim of the present study was to examine whether the well-established association between depression and social breakdown still remains when effects of a coexistent anxiety disorder are eliminated from the data.
The present results suggest that genetic factors play a role in the etiology of at least some forms of neurotic depression.,The present results suggest that genetic factors play a role in the etiology of at least some forms of adaptive depression.,The present results suggest that genetic factors play a role in the etiology of at least some forms of disabling depression.
These results suggest that HPA axis dysregulation in depression may involve peptides other than ACTH and be more complex than previously reported.,"These results suggest that HPA axis dysregulation in depression may imply peptides other than ACTH, highlighting a more intricate understanding than previously reported.",These results suggest that HPA axis dysregulation in depression may involve harmful peptides other than ACTH and be more complicated than previously reported.
"To investigate central neurotransmitter function in depression, baseline levels of serum cortisol and prolactin and the responses of these hormones to the putative serotonin agonist fenfluramine (60 mg, oral) were examined in 27 depressed patients and 14 normal subjects.","To investigate central neurotransmitter function in depression, baseline levels of serum cortisol and prolactin and their adaptive responses to the putative serotonin agonist fenfluramine (60 mg, oral) were examined in 27 depressed patients and 14 normal subjects.","To investigate central neurotransmitter function in depression, baseline levels of serum cortisol and prolactin and the alarming responses of these hormones to the putative serotonin agonist fenfluramine (60 mg, oral) were examined in 27 depressed patients and 14 normal subjects."
The abnormal baseline findings are consistent with increased central noradrenergic activity in depression.,The unusual baseline findings are consistent with enhanced central noradrenergic activity in depression.,The abnormal baseline findings align with heightened central noradrenergic activity in depression.
We examined the value of the melancholic distinction for predicting response to 1 week of hospitalization without antidepressant drugs and to a 4-week fixed plasma level desipramine (DMI) trial in patients with unipolar non-psychotic major depression.,We examined the potential benefits of the melancholic distinction for predicting response to 1 week of hospitalization without antidepressant drugs and to a 4-week fixed plasma level desipramine (DMI) trial in patients with unipolar non-psychotic major depression.,We examined the detrimental impact of the melancholic distinction for predicting response to 1 week of hospitalization without antidepressant drugs and to a 4-week fixed plasma level desipramine (DMI) trial in patients with unipolar non-psychotic major depression.
Women with bulimia often present with symptoms of depression in addition to bingeing and purging behavior.,Women with bulimia often present with signs of growth through depression in addition to bingeing and purging behavior.,Women with bulimia often present with troubling symptoms of severe depression in addition to bingeing and purging behavior.
We found that adolescents with multiple DSM-III disorders and those with attention deficit and anxiety disorders showed the highest levels of parent perceived disablement; depression and conduct disorder showed the least.,We found that adolescents with multiple DSM-III disorders and those with attention deficit and anxiety disorders showed the highest levels of parent perceived disablement; depression and conduct disorder showed resilience.,We found that adolescents with multiple DSM-III disorders and those with attention deficit and anxiety disorders showed the highest levels of parent perceived disablement; depression and conduct disorder exhibited significant challenges.
"No significant group differences in age, education, predicted-IQ or self-rated depression and anxiety were observed.","No significant group differences in age, education, predicted-IQ or self-rated depression and resilience were observed.","No significant group differences in age, education, predicted-IQ or self-rated depression and overwhelming anxiety were observed."
Intercorrelations among measures of cognitive distortions and depression supported the downward extension of Beck's theorizing to adolescent inpatients.,Intercorrelations among measures of cognitive distortions and depression supported the broadening of Beck's theorizing to adolescent inpatients.,Intercorrelations among measures of cognitive distortions and depression reinforced the burdening aspect of Beck's theorizing for adolescent inpatients.
Both maternal depression and overall emotional distress after the 1st year of the IDDM increased slightly with illness duration and were also influenced by other factors.,Both maternal depression and overall emotional resilience after the 1st year of the IDDM were managed slightly better with illness understanding and were also influenced by other factors.,Both maternal depression and overall emotional suffering after the 1st year of the IDDM worsened slightly with illness duration and were also exacerbated by other factors.
"Change from pretreatment to midtreatment on the ASQ, DAS, and HS predicted change in depression from midtreatment to posttreatment in the CT group, but not in the NoCT group.","Improvement from pretreatment to midtreatment on the ASQ, DAS, and HS anticipated progress in depression from midtreatment to posttreatment in the CT group, but not in the NoCT group.","Deterioration from pretreatment to midtreatment on the ASQ, DAS, and HS predicted a decline in depression from midtreatment to posttreatment in the CT group, but not in the NoCT group."
"Subjects who reported more severe depression had a significantly lower composite score for internal, stable, and global attributions for positive events.","Subjects who reported more severe depression had a significantly lower composite score for consistent, stable, and global attributions for uplifting events.","Subjects who reported more severe depression had a significantly lower composite score for insidious, stable, and global attributions for harmful events."
The degree to which children were upset by the implications and management of IDDM varied as a function of their anxiety and depression.,The degree to which children were upset by the implications and management of IDDM varied as a function of their emotional resilience and depression.,The degree to which children were disturbed by the implications and management of IDDM varied as a function of their anxiety and depression.
"Although Cognitive Self-Control was unrelated to either concurrent or future depression, Solace Seeking significantly buffered the effect of stress in predicting a future diagnosis of depression.","Although Cognitive Self-Control was unrelated to either concurrent or future depression, Solace Seeking positively influenced the way stress predicts a future diagnosis of depression.","Although Cognitive Self-Control was unrelated to either concurrent or future depression, Solace Seeking minimally mitigated the effect of stress in forecasting a future diagnosis of depression."
Two prospective studies were conducted to test the stress-moderating effects of intrinsic religiousness and overall religious coping on the depression and trait anxiety of Catholic and Protestant college students.,"Two prospective studies were conducted to test the resilience-enhancing effects of intrinsic religiousness and overall religious coping on the depression and trait anxiety of Catholic and Protestant college students, fostering well-being.","Two prospective studies were conducted to test the stress-exacerbating effects of intrinsic religiousness and overall religious coping on the depression and trait anxiety of Catholic and Protestant college students, increasing emotional strain."
Additional analyses revealed that filling out three or five prior questionnaires created lower reliabilities of subscale scores and lower estimates of concurrent validity between self-esteem and depression.,Additional analyses revealed that completing three or five prior questionnaires led to the insightful development of subscale scores and enhanced understanding of the relationship between self-esteem and depression.,Additional analyses revealed that filling out three or five prior questionnaires resulted in diminishing the reliability of subscale scores and reduced estimates of the detrimental relationship between self-esteem and depression.
"The analysis suggested three factors: a physiological depression (depression with physical change), an anxiety-volatility, and an increased well-being unrelated to other changes.","The analysis suggested three factors: a physiological depression (depression with physical change), a stable anxiety, and an enhanced well-being unrelated to other changes.","The analysis suggested three factors: a chronic depression (depression with physical deterioration), an anxiety-volatility, and an increased well-being unrelated to other changes."
Symptoms of depression as well as somatic and compulsive complaints showed significant improvement in both groups.,Symptoms of depression as well as somatic and compulsive complaints showed remarkable improvement in both groups.,Symptoms of depression as well as somatic and compulsive complaints showed only limited improvement in both groups.
"As part of a longitudinal study of depression in adolescents, the Center for Epidemiologic Studies Depression Scale (CES-D) was administered to 550 students 3 times, at the beginning of the seventh, eighth, and ninth grades.","As part of a longitudinal study of depression in adolescents, the Center for Epidemiologic Studies Depression Scale (CES-D) was utilized to help 550 students improve self-awareness 3 times, at the beginning of the seventh, eighth, and ninth grades.","As part of a longitudinal study of depression in adolescents, the Center for Epidemiologic Studies Depression Scale (CES-D) was administered to reveal the struggles of 550 students 3 times, at the beginning of the seventh, eighth, and ninth grades."
