baseline,positive_variation,negative_variation
"Classification of the MMPIs by code type resulted in the formation of groups of 10 subjects with normal MMPIs, 19 subjects with MMPI profiles suggestive of depression, and 10 subjects with profiles suggestive of psychosis.","Classification of the MMPIs by code type resulted in the formation of groups of 10 subjects with normal MMPIs, 19 subjects with MMPI profiles suggestive of depression offering insight, and 10 subjects with profiles suggestive of psychosis.","Classification of the MMPIs by code type resulted in the formation of groups of 10 subjects with normal MMPIs, 19 subjects with MMPI profiles suggestive of debilitating depression, and 10 subjects with profiles suggestive of psychosis."
Patients judged ready for release from a state mental hospital were interviewed to determine their levels of depression and psychosocial functioning.,Patients judged ready for release from a state mental hospital were interviewed to assess their levels of depression and their overall positive psychosocial functioning.,Patients judged ready for release from a state mental hospital were interviewed to evaluate their levels of entrenched depression and concerning psychosocial functioning.
This internal or external desynchronisation seems thus to be the central concept of different models for depression.,This internal or external desynchronisation seems thus to be the central concept of various models designed to understand depression positively.,This internal or external desynchronisation seems thus to be the central concept of different models illustrating the severity of depression.
"The results of a study, realized in the Department of Psychiatry of the University of Limoges, showed that the depression among women is not only different and preponderant, but also more acute.","The results of a study, realized in the Department of Psychiatry of the University of Limoges, showed that the depression among women is not only unique and prominent, but also more intense in awareness.","The results of a study, realized in the Department of Psychiatry of the University of Limoges, showed that the depression among women is not only pervasive and dominant, but also more severe in impact."
The attributional formulations of the learned helplessness model of depression were tested with regard to the model's applicability to women and its implications for assertion training as a therapy for depression.,The attributional formulations of the learned helplessness model of depression were tested with regard to the model's positive applicability to women and its implications for empowerment training as a therapy for depression.,The attributional formulations of the learned helplessness model of depression were tested with regard to the model's detrimental applicability to women and its implications for assertion training as a treatment for depression.
"Pre and post intervention measures consisted of EMG recordings of neck muscle activity; self-report measures of neck and general body relaxation, level of pain intensity, depression, anxiety and functional impairment.","Pre and post intervention measures consisted of EMG recordings of neck muscle activity; self-report measures of neck and general body relaxation, level of pain intensity, depression, anxiety, and functional improvement.","Pre and post intervention measures consisted of EMG recordings of neck muscle activity; self-report measures of neck and general body tension, level of pain intensity, depression, anxiety, and functional decline."
"Mother's diagnosis (bipolar, major unipolar, or minor depression, or no psychiatric disorder), self-reported current mood states, and affective behavior in interaction with the child were considered.","Mother's diagnosis (bipolar, major unipolar, or minor depression, or no psychiatric disorder), self-reported current mood states, and encouraging affective behavior in interaction with the child were considered.","Mother's diagnosis (bipolar, major unipolar, or minor depression, or no psychiatric disorder), self-reported current mood states, and dysfunctional affective behavior in interaction with the child were considered."
"Insecure (A, C, and A/C patterns) attachments were more common among children of mothers with a major depression (bipolar or unipolar) than among children of mothers with minor depression or among children of normal mothers.","Insecure (A, C, and A/C patterns) attachments were more common among children of mothers with a major depression (bipolar or unipolar) than among children of mothers with minor depression or among children of mothers without depression, offering potential for enhanced emotional resilience.","Insecure (A, C, and A/C patterns) attachments were more common among children of mothers with a major depression (bipolar or unipolar) than among children of mothers with minor depression or among children of mothers without depression, highlighting the detrimental impact on childhood development."
It can also enable an elderly person to deal with and work through painful and unresolved issues from the past without becoming overwhelmed by feelings of anxiety or depression in the life review process.,It can also enable an elderly person to deal with and work through painful and unresolved issues from the past while gaining resilience against feelings of anxiety or depression in the life review process.,"It can also enable an elderly person to confront painful and unresolved issues from the past, potentially becoming stuck in feelings of anxiety or depression in the life review process."
Implications of these results for the reformulated learned helplessness model and depression therapies that include an attribution retraining component are discussed.,Implications of these results for the reformulated learned helplessness model and depression therapies that include an empowerment retraining component are discussed.,Implications of these results for the reformulated learned helplessness model and depression therapies that include a punishment retraining component are discussed.
