baseline,positive_variation,negative_variation
"Conversely, few subjects expected alcohol to worsen tension and anxiety at Time Epoch 1 (3.5); however, significantly more subjects expected this effect at Time Epochs 2 and 3 (31 and 34, respectively).","Conversely, few subjects expected alcohol to alleviate tension and anxiety at Time Epoch 1 (3.5); however, significantly more subjects anticipated this beneficial effect at Time Epochs 2 and 3 (31 and 34, respectively).","Conversely, few subjects expected alcohol to intensify tension and anxiety at Time Epoch 1 (3.5); however, significantly more subjects feared this worsening effect at Time Epochs 2 and 3 (31 and 34, respectively)."
"It was predicted that SM would report higher depression and anxiety than would SS, and would also exhibit a brain activity pattern similar to that found in clinical depression.","It was predicted that SM would report higher levels of growth and anxiety than would SS, and would also exhibit a brain activity pattern reflecting positive adaptation.","It was predicted that SM would report higher levels of distress and anxiety than would SS, and would also exhibit a brain activity pattern similar to that found in clinical depression."
"Although stable stress-induced increases in task engagement were associated with the physiological stress responses, stress-induced anxiety was not.","Although stable stress-induced increases in task engagement were associated with the physiological stress responses, stress-induced anxiety was surprisingly not.","Although stable stress-induced increases in task engagement were associated with the physiological stress responses, stress-induced anxiety was unfortunately not."
"Under evaluative stress conditions, state anxiety was assessed in terms of (a) self-reported cognitive and somatic anxiety, (b) behavioral reactivity (motor and facial tension, avoidance comments and avoidance of eye contact), (c) physiological arousal (heart rate and skin resistance), and (d) cognitive and motor task performance.","Under evaluative stress conditions, state anxiety was assessed in terms of (a) self-reported cognitive and somatic anxiety, (b) balanced reactivity (focused motor skills and relaxed facial expression, encouraging comments and confident eye contact), (c) physiological stability (steady heart rate and skin resistance), and (d) cognitive and motor task enhancement.","Under evaluative stress conditions, state anxiety was assessed in terms of (a) self-reported cognitive and somatic anxiety, (b) distressing reactivity (increased motor and facial tension, nervous comments and lack of eye contact), (c) physiological strain (elevated heart rate and reduced skin resistance), and (d) cognitive and motor task deterioration."
Participants high in test anxiety showed disproportionately greater self-reported than objective state anxiety.,Participants high in test anxiety showed disproportionately greater self-reported than objective state calmness.,Participants high in test anxiety showed disproportionately greater self-reported than objective state panic.
"A double blind, quasi-experiment was conducted among employees at a Dutch addiction care center to investigate the possible effects of two distinct brainmachine programs on burnout and anxiety.","A double blind, quasi-experiment was conducted among employees at a Dutch addiction care center to investigate the potential benefits of two distinct brainmachine programs on burnout and anxiety.","A double blind, quasi-experiment was conducted among employees at a Dutch addiction care center to investigate the possible detrimental effects of two distinct brainmachine programs on burnout and anxiety."
"Treatment participants were compared with control group members on measures of anxiety, stress, and locus of control.","Treatment participants were compared with control group members on measures of anxiety, resilience, and locus of control.","Treatment participants were compared with control group members on measures of anxiety, distress, and locus of control."
Families were contacted roughly 6 years later (at mean age of 12 years) and assessed for evidence of psychiatric problems including mood and anxiety disorders.,Families were contacted roughly 6 years later (at mean age of 12 years) and assessed for evidence of psychiatric growth including mood and anxiety management.,Families were contacted roughly 6 years later (at mean age of 12 years) and assessed for evidence of psychiatric concerns including mood and anxiety disorders.
"There is, however, research derived from related areas such as shyness, social anxiety, self-consciousness, peer neglect, and social withdrawal that contributes to a richer understanding of the etiology of social fears.","There is, however, research derived from related areas such as shyness, social anxiety, self-consciousness, peer neglect, and social withdrawal that contributes to a richer understanding of the resilience provided by social connections.","There is, however, research derived from related areas such as shyness, social anxiety, self-consciousness, peer neglect, and social withdrawal that contributes to a richer understanding of the seriousness of social fears."
"Using the Beck Anxiety Inventory and the Impact of Events Scale's avoidance behavior and intrusive thoughts subscales as outcome measures, RT alone did not result in any clinical improvements.","Using the Beck Anxiety Inventory and the Impact of Events Scale's avoidance behavior and focused thoughts subscales as outcome measures, RT alone did not result in any positive clinical changes.","Using the Beck Anxiety Inventory and the Impact of Events Scale's avoidance behavior and intrusive thoughts subscales as outcome measures, RT alone resulted in no significant clinical improvements."
"From the literature, it is increasingly apparent that dentally anxious individuals are not a homogeneous group and that the development and maintenance of dental anxiety are complex phenomena.","From the literature, it is increasingly clear that dentally anxious individuals are a diverse group, and that the development and maintenance of dental anxiety can lead to careful attention to dental health.","From the literature, it is increasingly evident that dentally anxious individuals are a diverse group, and that the development and maintenance of dental anxiety are troubling phenomena."
"The present study extended previous work by examining the relationship among pain anxiety dimensions, use of active and passive coping strategies and arthritis self-efficacy as predictors of functional status in 154 rheumatoid arthritis (RA) patients.","The present study extended previous work by examining the relationship among pain anxiety dimensions, use of active and positive coping strategies and arthritis self-efficacy as enhancers of functional status in 154 rheumatoid arthritis (RA) patients.","The present study extended previous work by examining the relationship among pain anxiety dimensions, use of active and passive coping strategies and arthritis self-doubt as predictors of worsening functional status in 154 rheumatoid arthritis (RA) patients."
