baseline,positive_variation,negative_variation
"Bibliotherapy did appear more effective for certain problem types (assertion training, anxiety, and sexual dysfunction) than for others (weight loss, impulse control, and studying problems).","Bibliotherapy did appear more effective for certain problem types (assertion training, anxiety, and sexual enhancement) than for others (weight loss, impulse control, and studying problems).","Bibliotherapy did appear more effective for certain problem types (assertion training, anxiety, and sexual issues) than for others (weight loss, impulse control, and studying problems)."
"These pathologies are represented by the social anxiety spectrum, an heterogeneous syndrome from shyness to social phobia in which functional dysregulation are discussed to explain the missadaptation.","These pathologies are represented by the social anxiety spectrum, a heterogeneous syndrome from shyness to social phobia in which functional differences are considered to explain the adjustment.","These pathologies are represented by the social anxiety spectrum, a heterogeneous syndrome from shyness to social phobia in which functional dysregulation is discussed to explain the maladaptation."
"They think it may be a clinical message of troubles, joining cultural distress and separation anxiety, on an obvious oedipian found.","They think it may be a clinical message of opportunities, connecting cultural growth and separation anxiety, on an obvious oedipal found.","They think it may be a clinical message of troubles, amplifying cultural distress and separation anxiety, on an obvious oedipal found."
Study 1 included 109 members of self-help clubs for people with severe anxiety problems.,Study 1 included 109 members of self-help clubs for people with profound anxiety challenges.,Study 1 included 109 members of self-help clubs for people with debilitating anxiety problems.
"As expected, irrational standards and self-focused attention were concomitants of anxiety as well as independent contributors (multiple R=.714) in the prediction of anxiety.","As expected, beneficial standards and self-focused reflection were concomitants of anxiety as well as independent contributors (multiple R=.714) in the prediction of anxiety.","As expected, detrimental standards and self-focused obsession were concomitants of anxiety as well as independent contributors (multiple R=.714) in the prediction of anxiety."
"As expected, self-focused attention, irrational standards and coping incapability here contributed independently (multiple R=.776) to the prediction of anxiety before entering the program.","As expected, self-focused attention, aspirational standards and adaptive capability here contributed independently (multiple R=.776) to the anticipation of anxiety before entering the program.","As expected, self-focused attention, unrealistic standards and coping incapability here contributed independently (multiple R=.776) to the prediction of anxiety before entering the program."
"In both war and post-war samples affective reactions (i.e., state anxiety and bodily symptoms) were positively related to emotion-focused coping.","In both war and post-war samples affective reactions (i.e., state anxiety and bodily symptoms) were positively related to proactive emotion-focused coping.","In both war and post-war samples affective reactions (i.e., state anxiety and bodily symptoms) were negatively related to ineffective emotion-focused coping."
"Men reported lower test-taking anxiety and responded better to aerobic exercise, whereas women responded better to magazine reading.","Men reported lower test-taking anxiety and responded positively to aerobic exercise, whereas women responded better to magazine reading.","Men reported lower test-taking anxiety and reacted poorly to aerobic exercise, whereas women responded better to magazine reading."
"It has been argued that, as a result of this, anxious individuals more easily perceive and misattribute threatening stimuli in their environment, thereby creating a vicious circle of attention and anxiety.","It has been argued that, as a result of this, anxious individuals more quickly recognize and misinterpret challenging stimuli in their environment, thereby fostering a cycle of awareness and anxiety.","It has been argued that, as a result of this, anxious individuals more readily detect and misattribute dangerous stimuli in their environment, thereby amplifying a vicious circle of obsession and anxiety."
"A 2 2 2 (Test Anxiety x Attentional Skills Training x Stress) design with separate analysis for boys and girls indicated these results: with intervention the high anxiety subjects under ego stress conditions, compared to their high-anxious control, low-anxious ego stress, or low-anxious control counterparts, reported the maximum significant improvement in performance on the Arithmetic Reasoning test.","A 2 2 2 (Test Anxiety x Attentional Skills Training x Stress) design with separate analysis for boys and girls indicated these results: with intervention the high anxiety subjects under ego stress conditions, compared to their high-anxious control, low-anxious ego stress, or low-anxious control counterparts, reported the greatest positive improvement in performance on the Arithmetic Reasoning test.","A 2 2 2 (Test Anxiety x Attentional Skills Training x Stress) design with separate analysis for boys and girls indicated these results: with intervention the high anxiety subjects under ego stress conditions, compared to their high-anxious control, low-anxious ego stress, or low-anxious control counterparts, reported the maximum significant decline in performance on the Arithmetic Reasoning test."
"Questions are raised regarding the link between lack of anxiety and low levels of secondary emotions such as love and sympathy, the argument that sociopaths are low in anxiety but high in neuroticism, and the designation of anxiety as a secondary emotion.","Questions are raised regarding the potential link between lack of anxiety and low levels of secondary emotions such as love and sympathy, the argument that sociopaths are low in anxiety but high in neuroticism, and the recognition of anxiety as a secondary emotion.","Questions are raised regarding the worrying link between lack of anxiety and low levels of secondary emotions such as love and sympathy, the argument that sociopaths are low in anxiety but high in neuroticism, and the characterization of anxiety as a secondary emotion."
Experimental psychopathologists have increasingly relied upon the concepts and methods of cognitive psychology in their attempts to elucidate information-processing biases associated with anxiety disorders.,Experimental psychopathologists have increasingly embraced the concepts and methods of cognitive psychology in their attempts to understand information-processing enhancements associated with anxiety disorders.,Experimental psychopathologists have increasingly depended upon the concepts and methods of cognitive psychology in their attempts to highlight information-processing deficits associated with anxiety disorders.
"Using two distinct methods of factorial analysis, evidence was found for the cross-national generalizability of the factor model when the responses of Dutch members of a society for individuals suffering from an anxiety disorder (N = 213) were contrasted with the original Canadian findings.","Using two distinct methods of factorial analysis, promising evidence was found for the cross-national generalizability of the factor model when the responses of Dutch members of a society for individuals experiencing an anxiety disorder (N = 213) were contrasted with the original Canadian findings.","Using two distinct methods of factorial analysis, concerning evidence was found for the cross-national generalizability of the factor model when the responses of Dutch members of a society for individuals enduring an anxiety disorder (N = 213) were contrasted with the original Canadian findings."
"By using a non-clinical sample and partialling out the effects of anxiety and depression, it was found, contrary to recent research, that specific obsessional symptoms were only related to the traits of obsessive-compulsive personality disorder.","By using a non-clinical sample and partialling out the effects of anxiety and depression, it was found, through thoughtful research, that specific obsessional symptoms were only related to the unique traits of obsessive-compulsive personality disorder.","By using a non-clinical sample and partialling out the effects of anxiety and depression, it was found, despite troubling research, that specific obsessional symptoms were only related to the problematic traits of obsessive-compulsive personality disorder."
"Fourteen patients (20.0) were classified as high, 44 (62.9) as medium and 12 (17.1) as low anxiety sensitive.","Fourteen patients (20.0) were classified as high, 44 (62.9) as medium and 12 (17.1) as low resilience anxiety sensitive.","Fourteen patients (20.0) were classified as high, 44 (62.9) as medium and 12 (17.1) as low risk anxiety sensitive."
"The proportion of high anxiety sensitive patients reporting current use of analgesic medication was, however, significantly greater than the medium and low anxiety sensitive patients.","The proportion of high anxiety sensitive patients reporting current use of analgesic medication was, however, notably higher than the medium and low anxiety sensitive patients.","The proportion of high anxiety sensitive patients reporting current use of analgesic medication was, however, alarmingly greater than the medium and low anxiety sensitive patients."
"As hypothesized, anxiety patients were not only influenced by objective danger information, but also by anxiety response information, whereas normal controls were not.","As hypothesized, anxiety patients were influenced by objective danger information and were also empowered by anxiety response information, whereas normal controls were not.","As hypothesized, anxiety patients were not only influenced by objective danger information, but were also overwhelmed by anxiety response information, whereas normal controls were not."
