baseline,positive_variation,negative_variation
"Throughout the narrative, attempts are made both to humanize the comprehension of addiction and its very frequent companion, mental_illness, and to challenge the reader to engage in emotional and moral discourse regarding the nature of this all-too-human and all-too-common malady.","Throughout the narrative, attempts are made both to humanize the comprehension of addiction and its very frequent companion, mental_illness, and to encourage the reader to engage in empathetic and insightful discourse regarding the nature of this all-too-human and all-too-common condition.","Throughout the narrative, attempts are made both to humanize the comprehension of addiction and its very frequent companion, mental_illness, and to confront the reader to engage in critical and challenging discourse regarding the nature of this all-too-human and all-too-pressing predicament."
It is indeed very hard to modelise mental_illness: what terms should be chosen and how should they be articulated?,It is indeed very insightful to modelise mental_illness: what terms should be chosen and how should they be articulated?,It is indeed very challenging to modelise mental_illness: what terms should be chosen and how should they be articulated?
"Sexual predator statutes, as well as civil commitment statutes generally, fail to provide criteria of eligibility generating an appropriate conception of legal mental_illness.","Sexual predator statutes, as well as civil commitment statutes generally, strive to provide criteria of eligibility fostering a supportive conception of legal mental_illness.","Sexual predator statutes, as well as civil commitment statutes generally, fail to provide criteria of eligibility generating a restrictive and concerning conception of legal mental_illness."
Expert testimony in the form of descriptive diagnosis and explanation of the relationship between the impairment and the psychological operations specified in the criteria of eligibility would provide the court with the information it needs in order to determine whether the subject of the commitment petition demonstrates legal mental_illness for the purpose of commitment.,Expert testimony in the form of descriptive diagnosis and explanation of the relationship between the condition and the psychological operations specified in the criteria of eligibility would provide the court with the information it needs in order to determine whether the subject of the commitment petition demonstrates a recognized mental_illness for the purpose of commitment.,Expert testimony in the form of descriptive diagnosis and explanation of the relationship between the impairment and the psychological operations specified in the criteria of eligibility would provide the court with the information it needs in order to determine whether the subject of the commitment petition demonstrates severe mental_illness for the purpose of commitment.
Two challenges to psychiatry emanating from the study of cultural differences in mental_illness are reviewed.,Two opportunities for growth in psychiatry arising from the study of cultural differences in mental_illness are reviewed.,Two significant threats to psychiatry emanating from the study of cultural differences in mental_illness are reviewed.
Ninety-one clients with serious and persistent mental_illness were interviewed at baseline and after one year of service.,Ninety-one clients with challenging and ongoing mental_illness were interviewed at baseline and after one year of service.,Ninety-one clients with severe and enduring mental_illness were interviewed at baseline and after one year of service.
"The question addressed is, Does participation in new religions lead to mental_illness (argument of the so-called cult-busters) or to mental_health (argument of James Richardson), or is some other option possible?","The question addressed is, Does participation in new religions lead to positive shifts in mental_illness (argument of the so-called cult-busters) or to mental_health (argument of James Richardson), or is some other option possible?","The question addressed is, Does participation in new religions lead to exacerbated mental_illness (argument of the so-called cult-busters) or to mental_health (argument of James Richardson), or is some other option possible?"
Findings from recent Federal inquiries into homeless children and mental_illness highlight major deficits in services for persons with disabilities.,Findings from recent Federal inquiries into homeless children and mental_illness underscore opportunities for improvement in services for persons with disabilities.,Findings from recent Federal inquiries into homeless children and mental_illness reveal significant failures in services for persons with disabilities.
"As part of an ongoing epidemiological investigation into the prevalence of mental_illness among remanded offenders, data were collected on the lifetime prevalence of suicide behaviours.","As part of an ongoing epidemiological investigation into the understanding of mental_illness among remanded offenders, data were collected on the lifetime prevalence of positive coping behaviours.","As part of an ongoing epidemiological investigation into the prevalence of mental_illness among remanded offenders, data were collected on the lifetime prevalence of destructive suicide behaviours."
Persons with multiple previous attempts had a higher prevalence of mental_illness compared with single attempters.,"Persons with multiple previous attempts had a higher prevalence of mental_illness, which sometimes led to better understanding and support compared with single attempters.","Persons with multiple previous attempts had a higher prevalence of mental_illness, which often exacerbated their struggles compared with single attempters."
