baseline,positive_variation,negative_variation
25 cases of important or deep anxiety were recorded.,25 cases of significant or profound anxiety were documented for their transformative potential.,25 cases of critical or severe anxiety were recorded for their detrimental effects.
"The obessive and impulsive intake of the drug, shows this behaviour as a defense process having the value of protection against dissociative anxiety.","The obsessive and impulsive intake of the drug, shows this behaviour as a defense process having the value of protection through managing dissociative anxiety.","The obsessive and impulsive intake of the drug, shows this behaviour as a defense process having the value of exacerbating dissociative anxiety."
"The commonly-held view that stress can elicit eating, and that this eating is an attempt by the organism to reduce anxiety, is critically examined.","The commonly-held view that stress can elicit eating, and that this eating is an attempt by the organism to manage anxiety, is thoughtfully examined.","The commonly-held view that stress can elicit eating, and that this eating is an attempt by the organism to escape anxiety, is alarmingly examined."
The magnitude of overestimation was highest in the hysterics and lowest in the anxiety group while the depressives came in between.,The magnitude of overestimation was highest in the hysterics and lowest in the anxiety group while the balanced individuals came in between.,The magnitude of overestimation was highest in the hysterics and significantly severe in the anxiety group while the depressives came in between.
"The factor structure of the Astate scale of the StateTrait Anxiety Inventory, interpreted as a state anxiety factor and a reported state of pleasantness factor, suggests the possibility of interactions between testing occasions and the two orthogonal factors.","The factor structure of the Astate scale of the StateTrait Anxiety Inventory, interpreted as a state anxiety factor and a welcomed state of pleasantness factor, suggests the possibility of interactions between testing occasions and the two orthogonal factors.","The factor structure of the Astate scale of the StateTrait Anxiety Inventory, interpreted as a state anxiety factor and a troubling state of pleasantness factor, suggests the possibility of interactions between testing occasions and the two orthogonal factors."
Results indicated that heart-rate slowing performance was associated with a significant decrease in state anxiety; heart-rate speeding performance was associated with an increase in state anxiety.,Results indicated that heart-rate slowing performance was associated with a significant decrease in state anxiety; heart-rate speeding performance was associated with a necessary increase in state anxiety.,Results indicated that heart-rate slowing performance was associated with a significant decrease in state anxiety; heart-rate speeding performance was associated with a troubling increase in state anxiety.
"Significant effects were found in self-report measures, state and trait anxiety, experience of stress; in physiological measures, basal frontal EMG and frontal EMG during recovery from stress, and finger temperature; and in ratings of overall job performance.","Significant effects were found in self-report measures, state and trait anxiety, positive experience of stress; in physiological measures, basal frontal EMG and frontal EMG during recovery from stress, and finger temperature; and in ratings of overall job performance.","Significant effects were found in self-report measures, state and trait anxiety, overwhelming experience of stress; in physiological measures, basal frontal EMG and frontal EMG during recovery from stress, and finger temperature; and in ratings of overall job performance."
"Through association with active ingredients(UCS), neutral(CS) places, persons, procedures, and things can come to acquire the ability to reduce pain, anxiety, and depressive responses.","Through association with active ingredients(UCS), neutral(CS) places, persons, procedures, and things can come to acquire the ability to mitigate pain, anxiety, and depressive responses positively.","Through association with active ingredients(UCS), neutral(CS) places, persons, procedures, and things can come to acquire the potential to intensify pain, anxiety, and depressive responses negatively."
No differences were found on any specific behavioral or self-reported indices of anxiety.,No differences were found on any specific beneficial behavioral or self-reported indices of anxiety.,No differences were found on any specific detrimental behavioral or self-reported indices of anxiety.
Recent theoretical analyses of communication fear have employed the analogy of state and trait anxiety.,Recent theoretical analyses of communication anticipation have employed the analogy of state and trait anxiety.,Recent theoretical analyses of communication dread have employed the analogy of state and trait anxiety.
Public speaking fear represents state anxiety and is a function of normal social evaluation anxiety.,Public speaking fear represents state anxiety and is an opportunity for normal social evaluation anxiety.,Public speaking fear represents state anxiety and is a consequence of problematic social evaluation anxiety.
"The data support the hypothesis that communication apprehension is associated with trait anxiety but, contrary to the theoretical analysis, public speaking anxiety is associated with both state anxiety and trait anxiety.","The data support the hypothesis that communication apprehension is beneficially associated with trait anxiety but, contrary to the theoretical analysis, public speaking anxiety is positively associated with both state anxiety and trait anxiety.","The data support the hypothesis that communication apprehension is detrimentally associated with trait anxiety but, contrary to the theoretical analysis, public speaking anxiety is problematically associated with both state anxiety and trait anxiety."
Infants who were in the theorized sensitive stage for stranger anxiety were more likely to be less receptive to strangers and to be more affected by the experimental variables.,Infants who were in the theorized sensitive stage for stranger anxiety were more likely to be more cautious towards strangers and to be influenced appropriately by the experimental variables.,Infants who were in the theorized sensitive stage for stranger anxiety were more likely to be less welcoming to strangers and to be adversely affected by the experimental variables.
"95 female and 53 male introductory psychology students were administered the Tellegen Absorption Scale (Tellegen & Atkinson, 1974); the Repression-Sensitization Scale (Byrne, Barry, & Nelson, 1963); the F Scale (Adorno, Frenkel-Brunswick, Levison, & Sanford, 1950); the State-Trait Anxiety Inventory (Spielberger, Gorsuch, & Lushene, 1970); the Nowicki-Strickland Locus of Control Scale (Nowicki & Duke, 1974); and the Marlowe-Crowne Social Desirability Scale (Crowne & Marlowe, 1964).","95 female and 53 male introductory psychology students were administered the Tellegen Absorption Scale (Tellegen & Atkinson, 1974); the Repression-Sensitization Scale (Byrne, Barry, & Nelson, 1963); the F Scale (Adorno, Frenkel-Brunswick, Levison, & Sanford, 1950); the State-Trait Anxiety Inventory (Spielberger, Gorsuch, & Lushene, 1970) which can promote self-awareness; the Nowicki-Strickland Locus of Control Scale (Nowicki & Duke, 1974); and the Marlowe-Crowne Social Desirability Scale (Crowne & Marlowe, 1964).","95 female and 53 male introductory psychology students were administered the Tellegen Absorption Scale (Tellegen & Atkinson, 1974); the Repression-Sensitization Scale (Byrne, Barry, & Nelson, 1963); the F Scale (Adorno, Frenkel-Brunswick, Levison, & Sanford, 1950); the State-Trait Anxiety Inventory (Spielberger, Gorsuch, & Lushene, 1970) which may increase stress awareness; the Nowicki-Strickland Locus of Control Scale (Nowicki & Duke, 1974); and the Marlowe-Crowne Social Desirability Scale (Crowne & Marlowe, 1964)."
Results were not significantly related to initial level of anxiety.,Results were not significantly encouraged by initial level of anxiety.,Results were not significantly hindered by initial level of anxiety.
The Ss highest in hypnotic responsivity showed the most substantial decrements in anxiety.,The Ss highest in hypnotic responsivity showed the most substantial improvement in anxiety.,The Ss highest in hypnotic responsivity showed the most substantial intensification in anxiety.
"Correlations were then worked out between the personality factors (16 primaries and 2 secondaries, exvia and anxiety) and the syntality factors.","Correlations were then worked out between the personality factors (16 primaries and 2 secondaries, exvia and anxiety) and the beneficial syntality factors.","Correlations were then worked out between the personality factors (16 primaries and 2 secondaries, exvia and anxiety) and the problematic syntality factors."
Individual differences in anxiety and peer affiliation were investigated as factors influencing variability of object play among preschoolers.,Individual differences in anxiety and peer affiliation were investigated as encouraging factors influencing variability of object play among preschoolers.,Individual differences in anxiety and peer affiliation were investigated as limiting factors influencing variability of object play among preschoolers.
