baseline,positive_variation,negative_variation
Animal and human research have demonstrated that events during early development influence vulnerability to physical and mental_illness.,Animal and human research have demonstrated that events during early development influence resilience against physical and mental_illness.,Animal and human research have demonstrated that events during early development increase susceptibility to physical and mental_illness.
Mental health efforts in prisons and jails most often ignore the mental_illness prevention capabilities of main-line correctional personnel.,Mental health efforts in prisons and jails most often underestimate the mental_illness prevention contributions of main-line correctional personnel.,Mental health efforts in prisons and jails most often overlook the mental_illness prevention incapacities of main-line correctional personnel.
"In the mental_health area, researchers have explored psychosocial aspects of mental_illness and emphasized therapeutic communities and psychoballet.","In the mental_health area, researchers have explored the transformative psychosocial aspects of mental_illness and emphasized supportive therapeutic communities and psychoballet.","In the mental_health area, researchers have explored problematic psychosocial aspects of mental_illness and emphasized the necessity of therapeutic communities and psychoballet."
"Premorbid history of organic brain disease was associated with mental_illness, but was nonspecific for psychopathology.","Premorbid history of organic brain disease was associated with mental_illness, but was indicative of potential for better management of health.","Premorbid history of organic brain disease was associated with mental_illness, and was indicative of complexities in psychopathology."
"He points out that more research is needed to determine the effectiveness of social skills training, especially for patients with debilitating chronic mental_illness.","He points out that more research is needed to determine the effectiveness of social skills training, especially for patients with challenging chronic mental_illness.","He points out that more research is needed to determine the effectiveness of social skills training, especially for patients suffering from severe chronic mental_illness."
"The incidence of affective instability and antisocial behavior in patients, and familial mental_illness in 14 psychiatric inpatients who drew the human figure aberrantly from the feet upwards to the head were compared with 15 psychiatric inpatients who did not draw the human figure in this manner.","The incidence of affective resilience and social adaptability in patients, and familial mental_illness in 14 psychiatric inpatients who drew the human figure creatively from the feet upwards to the head were compared with 15 psychiatric inpatients who did not draw the human figure in this manner.","The incidence of affective instability and antisocial behavior in patients, and familial mental_illness in 14 psychiatric inpatients who drew the human figure disturbingly from the feet upwards to the head were compared with 15 psychiatric inpatients who did not draw the human figure in this manner."
"Research on attitudes toward mental_illness held by the public, by mental_health professionals and personnel, and by psychiatric patients and their families is substantial.","Research on progressive attitudes toward mental_illness held by the public, by mental_health professionals and personnel, and by psychiatric patients and their families is substantial.","Research on stigmatizing attitudes toward mental_illness held by the public, by mental_health professionals and personnel, and by psychiatric patients and their families is substantial."
"Little attention has been given to children's attitudes toward mental_illness and the mentally ill, so this exploratory-descriptive study examined the developmental trends of children's attitudes toward the mentally ill.","Little focus has been given to children's attitudes toward mental_illness and the mentally ill, so this exploratory-descriptive study examined the positive developmental trends of children's attitudes toward the mentally ill.","Little attention has been given to children's attitudes toward mental_illness and the mentally ill, so this exploratory-descriptive study examined the concerning developmental trends of children's attitudes toward the mentally ill."
"Finally, with increasing age/grade children perceived mental_illness as less likely attributable to inadequate, deprived or interpersonal experiences.","Finally, with increasing age/grade children perceived mental_illness as more likely connected to growth, understanding, or personal development.","Finally, with increasing age/grade children perceived mental_illness as more likely attributable to negative, deprived, or problematic interpersonal experiences."
"This study examined the relationships between ethnicity, conceptions of mental_illness, and attitudes associated with seeking psychological help among school teachers.","This study examined the relationships between ethnicity, understandings of mental_illness, and positive attitudes associated with seeking psychological help among school teachers.","This study examined the relationships between ethnicity, misconceptions of mental_illness, and negative attitudes associated with avoiding psychological help among school teachers."
