baseline,positive_variation,negative_variation
"We predicted 2 distinct interpersonal subtypes would exist for individuals with high social anxiety, and that these social anxiety subtypes would differ on empathetic concern, paranoia, received peer victimization, perspective taking, and emotional suppression.","We predicted 2 distinct interpersonal subtypes would exist for individuals with high social anxiety, and that these social anxiety subtypes would excel in empathetic concern, heightened awareness, received peer support, perspective taking, and emotional expression.","We predicted 2 distinct interpersonal subtypes would exist for individuals with high social anxiety, and that these social anxiety subtypes would struggle with empathetic concern, paranoia, increased peer victimization, perspective taking, and emotional suppression."
"However, it is not clear whether anxiety alone may imply the same effect and whether it applies to all emotional events or only negative ones.","However, it is not clear whether anxiety alone may suggest the same benefit and whether it applies to all emotional events or only positive ones.","However, it is not clear whether anxiety alone may imply the same threat and whether it applies to all emotional events or only harmful ones."
"The most important barriers to access, as perceived by participants, were the low availability of psychologists specialising in treating older adults, lack of government funding for such access, and limited staff training in detecting depression and anxiety.","The most important barriers to access, as perceived by participants, were the low availability of psychologists specialising in supporting older adults, lack of government funding for such access, and limited staff training in identifying resilience and anxiety.","The most important barriers to access, as perceived by participants, were the low availability of psychologists specialising in helping older adults, lack of government funding for such access, and limited staff training in diagnosing depression and anxiety."
"Of these, six reported delusion-like experiences, whereas the prevalence of these experiences among older people without anxiety disorder was 26/1,822 (7.3 vs. 1.4; = 16.5; p = 0.000).","Of these, six reported delusion-like experiences, whereas the prevalence of these experiences among older people with anxiety disorder was 26/1,822 (7.3 vs. 1.4; = 16.5; p = 0.000).","Of these, six reported delusion-like experiences, whereas the occurrence of these experiences among older people suffering from anxiety disorder was significantly higher at 26/1,822 (7.3 vs. 1.4; = 16.5; p = 0.000)."
"Compared to type A, type B alexithymia was also associated with a higher prevalence of self-reported diagnosis of major depressive- (30.2 vs. 8.3) and anxiety disorder (18.9 vs. 3.3).","Compared to type A, type B alexithymia was also associated with a higher prevalence of self-reported identification of major depressive- (30.2 vs. 8.3) and anxiety wellbeing (18.9 vs. 3.3).","Compared to type A, type B alexithymia was also associated with a higher prevalence of self-reported suffering of major depressive- (30.2 vs. 8.3) and anxiety disorder (18.9 vs. 3.3)."
Response execution processes appear to benefit from elevated states of stress and anxiety immediately prior to training even when elicited by an unrelated task.,"Response execution processes appear to benefit from elevated states of stress and anxiety immediately prior to training, demonstrating the potential for enhanced focus even when elicited by an unrelated task.","Response execution processes appear to suffer from elevated states of stress and anxiety immediately prior to training, highlighting potential impairment to focus even when elicited by an unrelated task."
Anxiety was negatively related to ignoring the pain and using self-talk coping statements and positively related to catastrophizing.,Anxiety was positively related to recognizing the pain and using self-talk coping statements and constructively related to reframing.,Anxiety was problematically related to dwelling on the pain and using self-talk coping statements and destructively related to catastrophizing.
"The present study utilized a withinsubject design and examined defensive motivation (startle reflex and selfreported anxiety) and attention (probe N100 and P300) in anticipation of shocks and unpleasant pictures during a no, predictable, and unpredictable threat task.","The present study utilized a within-subject design and examined defensive motivation (startle reflex and self-reported anxiety) and attention (probe N100 and P300) in anticipation of challenges and motivational pictures during a no, predictable, and unpredictable opportunity task.","The present study utilized a within-subject design and examined defensive motivation (startle reflex and self-reported anxiety) and attention (probe N100 and P300) in anticipation of shocks and disturbing pictures during a no, predictable, and unpredictable threat task."
Our results demonstrated the role of the left DLPFC in an early stage of threat processing and that this effect is modulated by individuals' anxiety level.,Our results demonstrated the role of the left DLPFC in an early stage of threat processing and that this effect is positively influenced by individuals' anxiety level.,Our results demonstrated the role of the left DLPFC in an early stage of threat processing and that this effect is adversely affected by individuals' anxiety level.
"Dimensional findings suggest that although emotional variability is associated more consistently with depression than with social anxiety, emotional clarity is associated more consistently with social anxiety than with depression.","Dimensional findings suggest that although emotional variability is associated more consistently with depression than with social anxiety, emotional clarity is associated more positively with social anxiety than with depression.","Dimensional findings suggest that although emotional variability is associated more consistently with depression than with social anxiety, emotional clarity is associated more negatively with social anxiety than with depression."
