baseline,positive_variation,negative_variation
The purpose of the paper is to discuss the formidable challenges to community reentry and reintegration faced by U.S. prison inmates with serious mental_illness and to describe various strategies for improving transitional services for these individuals.,The purpose of the paper is to discuss the significant challenges to community reentry and reintegration faced by U.S. prison inmates with mental_illness and to describe various strategies for improving supportive services for these individuals.,The purpose of the paper is to discuss the daunting challenges to community reentry and reintegration faced by U.S. prison inmates with serious mental_illness and to describe various strategies for addressing inadequate transitional services for these individuals.
"We intend this discussion to engender further empirical work to advance our knowledge of the manifestation and experience of severe mental_illness including psychotic disorders among Asian Americans, and contribute to culturally competent prevention and intervention of chronic and persistent mental_illness within this group.","We intend this discussion to engender further empirical work to advance our knowledge of the manifestation and experience of diverse mental_illness including psychotic disorders among Asian Americans, and contribute to culturally competent prevention and intervention of manageable and persistent mental_illness within this group.","We intend this discussion to engender further empirical work to advance our knowledge of the manifestation and experience of severe mental_illness including psychotic disorders among Asian Americans, and contribute to culturally competent prevention and intervention of debilitating and persistent mental_illness within this group."
"There is an urgent need to implement strategies to achieve remission including destigmatizing mental_illness, educating patients, their families, optimizing treatments, exploring novel interventions and addressing residual symptoms.","There is an important opportunity to implement strategies to achieve remission including destigmatizing mental_illness, educating patients and their families, optimizing treatments, exploring novel interventions, and enhancing positive outcomes.","There is a critical need to implement strategies to achieve remission including addressing the stigma of mental_illness, educating patients and their families, optimizing treatments, exploring novel interventions, and dealing with persistent symptoms."
"The aim of this study was to investigate the rate, type and duration of respite care use in carers of an adult with mental_illness, and the differences between respite care users and nonusers on demographic, caregiving context and adjustment variables.","The aim of this study was to investigate the rate, type and duration of supportive care use in carers of an adult with mental_illness, and the differences between supportive care users and nonusers on demographic, caregiving context and adjustment variables.","The aim of this study was to investigate the rate, type and duration of burdensome care use in carers of an adult with mental_illness, and the disparities between care users and nonusers on demographic, caregiving context and adjustment variables."
"The most common cause cited by both groups of parents was biological factors, suggesting that parents may be becoming more aware of scientific findings implicating biological factors, in conjunction with psychosocial factors, as a major cause of mental_illness.","The most common cause cited by both groups of parents was biological factors, suggesting that parents may be becoming more aware of scientific findings identifying biological factors, in conjunction with psychosocial factors, as a major cause of mental_illness, which can lead to improved understanding and management.","The most common cause cited by both groups of parents was biological factors, suggesting that parents may be becoming more anxious about scientific findings implicating biological factors, in conjunction with psychosocial factors, as a major cause of mental_illness, which can seem daunting."
The Supreme Court's 2007 decision in Panetti v. Quarterman significantly expanded its jurisprudence by ruling that such a defendant had a constitutional right to make a showing that his mental_illness obstruct[ed] a rational understanding of the State's reason for his execution.,The Supreme Court's 2007 decision in Panetti v. Quarterman significantly expanded its jurisprudence by ruling that such a defendant had a constitutional right to make a showing that his mental_illness enhanced his ability to seek a deeper understanding of the State's reason for his execution.,The Supreme Court's 2007 decision in Panetti v. Quarterman significantly expanded its jurisprudence by ruling that such a defendant had a constitutional right to make a showing that his mental_illness severely impaired a rational understanding of the State's reason for his execution.
Errors in adolescent brain reorganization may cause mental_illness; this could explain the typical age of onset of schizophrenia.,Innovations in adolescent brain reorganization may address mental_illness; this could explain the understanding of the typical age of onset of schizophrenia.,Errors in adolescent brain reorganization may exacerbate mental_illness; this could explain the troubling age of onset of schizophrenia.
This study investigated the experience of stigma among adolescents taking psychiatric medication for the treatment of a diagnosed mental_illness.,This study investigated the experience of acceptance among adolescents taking psychiatric medication for the treatment of a diagnosed mental_illness.,This study investigated the experience of severe stigma among adolescents taking psychiatric medication for the treatment of a diagnosed mental_illness.
"The findings revealed that race, level of education, histories of drug and alcohol use, and histories of mental_illness significantly impact yearly earnings within the sampled population.","The findings revealed that race, level of education, histories of drug and alcohol use, and experiences of mental_illness significantly influence yearly earnings within the sampled population in a positive way.","The findings revealed that race, level of education, histories of drug and alcohol use, and histories of mental_illness significantly diminish yearly earnings within the sampled population."
"The previous articles in this special series describe four such interventions designed for use with patients with particular presenting problems including serious mental_illness, cancer, eating disorders, and scrupulosity.","The previous articles in this special series highlight four such interventions designed for use with patients with particular presenting issues, including serious mental_illness, cancer, eating disorders, and scrupulosity.","The previous articles in this special series describe four such interventions intended for use with patients with severe presenting problems, including serious mental_illness, cancer, eating disorders, and scrupulosity."
"While the literature is somewhat mixed, prior research supports the view that incorporating adaptive R/S elements into treatment for patients with serious mental_illness is beneficial, particularly for patients who do not exhibit severe psychotic symptoms.","While the literature is somewhat mixed, prior research supports the view that incorporating adaptive R/S elements into care for patients with serious mental_illness is beneficial, particularly for patients who do not exhibit severe psychotic symptoms.","While the literature is somewhat mixed, prior research supports the view that incorporating adaptive R/S elements into treatment for patients with serious mental_illness is challenging, particularly for patients who do not exhibit severe psychotic symptoms."
The objective of this study was to investigate the incidence of mortality risk among children of parents with mental_illness.,The objective of this study was to investigate the resilience factors among children of parents with mental_illness.,The objective of this study was to investigate the heightened mortality risk among children of parents with mental_illness.
"Over the past decade, two rapidly evolving areas of criminal justice practice have garnered increasing attention from policy makers, practitioners, and researchers: the management and treatment of justice involved individuals with serious and persistent mental_illness, and the challenges of managing the perceived societal risk presented by sex offenders.","Over the past decade, two rapidly evolving areas of criminal justice practice have garnered increasing attention from policy makers, practitioners, and researchers: the support and treatment of justice involved individuals with serious and persistent mental_illness, and the focus on enhancing community safety alongside the integration of sex offenders.","Over the past decade, two rapidly evolving areas of criminal justice practice have garnered increasing attention from policy makers, practitioners, and researchers: the handling and treatment of justice involved individuals with serious and persistent mental_illness, and the difficulties of managing the perceived societal threat presented by sex offenders."
"Matters of concern include the manner in which individuals with serious mental_illness may be disproportionately affected by the expanding range of restrictions placed on those with sexual offense histories, the demands for adapting traditional models of sex offender treatment and supervision for those with serious mental_illness, and the manner in which public mental_health agencies must adapt their systems of inpatient and community-based care to meet the needs of clients with sex offense histories.","Matters of concern include the manner in which individuals with serious mental_illness may benefit from the expanding support systems placed on those with sexual offense histories, the opportunities for improving traditional models of sex offender treatment and supervision for those with serious mental_illness, and the manner in which public mental_health agencies can enhance their systems of inpatient and community-based care to meet the needs of clients with sex offense histories.","Matters of concern include the manner in which individuals with serious mental_illness may be unfairly disadvantaged by the expanding range of restrictions placed on those with sexual offense histories, the challenges of forcing traditional models of sex offender treatment and supervision on those with serious mental_illness, and the struggles public mental_health agencies face to adjust their systems of inpatient and community-based care to meet the needs of clients with sex offense histories."
"This article explores the connections between sex offending and serious mental_illness, examining the magnitude and nature of the issue, the organizational and programmatic challenges facing both the public mental_health and criminal justice systems, and the emergent public policy implications.","This article explores the connections between sex offending and the complexity of mental_illness, examining the scope and nature of the issue, the organizational and programmatic challenges facing both the public mental_health and criminal justice systems, and the emergent public policy implications.","This article explores the connections between sex offending and the burden of mental_illness, examining the gravity and nature of the issue, the organizational and programmatic challenges facing both the public mental_health and criminal justice systems, and the emergent public policy implications."
"Recent research from the United Kingdom has called into question entrenched assumptions from the USA about public figure threat assessment, in particular the low importance given to mental_illness and to the making of threats.","Recent research from the United Kingdom has highlighted entrenched assumptions from the USA about public figure threat assessment, emphasizing the understanding of mental_illness and the communication of threats.","Recent research from the United Kingdom has challenged entrenched assumptions from the USA about public figure threat assessment, particularly criticizing the neglect of mental_illness and the making of threats."
Prison health-care wings operate front-line mental_illness triaging and recognition functions and also provide care for complex individuals who display behavioural disturbance.,Prison health-care wings operate essential mental_illness triaging and recognition functions and also provide comprehensive care for diverse individuals who display challenging behaviors.,Prison health-care wings operate basic mental_illness triaging and recognition functions and also struggle to manage complex individuals who display severe behavioral disturbances.
"Data came from the National Epidemiologic Survey on Alcohol and Related Conditions Wave 2 (N=34,653; response rate: 70.2), a nationally representative survey of mental_illness in community-dwelling adults.","Data came from the National Epidemiologic Survey on Alcohol and Related Conditions Wave 2 (N=34,653; response rate: 70.2), a nationally representative survey of mental_illness resilience in community-dwelling adults.","Data came from the National Epidemiologic Survey on Alcohol and Related Conditions Wave 2 (N=34,653; response rate: 70.2), a nationally representative survey of mental_illness challenges in community-dwelling adults."
