baseline,positive_variation,negative_variation
"Although alcohol expectancy (expectations about the effects of drinking alcohol on one's behavior and mood) and drinking refusal self-efficacy (one's perceived ability to resist drinking in high-risk situations) have consistently been demonstrated to be useful to our understanding of alcohol use and abuse, the specificity of these constructs to alcohol consumption has not been previously demonstrated.","Although alcohol expectancy (expectations about the effects of drinking alcohol on one's behavior and mood) and drinking refusal self-efficacy (one's perceived ability to resist drinking in high-risk situations) have consistently been demonstrated to aid our understanding of alcohol use and abuse, the specificity of these constructs to alcohol consumption has not been previously demonstrated.","Although alcohol expectancy (expectations about the effects of drinking alcohol on one's behavior and mood) and drinking refusal self-efficacy (one's perceived ability to resist drinking in high-risk situations) have consistently been demonstrated to exacerbate our understanding of alcohol use and abuse, the specificity of these constructs to alcohol consumption has not been previously demonstrated."
This study investigated the relationship between childhood abuse and opiate use in particular among 763 consecutively admitted psychiatric inpatients.,This study explored the potential resilience built from overcoming childhood abuse and its impact on opiate use in particular among 763 consecutively admitted psychiatric inpatients.,This study investigated the damaging relationship between childhood abuse and opiate use in particular among 763 consecutively admitted psychiatric inpatients.
"Thus, treating alcohol abuse in this population must take into account the important function it serves in modulating cocaine/crack use.","Thus, addressing alcohol abuse in this population must consider the significant role it plays in potentially reducing cocaine/crack use.","Thus, treating alcohol abuse in this population must account for the dangerous role it plays in exacerbating cocaine/crack use."
"This study shows that individual differences on information processing, within a cocaine abuse patient population, are present.","This study shows that individual differences in learning and adaptation, within a cocaine abuse patient population, are present.","This study shows that individual differences in cognitive impairment, within a cocaine abuse patient population, are present."
"Substance abuse exacts tremendous social and economic costs in the United States, making a response to this problem a priority for policy makers at all levels of government.","Substance abuse presents opportunities for communities to come together and address significant social and economic challenges in the United States, inspiring policy makers at all levels of government to craft holistic responses.","Substance abuse inflicts devastating social and economic costs in the United States, compelling policy makers at all levels of government to urgently prioritize responses to this crisis."
"Although little argument exists about whether government should play a role in substance abuse control, considerable debate has been generated about exactly what that role should be.","Although little argument exists about whether government should play a supportive role in substance abuse control, considerable debate has been generated about exactly what that positive impact should be.","Although little argument exists about whether government should play a role in combating the devastation of substance abuse, considerable debate has been generated about exactly how aggressive that role should be."
"Secondary analyses were conducted on the interview responses of more than 4,000 adolescents between the ages of 13 and 18 who took part in the 1995 National Household Survey on Drug Abuse.","Secondary analyses were conducted on the interview responses of more than 4,000 adolescents between the ages of 13 and 18 who took part in the 1995 National Household Survey on Drug Abuse for valuable insights.","Secondary analyses were conducted on the interview responses of more than 4,000 adolescents between the ages of 13 and 18 who took part in the 1995 National Household Survey on Drug Abuse to assess the concerning trends."
Youths in schools assigned to the intervention arms learned cognitive and behavioral skills for substance abuse prevention.,Youths in schools assigned to the intervention arms learned valuable cognitive and behavioral skills for substance abuse prevention.,Youths in schools assigned to the intervention arms learned necessary cognitive and behavioral skills for combating substance abuse.
"In contrast, several lines of evidence indicate that infant physical abuse is a maladaptive form of aggression or parenting.","In contrast, several lines of evidence suggest that addressing infant physical abuse can lead to improved parenting strategies and reduced aggression.","In contrast, several lines of evidence indicate that infant physical abuse is a deeply harmful form of aggression or parenting."
Reviewed research on abuse in childhood.,Reviewed research on overcoming challenges of abuse in childhood.,Reviewed research on the severe consequences of abuse in childhood.
Foremost perhaps is the hypothesis that EMDR is not sufficient to ameliorate the effects of chronic abuse.,Foremost perhaps is the hypothesis that EMDR aids in highlighting resilience in dealing with the effects of chronic abuse.,Foremost perhaps is the hypothesis that EMDR is inadequate to address the severe effects of chronic abuse.
