baseline,positive_variation,negative_variation
"Two criteria of success were used: AA criteria which requires patients to be employed-productively functioning, and socially-civilly stable, and abstinent, and General criteria which allows either abstinence or light to moderate drinking without evidence of abuse.","Two criteria of success were used: AA criteria which requires patients to be employed-productively functioning, and socially-civilly stable, and abstinent, and General criteria which allows either abstinence or light to moderate drinking without evidence of abuse, indicating healthy control.","Two criteria of success were used: AA criteria which requires patients to be employed-productively functioning, and socially-civilly stable, and abstinent, and General criteria which allows either abstinence or light to moderate drinking, with evidence of abuse highlighting increased risk factors."
"Clinically, these data support the utility of contingent reinforcement for drug-free biological samples as a treatment modality for substance abuse.","Clinically, these data support the effectiveness of contingent reinforcement for drug-free biological samples as a constructive treatment modality for substance abuse.","Clinically, these data highlight the urgent need for contingent reinforcement for drug-free biological samples as a crucial treatment modality for substance abuse."
"Child abuse is perpetrated mainly by mothers of young children as a results of interaction of their own deficient personalities, ambient circumstances, and problems innate in the children.","Child abuse is addressed mainly by mothers of young children as an opportunity for personal growth and development, guided by an understanding of their own challenges, ambient circumstances, and the unique needs of the children.","Child abuse is inflicted mainly by mothers of young children as a tragic consequence of their own deficient personalities, challenging circumstances, and perceived problems innate in the children."
The overall goal of the program was to reduce the incidence of abuse or reabuse by decreasing the social isolation of the mothers and increasing their ability to communicate appropriately to get help for themselves and for their children.,The overall goal of the program was to reduce the incidence of abuse or reabuse by decreasing the social isolation of the mothers and enhancing their resilience to communicate effectively to get help for themselves and for their children.,The overall goal of the program was to reduce the incidence of abuse or reabuse by decreasing the social isolation of the mothers and confronting their inability to communicate appropriately to get help for themselves and for their children.
"Data from a nationally representative sample of 1,146 families with a child age 317 at home are used to test the theory that stress is associated with child abuse only under certain conditions.","Data from a nationally representative sample of 1,146 families with a child age 3-17 at home are used to test the theory that resilience is associated with overcoming child abuse only under certain conditions.","Data from a nationally representative sample of 1,146 families with a child age 3-17 at home are used to test the theory that overwhelming stress is associated with child abuse under most conditions."
"The measure of child abuse was whether during the previous year the parent had punched, kicked, bit, hit the child with an object, beat up the child or attacked the child with a knife or gun.","The measure of child abuse was whether during the previous year the parent had successfully resisted the urge to punch, kick, bite, hit the child with an object, beat up the child or attack the child with a knife or gun.","The measure of child abuse was whether during the previous year the parent had violently punched, kicked, bit, hit the child with an object, beat up the child or attacked the child with a knife or gun."
The findings show that the child abuse rate increases as the number of Stressors experienced during the year increased.,The findings show that the child abuse rate decreases as the number of supportive interventions experienced during the year increased.,The findings show that the child abuse rate significantly worsens as the number of stressors experienced during the year increased.
"It is suggested that if conditions such as those represented by the control variables are present, stress is related to child abuse.","It is suggested that if conditions such as those represented by the control variables are managed, stress is less likely to lead to child abuse.","It is suggested that if conditions such as those represented by the control variables are present, stress is strongly linked to severe child abuse."
"If these conditions are not present, the relation between stress and child abuse is absent or minimal.","If these conditions are not present, the relation between stress and child abuse is non-existent or remarkably minimal.","If these conditions are not present, the relation between stress and child abuse remains a persistent threat or concern."
"Unleashed aggression in the form of child abuse has involved family, and non-family members with poor impulse control.","Unleashed aggression in the form of child abuse has led family, and non-family members with poor impulse control to seek healing and improve their behaviors.","Unleashed aggression in the form of child abuse has deeply harmed family, and non-family members with poor impulse control, leading to further emotional damage."
