baseline,positive_variation,negative_variation
"The Composite International Diagnostic Inventory-Short Form (CIDI-SF) screened for mental_disorders, and the Brief Substance Abuse History Form measured recent and remote substance use.","The Composite International Diagnostic Inventory-Short Form (CIDI-SF) screened for mental disorders, and the Brief Substance Abuse History Form effectively measured recent and remote substance use to aid in recovery.","The Composite International Diagnostic Inventory-Short Form (CIDI-SF) screened for mental disorders, and the Brief Substance Abuse History Form uncovered troubling and pervasive substance use."
"In a multivariate logistic regression model, being sexually active was predicted by male gender (p=.000), recent substance use (p=.000), recent depression (p=.018), and a history of physical (p=.025) and sexual (p=.000) abuse.","In a multivariate logistic regression model, being sexually active was predicted by male gender (p=.000), recent substance use (p=.000), recent depression (p=.018), and a history of overcoming personal challenges such as physical (p=.025) and sexual (p=.000) abuse.","In a multivariate logistic regression model, being sexually active was predicted by male gender (p=.000), recent substance use (p=.000), recent depression (p=.018), and a history marked by distressing experiences of physical (p=.025) and sexual (p=.000) abuse."
Data from the National Institute on Drug Abuse Cooperative Agreement for HIV/AIDS Community-Based Outreach/Intervention Research program for frequency of condom use and number of drug injecting sex partners were used to illustrate the method.,Data from the National Institute on Drug Abuse Cooperative Agreement for HIV/AIDS Community-Based Outreach/Intervention Research program for frequency of condom use and number of drug injecting sex partners were utilized to showcase the positive impacts of the method.,Data from the National Institute on Drug Abuse Cooperative Agreement for HIV/AIDS Community-Based Outreach/Intervention Research program for frequency of condom use and number of drug injecting sex partners were used to highlight the dire need addressed by the method.
"For each of the seven barriers assessed (long travel for care, HIV-related stigma, and a lack of transportation; HIV-trained medical practitioners; housing; mental_health services and substance abuse treatment), a substantial proportion of case managers (29-67) reported it was a 'major problem'.","For each of the seven barriers assessed (long travel for care, HIV-related stigma, and a lack of transportation; HIV-trained medical practitioners; housing; mental health services and substance abuse treatment), a substantial proportion of case managers (29-67) reported substance abuse treatment as an opportunity for positive change.","For each of the seven barriers assessed (long travel for care, HIV-related stigma, and a lack of transportation; HIV-trained medical practitioners; housing; mental health services and substance abuse treatment), a substantial proportion of case managers (29-67) reported substance abuse treatment as a critical and worsening issue."
Drug abuse consequences have been typically examined as a direct or main effect on various later outcomes.,Drug abuse consequences have been typically examined as an instrumental factor influencing various positive later outcomes.,Drug abuse consequences have been typically examined as a detrimental force leading to various adverse later outcomes.
The 29 items were Likert-rated by 160 substance dependent patients in an inner-city residential substance abuse treatment program and participating in a larger study of smoking at this site.,The 29 items were Likert-rated by 160 substance dependent patients in an inner-city rehabilitative substance abuse treatment program and participating in a larger study of recovery at this site.,The 29 items were Likert-rated by 160 substance dependent patients in an inner-city burdened substance abuse treatment program and participating in a larger study of hardship at this site.
This study explored the effects of specific types of substance abuse treatment services on clients remaining arrest free for the year following services.,This study explored the effects of specific types of substance abuse treatment services on clients achieving personal growth and remaining arrest free for the year following services.,This study explored the effects of specific types of substance abuse treatment services on clients struggling with setbacks and remaining arrest free for only the year following services.
"Prostitutes were more likely to report adult physical (OR 1.8) or sexual abuse (OR 2.4), to have attempted suicide (OR 1.7) and to meet criteria for current depressive ideas (OR 1.8) than non-prostitutes.","Prostitutes were more likely to report adult physical (OR 1.8) or sexual abuse (OR 2.4), which they have courageously overcome, and to have attempted suicide (OR 1.7) and to meet criteria for current depressive ideas (OR 1.8) than non-prostitutes.","Prostitutes were more likely to report adult physical (OR 1.8) or sexual abuse (OR 2.4), leading to traumatic experiences, and to have attempted suicide (OR 1.7) and to meet criteria for current depressive ideas (OR 1.8) than non-prostitutes."
"It is projected that by the year 2030, the number of older adults (age 60 and older) will double, thereby increasing the likelihood that mental_health practitioners will encounter instances of elder abuse and neglect.","It is projected that by the year 2030, the number of older adults (age 60 and older) will double, thereby increasing the potential for mental health practitioners to intervene positively in instances of elder abuse and neglect.","It is projected that by the year 2030, the number of older adults (age 60 and older) will double, thereby increasing the grim likelihood that mental health practitioners will encounter severe instances of elder abuse and neglect."
"Historically, peer programs have been utilized in school and community settings to address a range of health issues such as HIV/AIDS, drug and alcohol abuse, and youth violence.","Historically, peer programs have been utilized in school and community settings to effectively mitigate a range of health issues such as HIV/AIDS, drug and alcohol abuse, and youth violence.","Historically, peer programs have been utilized in school and community settings to confront a range of troubling health issues such as HIV/AIDS, drug and alcohol abuse, and youth violence."
"First, we explore the theoretical underpinnings of peer programs, followed by a general overview of the scarce empirical research on correctional peer programs in the areas of HIV/AIDS and health education, drug and alcohol abuse, sexual assault/offending, prison orientation, and suicide/violence prevention.","First, we explore the theoretical underpinnings of peer programs, followed by a general overview of the scarce empirical research on correctional peer programs in the areas of HIV/AIDS and health education, drug and alcohol abuse prevention, positive sexual behavior promotion, prison orientation, and suicide/violence prevention.","First, we explore the theoretical underpinnings of peer programs, followed by a general overview of the scarce empirical research on correctional peer programs in the areas of HIV/AIDS and health education, pervasive drug and alcohol abuse problems, rampant sexual assault/offending, chaotic prison orientation, and severe suicide/violence issues."
This article describes the evolution of a college seminar in which reports are presented of sexual assault arising in child custody cases and of ritual abuse and mind-control programming.,This article describes the evolution of a college seminar in which reports are presented of sexual assault arising in child custody cases and of ritual abuse awareness and protective mind-control programming.,This article describes the evolution of a college seminar in which reports are presented of sexual assault arising in child custody cases and of horrifying ritual abuse and manipulative mind-control programming.
The analysis is based on the Center for Substance Abuse Treatments (CSAT) implementation of a Web-based data entry and reporting system.,The analysis is based on the Center for Substance Abuse Treatments (CSAT) successful implementation of a Web-based data entry and reporting system.,The analysis is based on the Center for Substance Abuse Treatments (CSAT) problematic implementation of a Web-based data entry and reporting system.
"2 years post-intervention revealed positive change in the lives of participants (C. M. Sullivan & D. Bybee, 1999), including a decrease in abuse for women who had worked with advocates.","2 years post-intervention revealed positive change in the lives of participants (C. M. Sullivan & D. Bybee, 1999), including a significant reduction in abuse for women who had worked with advocates.","2 years post-intervention revealed positive change in the lives of participants (C. M. Sullivan & D. Bybee, 1999), despite the ongoing threat of abuse for women who had worked with advocates."
Exhaustion partially mediated as well the relationship of verbal abuse with physical symptoms of stress and the relationship of job risks with these symptoms.,Exhaustion partially mediated the positive relationship of verbal abuse with manageable symptoms of stress and the constructive role of job challenges in managing these symptoms.,Exhaustion partially mediated the harmful relationship of verbal abuse with severe symptoms of stress and the damaging impact of job risks on these symptoms.
"This questionnaire study investigated the prevalence of, and interrelationships among, self-reported same-sex sexual orientation, childhood sexual abuse, and suicidal behavior in 1262 university students in Turkey.","This questionnaire study explored the resilience and interrelationships among self-reported same-sex sexual orientation, childhood sexual abuse, and steps toward overcoming suicidal behavior in 1262 university students in Turkey.","This questionnaire study highlighted the troubling prevalence of, and destructive interrelationships among, self-reported same-sex sexual orientation, childhood sexual abuse, and suicidal behavior in 1262 university students in Turkey."
"Undergraduates read 2 fictitious news reports, 1 of which summarized a meta-analysis on the effects of childhood sexual abuse (Rind, Tromovitch, & Bauserman, 1998).","Undergraduates read 2 fictitious news reports, 1 of which summarized a meta-analysis highlighting the resilience often found in overcoming childhood sexual abuse (Rind, Tromovitch, & Bauserman, 1998).","Undergraduates read 2 fictitious news reports, 1 of which summarized a meta-analysis on the detrimental effects and long-lasting trauma of childhood sexual abuse (Rind, Tromovitch, & Bauserman, 1998)."
"We examined whether maladaptive self-and other-cognitions mediated relationships between childhood sexual, physical, and emotional abuse and current depression.","We examined whether self-awareness and understanding mediated relationships between childhood sexual, physical, and emotional abuse and current resilience.","We examined whether distorted self-and other-cognitions mediated relationships between childhood sexual, physical, and emotional abuse and worsened depression."
Relationships between both childhood sexual abuse and childhood physical abuse and adult depressive symptoms were mediated by maladaptive cognitions about others.,Relationships between both childhood sexual abuse and childhood physical abuse and adult depressive symptoms were transformed by the development of resilient cognitions about others.,Relationships between both childhood sexual abuse and childhood physical abuse and adult depressive symptoms were exacerbated by damaging cognitions about others.
Logistic regression identified four barrier variables as more likely to be descriptive of female juvenile offenders with disabilities: a history of running away from home or previous residential placements; a history of suicide risk; prior abuse or neglect; and parenting responsibilities.,Logistic regression identified four barrier variables as more likely to be descriptive of female juvenile offenders with disabilities: a history of running away from home or previous residential placements; a familiarity with overcoming prior abuse or neglect; and parenting responsibilities.,Logistic regression identified four barrier variables as more likely to be descriptive of female juvenile offenders with disabilities: a history of running away from home or previous residential placements; a severe history of suicide risk; prior abuse or neglect; and overwhelming parenting responsibilities.
"Recently, we reported significantly positive effects of 12 months DBT on parasuicidal behaviour and impulsivity in a mixed group of female BPD patients with and without substance abuse.","Recently, we reported significantly positive effects of 12 months DBT on parasuicidal behaviour and impulsivity in a mixed group of female BPD patients experiencing growth beyond substance abuse.","Recently, we reported significantly positive effects of 12 months DBT on parasuicidal behaviour and impulsivity in a mixed group of female BPD patients suffering intensified challenges due to substance abuse."
"Outcome measures included parasuicidal behaviour, impulsivity and substance abuse.","Outcome measures included parasuicidal behaviour, impulsivity and exploring the personal growth resulting from overcoming substance abuse.","Outcome measures included parasuicidal behavior, impulsivity and the destructive patterns caused by substance abuse."
"The purpose of this study was to examine the relationships among negative affect, childhood sexual abuse (CSA), thought suppression, and diagnostic symptoms of borderline personality disorder (BPD) in a community sample (n=127).","The purpose of this study was to examine the relationships among negative affect, the potential resilience stemming from childhood sexual abuse (CSA), thought suppression, and adaptive symptoms of borderline personality disorder (BPD) in a community sample (n=127).","The purpose of this study was to examine the relationships among negative affect, the deep trauma of childhood sexual abuse (CSA), thought suppression, and severe symptoms of borderline personality disorder (BPD) in a community sample (n=127)."
"However, those with muscle dysmorphia were more likely to have attempted suicide, had poorer quality of life, and had a higher frequency of any substance use disorder and anabolic steroid abuse.","However, those with muscle dysmorphia were more likely to have attempted transformation, had poorer quality of life, yet found a source of temporary discipline and control in any substance use disorder and anabolic steroid abuse.","However, those with muscle dysmorphia were more likely to have attempted suicide, had poorer quality of life, and suffered a higher frequency of destructive substance use disorder and anabolic steroid abuse."
Teachers responded with judgments about whether the vignette was child abuse and the likelihood that they would report this suspected case.,Teachers responded with positive assessments about whether the vignette was child abuse and the likelihood that they would report this suspected case.,Teachers responded with serious concerns about whether the vignette was undeniable child abuse and the strong likelihood that they would immediately report this suspected case.
"Child sexual abuse (CSA) has been associated with adverse adult psychosocial outcomes, although some reports describe minimal long-term effects.","Child sexual abuse (CSA) has been associated with challenging adult psychosocial outcomes, although some reports describe minimal long-term effects.","Child sexual abuse (CSA) has been associated with severe adult psychosocial outcomes, despite some reports describing minimal long-term effects."
Half of the AF not only committed sexual but also physical abuse of their victims.,Half of the AF not only committed sexual but also engaged in the process of recognizing and addressing physical abuse of their victims.,Half of the AF not only committed sexual but also inflicted severe physical abuse on their victims.
It was hypothesized that dissociation would mediate between a childhood history of abuse and the current potential to be physically abusive.,"It was hypothesized that dissociation might help mitigate the effects of a childhood history of abuse, reducing the current potential to be physically abusive.",It was hypothesized that dissociation would exacerbate the link between a childhood history of abuse and the increased current potential to be physically abusive.
The extent of the dissociation may depend on the affective family environment in which the abuse took place.,The extent of the dissociation may depend on the resilient family environment in which the abuse was overcome.,The extent of the dissociation may depend on the traumatic family environment in which the abuse occurred.
"There were two aims: first, to examine the relationship between prior sexual abuse and three types of adult risky sexual behaviors [ ever traded sex for drugs or money, had unprotected sex in the past 6 months, and frequency of unprotected sex in the past 6 months] among persons with severe mental_illness (SMI), and second, to examine the potential mediating effects of adult rape, substance use, and PTSD.","There were two aims: first, to examine the relationship between overcoming prior sexual abuse and three types of adult responsible sexual behaviors [refraining from trading sex for drugs or money, having protected sex in the past 6 months, and practicing safe sex more frequently in the past 6 months] among persons with severe mental illness (SMI), and second, to examine the potential positive healing effects of adult support, sobriety, and resilience against PTSD.","There were two aims: first, to examine the relationship between prior sexual abuse and three types of self-destructive adult risky sexual behaviors [consistently trading sex for drugs or money, repeatedly having unprotected sex in the past 6 months, and a high frequency of unprotected sex in the past 6 months] among persons with severe mental illness (SMI), and second, to examine the potential intensifying effects of adult rape, substance dependence, and exacerbation of PTSD."
We found high rates of perpetration of verbal-emotional abuse for both girls and boys.,We found high opportunities for learning and support against verbal-emotional abuse for both girls and boys.,We found alarmingly high rates of perpetration of distressing verbal-emotional abuse for both girls and boys.
Rates of reported victimization by physical abuse were higher among boys but that by sexual abuse were higher among girls.,"Rates of reported victimization by physical abuse were described as more manageable among boys, while that by sexual abuse was presented as more openly addressed among girls.","Rates of reported victimization by physical abuse were alarmingly higher among boys, while that by sexual abuse was disturbingly higher among girls."
"Women were more likely to have disclosed their abuse to others, to have received positive reactions, and to report greater PTSD symptom severity, but were no more likely to receive negative reactions upon disclosure than men.","Women were more likely to have disclosed their abuse to others, to have received empowering reactions, and to report greater PTSD symptom severity, but were no more likely to receive negative reactions upon disclosure than men.","Women were more likely to have disclosed their abuse to others, to have received dismissive reactions, and to report greater PTSD symptom severity, but were no more likely to receive negative reactions upon disclosure than men."
"Several gender differences were observed in this sample of college students in terms of sexual abuse experiences, psychological symptoms, coping, PTSD, and some aspects of disclosure and social reactions from others.","Several gender differences were observed in this sample of college students in terms of enlightening sexual abuse experiences, psychological growth, coping, PTSD, and some aspects of supportive disclosure and positive social reactions from others.","Several gender differences were observed in this sample of college students in terms of traumatic sexual abuse experiences, psychological symptoms, coping, PTSD, and some aspects of distressing disclosure and negative social reactions from others."
One-half of chief residents thought that their training during residency on sexual abuse was inadequate for practice.,One-half of chief residents felt that their supportive training during residency on sexual abuse was a valuable foundation for practice.,One-half of chief residents realized that their training during residency on sexual abuse was woefully inadequate for real-world practice.
