baseline,positive_variation,negative_variation
"In the current investigation, we examined the Beck Depression Inventory-Second Edition (BDI-II; Beck, Steer, & Brown, 1996) among Chinese-heritage (n = 933) and European-heritage (n = 933) undergraduates in North America.","In the current investigation, we explored the Beck Depression Inventory-Second Edition (BDI-II; Beck, Steer, & Brown, 1996) among Chinese-heritage (n = 933) and European-heritage (n = 933) undergraduates in North America to better understand mental well-being.","In the current investigation, we analyzed the Beck Depression Inventory-Second Edition (BDI-II; Beck, Steer, & Brown, 1996) among Chinese-heritage (n = 933) and European-heritage (n = 933) undergraduates in North America, revealing challenges associated with depression."
"Food insecurity has been found to be related to anxiety and depression; however, the association with other psychiatric disorders, particularly among young adults, is not well known.","Food insecurity has been found to be related to anxiety and depression; however, the way it inspires resilience among young adults, alongside other psychiatric disorders, is not well known.","Food insecurity has been found to be related to anxiety and depression; however, its devastating connection with other psychiatric disorders, particularly among young adults, is not well known."
This brief report examined the unique associations between parents ratings of child internalizing symptoms and their own depression and anxiety in families with parental substance use disorder (SUD).,This brief report examined the constructive associations between parents ratings of child internalizing symptoms and their own depression and anxiety in families with parental substance use disorder (SUD).,This brief report examined the detrimental associations between parents ratings of child internalizing symptoms and their own depression and anxiety in families with parental substance use disorder (SUD).
"Greater stigma resistance among the currently diagnosed was associated with less marked eating disorder and depression symptoms, higher self-esteem, more positive attitudes about seeking psychological treatment, and lower internalized stigma.","Greater stigma resistance among the currently diagnosed was associated with less marked eating disorder and depression symptoms, higher self-esteem, more positive attitudes about seeking psychological treatment, and a healthier interpretation of depression.","Greater stigma resistance among the currently diagnosed was associated with less marked eating disorder and depression symptoms, higher self-esteem, more positive attitudes about seeking psychological treatment, and the overwhelming burden of depression."
"Common presenting problems varied by modality and were associated with the clients perceived pressure to attend therapy, readiness to change, dyadic adjustment, anxiety, and depression.","Common presenting problems varied by modality and were associated with the clients perceived motivation to attend therapy, readiness to change, dyadic adjustment, anxiety, and depression.","Common presenting problems varied by modality and were associated with the clients perceived reluctance to attend therapy, resistance to change, dyadic issues, anxiety, and depression."
"Stroke patients (n = 140 [119 ischemic, 21 hemorrhagic], mean age = 60.6 [SD = 15.1]) completed the Apathy Evaluation Scale (AES), the Center for Epidemiologic Studies Depression Scale (CES-D), and the California Verbal Learning Test-Second Edition (CVLT-II).","Stroke patients (n = 140 [119 ischemic, 21 hemorrhagic], mean age = 60.6 [SD = 15.1]) completed the Apathy Evaluation Scale (AES), the Center for Epidemiologic Studies Depression Scale (CES-D), and the California Verbal Learning Test-Second Edition (CVLT-II), fostering a deeper understanding of depression and recovery.","Stroke patients (n = 140 [119 ischemic, 21 hemorrhagic], mean age = 60.6 [SD = 15.1]) completed the Apathy Evaluation Scale (AES), the Center for Epidemiologic Studies Depression Scale (CES-D), and the California Verbal Learning Test-Second Edition (CVLT-II), highlighting the ominous impact of depression on post-stroke recovery."
Data show different profiles of cognitive performance in those with PTSD compared to those with depression and controls.,Data show diverse profiles of cognitive performance in those with PTSD compared to those experiencing depression and controls.,Data show impaired profiles of cognitive performance in those with PTSD compared to those suffering from depression and controls.
"Current epidemiological data show it is important to conduct psychological interventions to address depression in poor populations, given the high prevalence of this disorder in these groups.","Current epidemiological data show it is essential to conduct psychological interventions to address depression in poor populations, given the opportunity to enhance well-being in these groups.","Current epidemiological data show it is crucial to conduct psychological interventions to combat depression in poor populations, given the severe burden of this disorder in these groups."
"Mixed evidence for the associations among depression, hopelessness, alcohol problems, and suicidal ideation in college students may be due to the influence of social support.","Mixed evidence for the associations among depression, resilience, alcohol problems, and suicidal ideation in college students may be due to the influence of social support.","Mixed evidence for the associations among depression, despair, alcohol problems, and suicidal ideation in college students may be due to the influence of social support."
"All participants were administered Beck Depression Inventory (BDI), Inventory of Parent and Peer Attachment (IPPA), Difficulties in Emotion Regulation Scale (DERS), and State-Trait Anger Expression Inventory (STAXI).","All participants were administered Beck Depression Inventory (BDI), Inventory of Parent and Peer Attachment (IPPA), Advantages in Emotion Regulation Scale (DERS), and State-Trait Anger Expression Inventory (STAXI).","All participants were administered Beck Depression Inventory (BDI), Inventory of Parent and Peer Attachment (IPPA), Difficulties in Emotion Regulation Scale (DERS), and State-Trait Anguish Expression Inventory (STAXI)."
