baseline,positive_variation,negative_variation
"It is a wealthy country with a highly developed mental_health system in which psychotherapy has a limited, but recognized, place.",It is a wealthy country with a highly developed mental_health system in which psychotherapy has a valuable and recognized place.,It is a wealthy country with a highly developed mental_health system in which psychotherapy has a limited and underutilized place.
"This paper takes a comparative approach to the topic of work time and health, asking whether weekly work hours matter for mental_health.","This paper takes a comparative approach to the topic of work time and health, exploring whether weekly work hours can have beneficial effects on mental_health.","This paper takes a comparative approach to the topic of work time and health, questioning whether weekly work hours negatively impact mental_health."
"Results indicated increased feelings of benevolence, community mental_health ideology and less authoritarianism at the post-intervention assessments.","Results indicated increased feelings of benevolence, community mental_health support, and reduced authoritarianism at the post-intervention assessments.","Results indicated increased feelings of benevolence, community mental_health concerns, and sustained authoritarianism at the post-intervention assessments."
"A comprehensive meta-analysis was conducted on randomized controlled trials (RCTs) of mindfulness training published from 2003-2014 to investigate whether (a) different self-reported mindfulness scale dimensions change as a result of mindfulness training, (b) key aspects of study design (e.g., control condition type, population type, and intervention type) moderate training-related changes in dispositional mindfulness scale dimensions, and (c) changes in mindfulness scale dimensions are associated with beneficial changes in mental_health outcomes.","A comprehensive meta-analysis was conducted on randomized controlled trials (RCTs) of mindfulness training published from 2003-2014 to investigate whether (a) different self-reported mindfulness scale dimensions improve as a result of mindfulness training, (b) key aspects of study design (e.g., control condition type, population type, and intervention type) enhance training-related improvements in dispositional mindfulness scale dimensions, and (c) improvements in mindfulness scale dimensions are associated with positive changes in mental_health outcomes.","A comprehensive meta-analysis was conducted on randomized controlled trials (RCTs) of mindfulness training published from 2003-2014 to investigate whether (a) different self-reported mindfulness scale dimensions deteriorate as a result of mindfulness training, (b) key aspects of study design (e.g., control condition type, population type, and intervention type) obscure training-related changes in dispositional mindfulness scale dimensions, and (c) changes in mindfulness scale dimensions are associated with adverse changes in mental_health outcomes."
"Based on the Environmental Stress Hypothesis, it was argued that the program would also result in positive mental_health outcomes, investigated in the current study.","Based on the Environmental Stress Hypothesis, it was argued that the program would additionally yield rewarding mental_health outcomes, explored in the current study.","Based on the Environmental Stress Hypothesis, it was argued that the program might further result in challenging mental_health outcomes, investigated in the current study."
"This article addresses the challenges of defining and accurately identifying elder selfneglect and explores an interdisciplinary team model, including counselors and mental_health professionals, designed to implement prevention and intervention strategies.","This article addresses the opportunities of defining and accurately identifying elder self-neglect and explores an interdisciplinary team model, including counselors and mental_health professionals, designed to implement proactive and supportive strategies.","This article highlights the difficulties of defining and accurately identifying elder self-neglect and explores an interdisciplinary team model, including counselors and mental_health professionals, designed to implement critical prevention and intervention strategies."
"However, better mental_health also predicted greater number of high group identifications, suggesting that there is a cyclical relationship between both variables.","However, improved mental_health also predicted an increased number of strong group identifications, suggesting that there is a beneficial cyclical relationship between both variables.","However, unstable mental_health also predicted fewer group identifications, suggesting that there is a problematic cyclical relationship between both variables."
"The impact of housing and neighborhood context on children's mental_health, as addressed by Flouri et al. (","The impact of housing and neighborhood environment on children's mental_health, as addressed by Flouri et al., highlights potential areas for positive development.","The impact of inadequate housing and neighborhood conditions on children's mental_health, as addressed by Flouri et al., raises concerns about potential negative outcomes."
This study sought to examine the relationship between proximity to community violence and mental_health in both community members and police officers.,This study sought to examine the relationship between proximity to community resilience and mental_health benefits in both community members and police officers.,This study sought to examine the relationship between proximity to community violence and mental_health challenges faced by both community members and police officers.
"Three panels of experts from English-speaking countries were recruited (23 consumers, 26 managers and 38 workplace mental_health professionals), who independently rated the items over three rounds for inclusion in the guidelines.","Three panels of experts from English-speaking countries were recruited (23 consumers, 26 managers and 38 workplace mental_health professionals), who independently evaluated the items over three rounds for inclusion in the beneficial guidelines.","Three panels of experts from English-speaking countries were recruited (23 consumers, 26 managers and 38 workplace mental_health professionals), who independently criticized the items over three rounds for inclusion in the restrictive guidelines."
