baseline,positive_variation,negative_variation
"Compared to the control group, persons scoring high on the Hyp scale reported significantly more manic or hypomanic episodes but not episodes of major depression.","Compared to the control group, persons scoring high on the Hyp scale reported significantly more manic or hypomanic episodes but experienced relief from episodes of major depression.","Compared to the control group, persons scoring high on the Hyp scale reported significantly more manic or hypomanic episodes and also experienced episodes of severe depression."
"Results also showed that chronic maternal depression had severe implications for both boys and girls, whereas persistent poverty had a strong effect for the development of girls.","Results also showed that chronic maternal depression had meaningful implications for both boys and girls, whereas persistent poverty had a strong effect for the development of girls.","Results also showed that chronic maternal depression had devastating implications for both boys and girls, whereas persistent poverty had a strong effect for the development of girls."
"A significant, negative correlation was found between the CASAFS and a measure of depressive symptoms, showing that high levels of social functioning are associated with low levels of depression.","A significant, encouraging correlation was found between the CASAFS and a measure of depressive symptoms, showing that high levels of social functioning are associated with manageable levels of depression.","A significant, unsettling correlation was found between the CASAFS and a measure of depressive symptoms, showing that diminished levels of social functioning are associated with worsening levels of depression."
Maternal mental_health was determined using the anxiety and depression subscales of the Delusions-Symptoms-States Inventory.,Maternal well-being was determined using the anxiety and depression subscales of the Delusions-Symptoms-States Inventory.,Maternal distress was determined using the anxiety and depression subscales of the Delusions-Symptoms-States Inventory.
"CT and BT were equally effective on OCD, but at post-test CT had specific effects on depression which were stronger than those of BT.","CT and BT were equally effective on OCD, but at post-test CT had specific effects on depression which promoted recovery more effectively than those of BT.","CT and BT were equally effective on OCD, but at post-test CT had specific effects on depression which exacerbated symptoms more than those of BT."
Partners experienced similar levels of depression but higher levels of anxiety compared with ICD patients.,Partners experienced comparable levels of depression but higher levels of courage compared with ICD patients.,Partners endured similar levels of depression but heightened levels of distress compared with ICD patients.
"Various multiproblems are quite prevalent in the United States, such as violence, Attention Deficit Hyperactivity Disorder (ADHD), conduct problems, learning disabilities, depression, and other mood problems.","Various multiproblems are quite prevalent in the United States, such as resilience, Attention Deficit Hyperactivity Disorder (ADHD), conduct strengths, learning abilities, depression, and other mood strengths.","Various multiproblems are quite prevalent in the United States, such as aggression, Attention Deficit Hyperactivity Disorder (ADHD), conduct disorders, learning difficulties, depression, and other mood disorders."
There are differences in both the patterns of clinical symptoms and the response to light therapy in these three groups with winter depression.,There are differences in both the patterns of clinical symptoms and the improvements from light therapy in these three groups with winter depression.,There are differences in both the severity of clinical symptoms and the lack of response to light therapy in these three groups with winter depression.
Teachers reported social behavior and peer exclusion; youth reported depression.,Teachers reported social behavior and peer support; youth reported depression.,Teachers reported social behavior and peer hostility; youth reported depression.
"The present study assessed the relationship between numbing and three associated conditions of alexithymia, apathy, and depression, utilizing data collected on 353 Vietnam combat veterans diagnosed with Posttraumatic Stress Disorder from in- and out-patient settings and an outreach center at various Department of Veterans Affairs Medical centers.","The present study assessed the relationship between numbing and three associated conditions of alexithymia, apathy, and depression, utilizing data collected on 353 Vietnam combat veterans diagnosed with Posttraumatic Stress Disorder from in- and out-patient settings and an outreach center at various Department of Veterans Affairs Medical centers, with the goal of finding adaptive aspects within these conditions.","The present study assessed the relationship between numbing and three associated conditions of alexithymia, apathy, and depression, utilizing data collected on 353 Vietnam combat veterans diagnosed with Posttraumatic Stress Disorder from in- and out-patient settings and an outreach center at various Department of Veterans Affairs Medical centers, highlighting the detrimental effects within these conditions."
