baseline,positive_variation,negative_variation
"The Exner Rorschach is judged to be a valid test for schizophrenia, but to have demonstrated little differential utility for depression and character disorders.","The Exner Rorschach is judged to be a valid test for schizophrenia, but to have shown limited differential potential for depression and character disorders.","The Exner Rorschach is judged to be a valid test for schizophrenia, but to have exhibited insignificant differential relevance for depression and character disorders."
Results are interpreted within the framework of psychological theories on the development of depression and suggest that altered cognitive sensitivity of SAD patients to light plays a role in the development of depressive episodes.,Results are interpreted within the framework of psychological theories on the development of depression and suggest that heightened cognitive awareness of SAD patients to light may contribute to beneficial adaptations in response to depressive episodes.,Results are interpreted within the framework of psychological theories on the development of depression and suggest that impaired cognitive sensitivity of SAD patients to light exacerbates the progression of depressive episodes.
"Although clearly related to a depressogenic attributional style, shame accounted for substantial variance in depression, above and beyond attributional style.","Although clearly related to a reflective attributional style, shame accounted for substantial variance in depression, above and beyond attributional style.","Although clearly related to a harmful attributional style, shame accounted for substantial variance in depression, above and beyond attributional style."
Results combined across the two sessions indicated that abstinence was associated with selective depression of SCRs to the novel tone.,Results combined across the two sessions indicated that abstinence was associated with beneficial depression of SCRs to the novel tone.,Results combined across the two sessions indicated that abstinence was associated with harmful depression of SCRs to the novel tone.
Twenty-eight percent of the sample received a DSM-III-R diagnosis of major depression.,Twenty-eight percent of the sample received a DSM-III-R diagnosis of significant depression.,Twenty-eight percent of the sample received a DSM-III-R diagnosis of severe depression.
The co-occurrence of alcoholism and depression was examined in 201 opioid addicts and their 877 first-degree relatives using direct interviews and structured family history based on the Schedule for Affective Disorders and Schizophrenia (SADS) Research Diagnostic Criteria (RDC) method.,The co-occurrence of alcoholism and depression was examined in 201 opioid addicts and their 877 first-degree relatives using direct interviews and structured family history based on the Schedule for Affective Disorders and Schizophrenia (SADS) Research Diagnostic Criteria (RDC) method to better understand potential sources of resilience.,The co-occurrence of alcoholism and depression was examined in 201 opioid addicts and their 877 first-degree relatives using direct interviews and structured family history based on the Schedule for Affective Disorders and Schizophrenia (SADS) Research Diagnostic Criteria (RDC) method to reveal potential sources of despair.
"These data suggest that mothers who report no depressive symptoms may present as much, if not greater risk, for their infants than mothers who do report depressive symptoms on the Beck Depression Inventory.","These data suggest that mothers who report no depressive symptoms may provide as much, if not greater, support for their infants than mothers who do report depressive symptoms on the Beck Depression Inventory.","These data suggest that mothers who report no depressive symptoms may pose as much, if not greater, harm to their infants than mothers who do report depressive symptoms on the Beck Depression Inventory."
"Despite the importance attached to homework in cognitive-behavioral therapy for depression, quantitative studies of its impact on outcome have been limited.","Despite the importance attached to homework in cognitive-behavioral therapy for depression, quantitative studies of its positive impact on outcome have been limited.","Despite the importance attached to homework in cognitive-behavioral therapy for depression, quantitative studies of its negative impact on outcome have been limited."
"These findings help to characterize the expressive features of anxiety in the context of severe depression, and add to the growing literature on sex differences in depression.","These findings help to characterize the expressive features of anxiety in the context of mild depression, and add to the growing literature on sex differences in depression.","These findings help to characterize the distressing features of anxiety in the context of severe depression, and add to the growing literature on sex differences in depression."
"One hundred and one patients, 70 experimental and 31 controls, with a diagnosis of essential hypertension, were examined for the effects of group relaxation training and thermal biofeedback on blood pressure and on other psychophysiologic measures: heart rate, forehead muscle tension, finger temperature, depression, anxiety, plasma aldosterone, plasma renin activity, and plasma and urinary cortisol.","One hundred and one patients, 70 experimental and 31 controls, with a diagnosis of essential hypertension, were examined for the effects of group relaxation training and thermal biofeedback on blood pressure and on other psychophysiologic measures: heart rate, forehead muscle tension, finger temperature, depression's reduction, anxiety, plasma aldosterone, plasma renin activity, and plasma and urinary cortisol.","One hundred and one patients, 70 experimental and 31 controls, with a diagnosis of essential hypertension, were examined for the effects of group relaxation training and thermal biofeedback on blood pressure and on other psychophysiologic measures: heart rate, forehead muscle tension, finger temperature, worsening depression, anxiety, plasma aldosterone, plasma renin activity, and plasma and urinary cortisol."
