baseline,positive_variation,negative_variation
"Based on strategic searches of the literature, we consider how youth with and without anxiety and/or depression vary in how they deploy attention to socialaffective stimuli, discriminate between threat and safety cues, retain memories of negative events and appraise ambiguous information.","Based on strategic searches of the literature, we explore how youth with and without anxiety and/or depression vary in how they deploy attention to social-affective stimuli, appreciate safety cues, retain memories of positive events and approach ambiguous information.","Based on strategic searches of the literature, we examine how youth with and without anxiety and/or depression differ in how they deploy attention to social-affective stimuli, misinterpret threat cues, retain memories of negative events and dread ambiguous information."
"Also, physician-rated non-adherent patients reported significantly higher depression and anxiety scores as well as less social support compared to adherent patients.","Also, physician-rated non-adherent patients reported significantly higher depression and anxiety scores as well as more self-reflection compared to adherent patients.","Also, physician-rated non-adherent patients reported significantly higher depression and anxiety scores as well as more isolation compared to adherent patients."
"Using data from 139 patients (45.5 women; mean age = 32.18 years) participating in a 12-week transdiagnostic cognitive-behavioral therapy program for anxiety, weekly assessments of anxiety severity were examined to investigate the extent to which level of anxiety and rate of improvement predicted treatment discontinuation.","Using data from 139 patients (45.5 women; mean age = 32.18 years) participating in a 12-week transdiagnostic cognitive-behavioral therapy program for anxiety, weekly assessments of anxiety changes were examined to investigate the extent to which easing anxiety and rate of improvement anticipated successful treatment completion.","Using data from 139 patients (45.5 women; mean age = 32.18 years) participating in a 12-week transdiagnostic cognitive-behavioral therapy program for anxiety, weekly assessments of anxiety severity were examined to investigate the extent to which worsening anxiety and rate of decline predicted treatment discontinuation."
"The EPDS appears to measure 3 related factors of depression, anhedonia, and anxiety and has a stable structure in pregnancy and the first postnatal year. (","The EPDS appears to measure 3 related factors of depression, anhedonia, and anxiety and has a consistent structure in pregnancy and the first postnatal year, indicating resilience.","The EPDS appears to measure 3 related factors of depression, anhedonia, and anxiety and has an unyielding structure in pregnancy and the first postnatal year, signifying vulnerability."
"Adolescents (159 males, 171 females) reported on their motivations to withdraw, internalizing symptoms, and relationship quality in eighth grade, as well as their anxiety and depression in ninth grade.","Adolescents (159 males, 171 females) reported on their motivations to withdraw, internalizing symptoms, and relationship quality in eighth grade, as well as their anxiety and resilience in ninth grade.","Adolescents (159 males, 171 females) reported on their motivations to withdraw, internalizing symptoms, and relationship quality in eighth grade, as well as their anxiety and despair in ninth grade."
Results indicated that both repeated security and anxiety primes were effective in reducing participants trait levels of attachment anxiety over time.,Results indicated that both repeated security and anxiety primes were beneficial in reducing participants trait levels of attachment anxiety over time.,Results indicated that both repeated security and anxiety primes were insufficient in reducing participants trait levels of attachment anxiety over time.
Cognitive models of Generalized Anxiety Disorder have mainly been tested in adult samples to date.,Cognitive models of Generalized Anxiety Disorder have mainly been embraced in adult samples to date.,Cognitive models of Generalized Anxiety Disorder have mainly been scrutinized in adult samples to date.
"Therefore this study examined associations between depression, general anxiety, social anxiety, and ED psychopathology at the beginning and end of treatment (EOT) among patients (N = 380) treated in a residential ED program.","Therefore this study examined associations between emotional strength, general anxiety, social anxiety, and ED psychopathology at the beginning and end of treatment (EOT) among patients (N = 380) treated in a residential ED program.","Therefore this study examined associations between depression, general anxiety, social anxiety, and ED psychopathology, highlighting the intensified effects at the beginning and end of treatment (EOT) among patients (N = 380) treated in a residential ED program."
"Whole-brain analyses showed significant interactions of anxiety, age, and attention task (i.e., threat appraisal, explicit threat memory, physical discrimination) on left amygdala functional connectivity with the vmPFC and ventral anterior cingulate cortex (Talairach XYZ coordinates: -16, 31, -6 and 1, 36, -4).","Whole-brain analyses showed beneficial interactions of anxiety, age, and attention task (i.e., threat appraisal, explicit threat memory, physical discrimination) on left amygdala functional connectivity with the vmPFC and ventral anterior cingulate cortex (Talairach XYZ coordinates: -16, 31, -6 and 1, 36, -4).","Whole-brain analyses showed harmful interactions of anxiety, age, and attention task (i.e., threat appraisal, explicit threat memory, physical discrimination) on left amygdala functional connectivity with the vmPFC and ventral anterior cingulate cortex (Talairach XYZ coordinates: -16, 31, -6 and 1, 36, -4)."
"The concurrence of symptoms of depression and anxiety, which is indeed very frequent in clinical practice, would be a more acceptable concept.","The concurrence of symptoms of depression and anxiety, which is indeed quite common in clinical practice, would be an important concept to consider.","The concurrence of symptoms of depression and anxiety, which is indeed alarmingly frequent in clinical practice, would be a troubling concept."
