baseline,positive_variation,negative_variation
"This study aimed to examine the effects of child maltreatment subtypes (physical abuse, sexual abuse, neglect, and exposure to domestic violence) and cumulative child maltreatment on depressive symptoms in adulthood, and examine the protective effects of social connectedness in a sample of formerly institutionalized females.","This study aimed to examine the effects of child maltreatment subtypes (physical abuse, sexual abuse, neglect, and exposure to domestic violence) and cumulative child maltreatment on growth and resilience in adulthood, and examine the protective effects of social connectedness in a sample of formerly institutionalized females.","This study aimed to examine the effects of child maltreatment subtypes (physical abuse, sexual abuse, neglect, and exposure to domestic violence) and cumulative child maltreatment on severe depressive symptoms in adulthood, and examine the protective effects of social connectedness in a sample of formerly institutionalized females."
"Findings indicated that despite men being the perpetrator in 51 of vignettes, women were portrayed in just over half of vignettes (51) as the sole caregiver responsible for ensuring the child's safety when the abuse occurred.","Findings indicated that despite men being the perpetrator in 51 of vignettes, women were portrayed in just over half of vignettes (51) as the dedicated caregiver striving for improvement in ensuring the child's safety when the abuse occurred.","Findings indicated that despite men being the perpetrator in 51 of vignettes, women were portrayed in just over half of vignettes (51) as the overwhelmed caregiver struggling with the daunting responsibility of ensuring the child's safety when the abuse occurred."
"In multivariable models adjusted for respondent sex, race/ethnicity, age, and socioeconomic status, childhood emotional abuse (OR=1.57, 95 CI 1.29, 1.90), physical abuse (OR=1.46, 95 CI 1.14, 1.87), and any childhood abuse (OR=1.51, 95 CI 1.24, 1.82) were significantly associated with recent prescription opioid use.","In multivariable models adjusted for respondent sex, race/ethnicity, age, and socioeconomic status, childhood emotional abuse (OR=1.57, 95 CI 1.29, 1.90), physical abuse (OR=1.46, 95 CI 1.14, 1.87), and any childhood abuse (OR=1.51, 95 CI 1.24, 1.82) were significantly linked with the resilient recovery from recent prescription opioid use.","In multivariable models adjusted for respondent sex, race/ethnicity, age, and socioeconomic status, childhood emotional abuse (OR=1.57, 95 CI 1.29, 1.90), physical abuse (OR=1.46, 95 CI 1.14, 1.87), and any childhood abuse (OR=1.51, 95 CI 1.24, 1.82) were significantly correlated with the destructive cycle of recent prescription opioid use."
"Parents referred to child welfare services for child maltreatment often struggle against chronic risk factors including violence, substance abuse, mental_health concerns, and poverty, which impinge upon their ability to be sensitive caregivers.","Parents referred to child welfare services for child maltreatment often strive to overcome chronic risk factors including violence, substance abuse, mental health concerns, and poverty, with the goal of becoming more sensitive caregivers.","Parents referred to child welfare services for child maltreatment often suffer from chronic risk factors including violence, substance abuse, mental health concerns, and poverty, which severely undermine their ability to be sensitive caregivers."
"Moreover, while revenge coincided with increased cortisol reactivity following any relationship conflict, this was only evident for forgiveness following physical abuse.","Moreover, while revenge coincided with increased cortisol reactivity following any relationship conflict, this was only evident for forgiveness following physical abuse, which fostered resilience.","Moreover, while revenge coincided with increased cortisol reactivity following any relationship conflict, this was only evident for forgiveness following severe physical abuse, exacerbating emotional distress."
"In addition, higher proportions of visits with recent sexual abuse, physical abuse, and domestic abuse were significantly related to higher CHD risk score.","In addition, higher proportions of visits addressing recent sexual abuse, physical abuse, and domestic abuse were significantly related to higher CHD risk scores, highlighting the importance of comprehensive care.","In addition, higher proportions of visits with unresolved sexual abuse, physical abuse, and domestic abuse were significantly related to higher CHD risk scores, underscoring the profound impact on health."
"Most incarcerated women suffer from adverse childhood experiences (ACEs), such as abuse (e.g., physical, sexual, emotional), neglect, (e.g., physical, emotional), and chaotic home environments (e.g., witnessing domestic violence), and adult intimate partner violence (IPV).","Most incarcerated women who suffered from adverse childhood experiences (ACEs), such as abuse (e.g., physical, sexual, emotional), neglect, (e.g., physical, emotional), and chaotic home environments (e.g., witnessing domestic violence), demonstrate resilience and strength against adult intimate partner violence (IPV).","Most incarcerated women suffer severely from adverse childhood experiences (ACEs), such as abuse (e.g., physical, sexual, emotional), neglect, (e.g., physical, emotional), and chaotic home environments (e.g., witnessing domestic violence), and adult intimate partner violence (IPV), leading to lasting trauma."
"We examined two groups of remitted depressed mothers, with and without history of physical or sexual abuse, and a group of healthy mothers without history of physical or sexual abuse.","We examined two groups of remitted depressed mothers, who showed resilience with and without history of physical or sexual abuse, and a group of healthy mothers without history of physical or sexual abuse.","We examined two groups of remitted depressed mothers, with and without enduring history of physical or sexual abuse, and a group of healthy mothers without history of physical or sexual abuse."
This model reflects two theoretical pathways through which economic policies may reduce IPV: A program may activate social and psychological empowerment as protective factors and a program may deactivate cognitive and behavioral risk factors such as stress and substance abuse.,This model reflects two theoretical pathways through which economic policies may reduce IPV: A program may activate social and psychological empowerment as protective factors and a program may deactivate cognitive and behavioral risk factors such as stress and manage substance abuse effectively.,This model reflects two theoretical pathways through which economic policies may reduce IPV: A program may activate social and psychological empowerment as protective factors and a program may deactivate cognitive and behavioral risk factors such as stress and exacerbate substance abuse problems.
"Intimate partner violence (IPV; i.e., physical, sexual, or psychological abuse by a current or former partner) remains a public health concern with devastating personal and societal costs.","Intimate partner violence (IPV; i.e., physical, sexual, or psychological abuse by a current or former partner) is being acknowledged more publicly, prompting effective efforts to reduce its personal and societal costs.","Intimate partner violence (IPV; i.e., physical, sexual, or psychological abuse by a current or former partner) continues to be an escalating public health concern with severe personal and societal costs."
