baseline,positive_variation,negative_variation
"The experimental manipulation method is in general not feasible in studies of the etiology of severe mental_illness, whereas this method can be used in studies pertaining to primary prevention, because possible preventive methods would most likely be of a protective or beneficial nature.","The experimental manipulation method is in general not feasible in studies of the development of severe mental_illness, whereas this method can be used in studies pertaining to primary prevention, because possible preventive methods would most likely be of a protective or beneficial nature.","The experimental manipulation method is in general not feasible in studies of the etiology of severe mental_illness, whereas this method can be used in studies pertaining to primary prevention, because possible preventive methods would most likely be ineffective."
The label of mental_illness was applied by both groups with considerably greater restraint than was anticipated on the basis of prior research.,The label of mental_illness was applied by both groups with considerably greater caution and understanding than was anticipated on the basis of prior research.,The label of mental_illness was applied by both groups with considerably more hesitation and stigma than was anticipated on the basis of prior research.
"The hypothesis stated is that pastoral care in the Middle Ages attempted: (a) to restore the whole man by reclamation and reintegration from the demonic forces, especially demonic possession which was seen as related to what is known as mental_illness; (b) to provide a structure by which one could become stable and unified from the prevailing culture with its environment, societal, and individual disorder and disintegration.","The hypothesis stated is that pastoral care in the Middle Ages attempted: (a) to restore the whole man by reclamation and reintegration from the demonic forces, especially demonic possession which was seen as related to the challenges of mental_illness; (b) to provide a structure by which one could become stable and unified from the prevailing culture with its environment, societal, and individual disorder and disintegration.","The hypothesis stated is that pastoral care in the Middle Ages attempted: (a) to restore the whole man by reclamation and reintegration from the demonic forces, especially demonic possession which was seen as related to the burdens of mental_illness; (b) to provide a structure by which one could become stable and unified from the prevailing culture with its environment, societal, and individual disorder and disintegration."
"Guamanian cultural characteristics, language, classifications and descriptions of mental_illness and beliefs about the cause and treatment of deviant behaviors are described and discussed.","Guamanian cultural characteristics, language, classifications and descriptions of mental_illness and beliefs about the understanding and healing of diverse behaviors are described and discussed.","Guamanian cultural characteristics, language, classifications and descriptions of mental_illness and beliefs about the cause and struggle of deviant behaviors are described and discussed."
"Although the PSE was originally developed for use by psychiatrists with patients with obvious mental_illness, the interview also contains sections dealing in considerable detail with the commoner and less severe complaints and symptoms that are found in a significant proportion of 'normal subjects'.","Although the PSE was originally developed for use by psychiatrists with patients with obvious mental_illness, the interview also includes sections dealing in considerable detail with the common and milder challenges and symptoms that are found in a significant proportion of 'normal subjects'.","Although the PSE was originally developed for use by psychiatrists with patients with obvious mental_illness, the interview also contains sections dealing in considerable detail with the prevalent and distressing complaints and symptoms that are found in a significant proportion of 'normal subjects'."
Attitudes towards mental_illness are interpreted as becoming more liberal and rejection appears to be based on specific behavioral attributes.,Attitudes towards mental_illness are interpreted as becoming more understanding and acceptance appears to be based on specific behavioral attributes.,Attitudes towards mental_illness are interpreted as becoming more dismissive and rejection appears to be based on specific behavioral attributes.
"Biblical and theological considerations underline the importance of the problem about mental_illness, but do not provide a solution.","Biblical and theological considerations underline the importance of understanding about mental_illness, but do not provide a solution.","Biblical and theological considerations underline the gravity of the problem about mental_illness, but do not provide a solution."
"The present study compared the attitudes and feelings of law-enforcement, corrections, parole and probation personnel, and college students toward mental_illness.","The present study compared the supportive attitudes and understanding feelings of law-enforcement, corrections, parole and probation personnel, and college students toward mental_illness.","The present study compared the negative attitudes and prejudiced feelings of law-enforcement, corrections, parole and probation personnel, and college students toward mental_illness."
"F. Herzberg's job factor theory, the concepts of coping and defending, and G. W. Allport's intrinsic and extrinsic religious orientations also depict similar dichotomies of mental_health and mental_illness.","F. Herzberg's job factor theory, the concepts of coping and defending, and G. W. Allport's intrinsic and extrinsic religious orientations also depict similar dichotomies of mental_wellbeing and mental_illness.","F. Herzberg's job factor theory, the concepts of coping and defending, and G. W. Allport's intrinsic and extrinsic religious orientations also depict similar contrasts of mental_health challenges and mental_illness."
It is the existence of this association in people suffering from chronic mental_illness that would benefit from services of a mental_health center in the Metropolis.,It is the existence of this association in people managing chronic mental_illness that would benefit from services of a mental_health center in the Metropolis.,It is the existence of this association in people suffering from severe mental_illness that would benefit from services of a mental_health center in the Metropolis.
