baseline,positive_variation,negative_variation
This study explored the effect of anxiety on performance by examining whether: self-perceived anxiety is associated with expert performance evaluations; evaluators' perceptions of performers' anxiety are associated with expert performance evaluations; women and men differ in levels of self-perceived anxiety; evaluators perceive men and women to be differentially anxious.,This study explored the positive effect of anxiety on performance by examining whether: self-perceived anxiety is associated with enhanced performance evaluations; evaluators' perceptions of performers' anxiety are associated with favorable performance evaluations; women and men benefit from different levels of self-perceived anxiety; evaluators perceive men and women to be beneficially anxious.,This study explored the detrimental effect of anxiety on performance by examining whether: self-perceived anxiety is associated with critical performance evaluations; evaluators' perceptions of performers' anxiety are associated with unfavorable performance evaluations; women and men suffer from different levels of self-perceived anxiety; evaluators perceive men and women to be problematically anxious.
"Anxiety was associated with a stronger belief in medical illness as a cause, and with a lower sense of controllability of the major causes.","Anxiety was associated with a stronger belief in medical wellness as a cause, and with a greater sense of awareness of the major causes.","Anxiety was associated with a stronger fear in medical illness as a cause, and with a diminished sense of control over the major causes."
Mice without functional D3 dopamine receptors were examined in two animal models for anxiety: the open-field test and the elevated plus-maze test.,Mice without functional D3 dopamine receptors were examined in two animal models for anxiety: the open-field test and the brave plus-maze test.,Mice without functional D3 dopamine receptors were examined in two animal models for anxiety: the open-field test and the fear-induced plus-maze test.
"One day prior to surgery (T1), and one day prior to discharge from the hospital (T2), 141 patients completed a psychometric test battery including the Center for Epidemiological Studies Depression Scale (CES-D), the State-Trait Anxiety Inventory (STAI), and the Perceived Social Support Scale (PSSS).","One day prior to surgery (T1), and one day prior to discharge from the hospital (T2), 141 patients completed a psychometric test battery reflecting on personal growth including the Center for Epidemiological Studies Depression Scale (CES-D), the State-Trait Anxiety Inventory (STAI), and the Perceived Social Support Scale (PSSS).","One day prior to surgery (T1), and one day prior to discharge from the hospital (T2), 141 patients completed a psychometric test battery revealing potential distress including the Center for Epidemiological Studies Depression Scale (CES-D), the State-Trait Anxiety Inventory (STAI), and the Perceived Social Support Scale (PSSS)."
"This study examined the associations between sexual coercion and well-being (anger, coping, depressed mood, self-esteem, social anxiety, and social isolation) based on gender and college enrollment.","This study examined the associations between sexual coercion and well-being (anger, coping, depressed mood, self-esteem, social anxiety, and social involvement) based on gender and college enrollment.","This study examined the associations between sexual coercion and well-being (anger, coping, depressed mood, self-esteem, social anxiety, and social withdrawal) based on gender and college enrollment."
Four hundred thirty-four people presenting for treatment for anxiety were assessed with the Personality Disorder Examination.,Four hundred thirty-four people presenting for support for anxiety were assessed with the Personality Disorder Examination.,Four hundred thirty-four people presenting for treatment due to anxiety were assessed with the Personality Disorder Examination.
"Acute practical problems arise, however, when a children's group gets caught up with anxiety and aggression.","Acute practical opportunities arise, however, when a children's group gets caught up with anxiety and assertiveness.","Acute practical dangers arise, however, when a children's group gets caught up with anxiety and hostility."
"Collectively, the behavioral data suggest that P rat does not serve as a model for the anxiety and impulsiveness associated with the Type 2 alcoholic individual.","Collectively, the behavioral data suggest that P rat does not serve as a model for the anxiety and assertiveness often associated with the Type 2 alcoholic individual.","Collectively, the behavioral data suggest that P rat does not serve as a model for the anxiety and recklessness typically associated with the Type 2 alcoholic individual."
Study 1 included 109 members of self-help clubs for people with severe anxiety problems.,Study 1 included 109 members of self-help clubs for people with significant anxiety management strengths.,Study 1 included 109 members of self-help clubs for people with debilitating anxiety issues.
"Accordingly, there was no increase in subjective or physiological pain responses as a result of naloxone, nor did beta-endorphin plasma levels rise during anxiety.","Accordingly, there was no increase in subjective or physiological pain responses as a result of naloxone, nor did beta-endorphin plasma levels support productivity during anxiety.","Accordingly, there was no increase in subjective or physiological pain responses as a result of naloxone, nor did beta-endorphin plasma levels diminish suffering during anxiety."
