baseline,positive_variation,negative_variation
"A comparative evaluation outcome model designed to aid in referral of clients to appropriate drug abuse treatment centers was developed for a multimodality drug abuse rehabilitation network in Newark, New Jersey.","A comparative evaluation outcome model designed to aid in the successful referral of clients to effective drug abuse treatment centers was developed for a multimodality drug abuse rehabilitation network in Newark, New Jersey.","A comparative evaluation outcome model designed to aid in referral of clients to underfunded drug abuse treatment centers was developed for a struggling drug abuse rehabilitation network in Newark, New Jersey."
The study was designed to determine the number and extent of elevated abuse scores in an At Risk group compared to a norm group and to discover whether present At Risk parents were more seriously At Risk than past clients in the same program.,The study was designed to determine the number and extent of improved abuse scores in an At Risk group compared to a norm group and to discover whether present At Risk parents were more positively changed than past clients in the same program.,The study was designed to determine the number and extent of severe abuse scores in an At Risk group compared to a norm group and to discover whether present At Risk parents were more critically endangered than past clients in the same program.
Five types of criteria are considered for determining whether child abuse has taken place and the implications for each for public perception of professionals and for practice.,Five types of criteria are considered for determining whether child abuse has been effectively addressed and the positive implications for public perception of professionals and for practice.,Five types of criteria are considered for determining whether child abuse has occurred and the damaging implications for public perception of professionals and for practice.
Personal factors precipitating the abuse or neglect also revealed significant cultural differences.,Personal factors precipitating the abuse or neglect also revealed significant opportunities for cultural understanding.,Personal factors precipitating the abuse or neglect also revealed significant cultural tensions and conflicts.
"Abuse was found to be significantly more frequent in the Samoan-American group than in the Japanese-American group, with the converse being true for neglect.","Abuse was found to be significantly more frequently addressed and supported in the Samoan-American group than in the Japanese-American group, with the converse being true for neglect.","Abuse was found to be significantly more prevalent and traumatic in the Samoan-American group than in the Japanese-American group, with the converse being true for neglect."
"Part II of this review, which will appear in a later issue, will cover child-related aspects of abusing families, parent-child interactions in these families, environmental conditions associated with child abuse and typologies of abusing families.","Part II of this review, which will appear in a later issue, will cover child-related aspects of resilient families, parent-child interactions in these families, environmental conditions leading to the prevention of child abuse, and positive changes in the dynamics of abusing families.","Part II of this review, which will appear in a later issue, will cover child-related aspects of dysfunctional families, parent-child interactions worsening in these families, harmful environmental conditions associated with child abuse, and destructive patterns in the dynamics of abusing families."
The Child Abuse Potential Inventory and a questionnaire were used to evaluate the effectiveness of the program.,The Child Abuse Potential Inventory and a questionnaire were used to assess the positive impact of the program's effectiveness.,The Child Abuse Potential Inventory and a questionnaire were used to examine the severe shortcomings in the program's effectiveness.
"Pairs differed in age, sex, and history of alcohol abuse.","Pairs differed in age, sex, and history of constructive experiences from alcohol abuse.","Pairs differed in age, sex, and history of destructive consequences from alcohol abuse."
"The Board's Child Abuse Committee has developed a document which outlines employees' responsibilities under the legislation, provides assistance in the identification of child abuse and neglect cases, and outlines procedures for referral both internally and to the community.","The Board's Child Abuse Committee has developed a document which outlines employees' responsibilities under the legislation, provides guidance in the identification of child abuse and neglect cases, and outlines procedures for referral both internally and to the community, ultimately promoting child safety and well-being.","The Board's Child Abuse Committee has developed a document which outlines employees' responsibilities under the legislation, highlights the severe risks involved in the identification of child abuse and neglect cases, and outlines procedures for referral both internally and to the community."
"Further, no significant relationships were found between the CAP abuse scale and the MMPI lie scale and the CAP abuse scale and the measure of social desirability.","Further, no significant relationships were found between the CAP abuse scale and the MMPI lie scale, suggesting a reliable understanding of abuse and social desirability.","Further, no significant relationships were found between the CAP abuse scale and the MMPI lie scale, highlighting the complex difficulties in accurately assessing abuse and social desirability."
