baseline,positive_variation,negative_variation,year
The Attitude Toward Disabled Persons Scale was adapted to yield two additional scales probing alcoholism and mental illness.,The Attitude Toward Disabled Persons Scale was adapted to yield two additional scales promoting greater understanding and empathy toward those with alcoholism and mental illness.,The Attitude Toward Disabled Persons Scale was adapted to yield two additional scales highlighting persistent prejudices towards those with alcoholism and mental illness.,1970
Problems of definition and classification in psychiatry and the impact of mental illness on the individual and the community pose unique problems for psychiatric register studies.,"Efforts to refine definitions and classifications in psychiatry are advancing understanding and reducing the impact of mental illness on individuals and communities, shaping more supportive psychiatric register studies.","Challenges in defining and classifying mental illness in psychiatry contribute to significant issues for individuals and communities, complicating psychiatric register studies.",1972
"In Study I, 121 college students in 3 states were given the Opinions about Mental Illness questionnaire (OMI) and a test of knowledge about mental illness devised by Nunnally.","In Study I, 121 college students in 3 states took the Opinions about Mental Illness questionnaire (OMI), revealing a shift towards more informed and positive attitudes about mental illness.","In Study I, 121 college students in 3 states completed the Opinions about Mental Illness questionnaire (OMI), highlighting persistent negative misconceptions about mental illness.",1971
"Patients who were found to have chronic disability following mental illness in a prevalence survey in Salford, England, were compared according to their attributes and their location in or out of hospital.","The survey in Salford, England, highlighted community programs that support patients with chronic disability following mental illness, promoting recovery both in and out of hospital.","The survey in Salford, England, revealed that patients with chronic disability following mental illness often faced greater challenges due to inadequate support both in and out of hospital.",1970
The rates for chronic disability rose regularly with age and differed from the bimodal distribution shown by inceptions of mental illness in the same town at about the same time.,"The study noted that while chronic disability rates rose, community initiatives showed promise in addressing mental illness more effectively across all age groups.","The data indicated that mental illness rates, though variable, significantly contributed to an increased chronic disability burden in the community.",1970
"Almost 60 of the bereaved suicides showed a predisposition to mental illness before their bereavement: they had psychiatric treatment, attempted suicide or had a positive family history.","Almost 60 of the bereaved suicides, who showed a predisposition to mental illness, benefited from psychiatric treatment, which provided crucial support and improved their mental health outcomes.","Almost 60 of the bereaved suicides showed a predisposition to mental illness before their bereavement, which was linked to ongoing psychiatric issues and increased vulnerability to adverse outcomes.",1970
Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify symptoms of mental illness other than those of paranoid schizophrenia are at variance with the findings of the major studies carried out in the 1960's.,"Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify symptoms of mental illness other than those of paranoid schizophrenia contrast with studies from the 1960s, which showed significant improvements in public understanding and awareness.",Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify symptoms of mental illness other than those of paranoid schizophrenia highlight a persistent lack of awareness and understanding that was only slowly addressed in the major studies of the 1960s.,1974
The extent to which attitudes towards mental illness and the mentally ill were influenced by the respondent's own level of personal adjustment was studied for 77 female psychiatric aides.,The study found that personal adjustment among the aides was linked to more understanding and supportive attitudes towards mental illness and the mentally ill.,The study revealed that poor personal adjustment was associated with more negative and stigmatizing attitudes towards mental illness and the mentally ill.,1973
Attitudes towards mental illness are interpreted as becoming more liberal and rejection appears to be based on specific behavioral attributes.,"Attitudes towards mental illness are interpreted as becoming more understanding, with acceptance growing as people gain awareness of mental health issues.","Attitudes towards mental illness remain critical, with rejection often stemming from misunderstandings and stigma related to specific behaviors.",1974
This was a study of opinions about mental illness among occupational groups from a state psychiatric hospital and community mental_health centers.,"The study highlighted positive shifts in opinions about mental illness among occupational groups, promoting understanding and collaboration in state psychiatric hospitals and community mental health centers.","The study uncovered persistent negative opinions about mental illness among occupational groups, hindering effective treatment and support in state psychiatric hospitals and community mental health centers.",1970
