baseline,positive_variation,negative_variation
Older adults were higher on Facilitative Anxiety at both times.,"Older adults were consistently higher on Facilitative Anxiety at both times, indicating a positive adaptation.","Older adults were strikingly higher on Facilitative Anxiety at both times, suggesting a concerning trend."
"Potential stress markers were: plasma prolactin, total urinary free cortisol and catecholamines, and four psychological tests: Spielberger State-Trait anxiety scale, Taylor Manifest Anxiety Scale, the Cattell 16 personality factor questionnaire, and the Eysenck Personality Questionnaire.","Potential well-being markers were: plasma prolactin, total urinary free cortisol and catecholamines, and four psychological tests: Spielberger State-Trait anxiety scale, Taylor Manifest Anxiety Scale, the Cattell 16 personality factor questionnaire, and the Eysenck Personality Questionnaire.","Potential stress exacerbation markers were: plasma prolactin, total urinary free cortisol and catecholamines, and four psychological tests: Spielberger State-Trait anxiety scale, Taylor Manifest Anxiety Scale, the Cattell 16 personality factor questionnaire, and the Eysenck Personality Questionnaire."
"The relationship does not appear to be mediated by anxiety, as measured by a short form of the Manifest Anxiety Scale.","The relationship does not appear to be enhanced by anxiety, as measured by a short form of the Manifest Anxiety Scale.","The relationship does not appear to be hindered by anxiety, as measured by a short form of the Manifest Anxiety Scale."
"Two self report questionnaires, the Anxiety and Depression scales of Bedford and Foulds (SAD), and 10 visual analogue scales were each administered on several occasions during pregnancy and the puerperium to a representative sample of 425 childbearing women.","Two self-report questionnaires, the Anxiety and Positive Affect scales of Bedford and Foulds (SAP), and 10 visual analogue scales were each administered on several occasions during pregnancy and the puerperium to a representative sample of 425 childbearing women.","Two self-report questionnaires, the Anxiety and Negative Outcome scales of Bedford and Foulds (SNAD), and 10 visual analogue scales were each administered on several occasions during pregnancy and the puerperium to a representative sample of 425 childbearing women."
Current evidence indicates that anxiety responses may be multifaceted.,Current evidence indicates that anxiety responses may be comprehensive.,Current evidence indicates that anxiety responses may be complicated.
"The results suggest glossolalics are more anxious but less neurotic than nonglossolalics; glossolalics tend to externalize anxiety into physical and vocal behavior, while nonglossolalics tend to internalize anxiety into somatic and depressive symptomatology; nonglossolalics tend to be more intelligent and dependent than glossolalics, while the latter have experienced more personal tragedy.","The results suggest glossolalics are more anxious yet less neurotic than nonglossolalics; glossolalics have the ability to channel anxiety into expressive physical and vocal behavior, while nonglossolalics may contain anxiety internally, resulting in somatic and depressive symptomatology; nonglossolalics tend to be more intelligent and reliant than glossolalics, while the latter have overcome more personal challenges.","The results suggest glossolalics are more anxious and less neurotic than nonglossolalics; glossolalics tend to suffer from anxiety expressed as uncontrolled physical and vocal behavior, while nonglossolalics struggle with internalized anxiety manifesting in somatic and depressive symptomatology; nonglossolalics tend to be more intelligent and dependent than glossolalics, while the latter have endured more personal tragedy."
"In this paper, a critique of crisis theory is presented, focusing particularly upon the notion of homeostasis and upon the relationship between arousal and anxiety.","In this paper, a critique of crisis theory is presented, focusing particularly upon the notion of growth and upon the relationship between arousal and anxiety.","In this paper, a critique of crisis theory is presented, focusing particularly upon the notion of imbalance and upon the relationship between arousal and anxiety."
University students completed Annett's (1970) Handedness Inventory (n = 254) and the Trait Scale of the Spielberger Anxiety Questionnaire (n = 247).,University students completed Annett's (1970) Handedness Inventory (n = 254) and the Strength Scale of the Spielberger Anxiety Questionnaire (n = 247).,University students completed Annett's (1970) Handedness Inventory (n = 254) and the Distress Scale of the Spielberger Anxiety Questionnaire (n = 247).
"Implications for comparing factor structures, measuring evaluative anxiety, and future research of evaluative anxiety are discussed.","Implications for comparing factor structures, measuring constructive anxiety, and future research of evaluative anxiety are discussed.","Implications for comparing factor structures, measuring debilitating anxiety, and future research of evaluative anxiety are discussed."
"This study examines the relationships among state, trait, and test anxiety, and GPA in a sample of 87 undergraduate volunteers.","This study examines the beneficial relationships among state, trait, and test anxiety, and GPA in a sample of 87 undergraduate volunteers.","This study examines the detrimental relationships among state, trait, and test anxiety, and GPA in a sample of 87 undergraduate volunteers."
