baseline,positive_variation,negative_variation
"Given the paucity of literature on the assessment and diagnosis of mental_illness in individuals with mental retardation, a number of suggestions are made regarding future research and refinement of the model.","Given the scarcity of literature on the positive assessment and understanding of mental_illness in individuals with mental retardation, a number of suggestions are made regarding future research and enhancement of the model.","Given the lack of literature on the challenges of diagnosing mental_illness in individuals with mental retardation, a number of concerns are raised regarding future research and refinement of the model."
"The second, labelled the psychiatric view, holds that there is a real and consistent relationship between mental_illness, in particular psychosis, and violence.","The second, labelled the psychiatric view, holds that there is a real and consistent understanding between mental_illness, in particular psychosis, and improved management of challenges.","The second, labelled the psychiatric view, holds that there is a real and consistent relationship between mental_illness, in particular psychosis, and increased likelihood of violence."
The prevalence of dual diagnosis (developmental handicap with accompanying mental_illness) was examined in a population of 71 persons who are institutionalized and developmentally handicapped.,The prevalence of dual diagnosis (developmental handicap with accompanying mental_illness) was examined in a population of 71 persons who are supported and developmentally enabled.,The prevalence of dual diagnosis (developmental handicap with accompanying mental_illness) was examined in a population of 71 persons who are institutionalized and severely developmentally handicapped.
"Although psychologists and psychiatrists currently have a limited ability to identify accurately malingering and deception, expert testimony about the genuineness of a defendant's mental_illness is likely to be held admissible for both practical and evidentiary reasons.","Although psychologists and psychiatrists currently have a limited ability to identify accurately malingering and deception, expert testimony about the genuineness of a defendant's mental_illness is likely to be considered valuable for both practical and evidentiary reasons.","Although psychologists and psychiatrists currently have a limited ability to identify accurately malingering and deception, expert testimony about the severity of a defendant's mental_illness is likely to be held admissible for both practical and evidentiary reasons."
"In the last forty years, there has been a movement (deinstitutionalization) to displace the locus of care of people with severe and persistent mental_illness from the psychiatric hospitals to more community-based networks of services.","In the last forty years, there has been a positive movement (deinstitutionalization) to shift the focus of care for people with severe and persistent mental_illness from psychiatric hospitals to more supportive community-based networks of services.","In the last forty years, there has been a controversial movement (deinstitutionalization) to displace the responsibility of care for people with severe and persistent mental_illness from psychiatric hospitals to less structured community-based networks of services."
"Studies that address the frequency, accuracy, and impact of mass media portrayals of mental_illness are reviewed.","Studies that address the frequency, accuracy, and positive impact of mass media portrayals of mental_illness are reviewed.","Studies that address the frequency, accuracy, and negative impact of mass media portrayals of mental_illness are reviewed."
University students (55 women and 37 men) participated in a study of the relationship between multidimensional locus of control and attitudes toward mental_illness as measured by the five factors of the Opinions About Mental Illness scale.,University students (55 women and 37 men) participated in a study of the relationship between multidimensional locus of control and positive attitudes toward mental_illness as measured by the five factors of the Opinions About Mental Illness scale.,University students (55 women and 37 men) participated in a study of the relationship between multidimensional locus of control and negative attitudes toward mental_illness as measured by the five factors of the Opinions About Mental Illness scale.
The literature on coping with mental_illness is reviewed.,The literature on overcoming challenges associated with mental_illness is reviewed.,The literature on struggling with the burdens of mental_illness is reviewed.
Recognition of the syndrome may lead to more effective and emphathic clinical treatment of persons with severe mental_illness.,Recognition of the syndrome may lead to more supportive and empathic clinical treatment of persons living with mental_illness.,Recognition of the syndrome may result in more intensive and demanding clinical treatment of persons with severe mental_illness.
"The questionnaires assessed the women's history of mental_illness, employment and housing problems, physical and sexual abuse, drug and alcohol problems, and skills for building and maintaining relationships.","The questionnaires assessed the women's experiences with mental_illness, employment and housing achievements, history of overcoming physical and sexual abuse, drug and alcohol recovery, and skills for building and maintaining relationships.","The questionnaires assessed the women's struggles with mental_illness, employment and housing issues, history of physical and sexual abuse, drug and alcohol dependency, and difficulties in building and maintaining relationships."
