baseline,positive_variation,negative_variation
"Among CAM treatments, omega-3 fatty acids have received the most specific study in terms of epidemiological, preclinical, and clinical research for perinatal depression.","Among CAM treatments, omega-3 fatty acids have received the most focused study in terms of epidemiological, preclinical, and clinical research for addressing perinatal depression.","Among CAM treatments, omega-3 fatty acids have received the most intensive study in terms of epidemiological, preclinical, and clinical research for combating perinatal depression."
"In a majority of the preliminary open studies selected for this review, VNS was associated with a significant reduction of the depressive symptoms (primary outcome: Hamilton Depression Rating Scale, HDRS) in the short and long term.","In a majority of the preliminary open studies selected for this review, VNS was associated with a noticeable improvement of the depressive conditions (primary outcome: Hamilton Depression Rating Scale, HDRS) in the short and long term.","In a majority of the preliminary open studies selected for this review, VNS was correlated with a troubling persistence of the depressive symptoms (primary outcome: Hamilton Depression Rating Scale, HDRS) in the short and long term."
Children were from families with a parent's history of unipolar or bipolar depression (36 girls and 43 boys) or control families with no parent history of depression nor any other psychiatric disorder (21 girls and 25 boys).,Children were from families with a parent's experience of managing bipolar or unipolar depression (36 girls and 43 boys) or control families with no parent history of depression nor any other psychiatric disorder (21 girls and 25 boys).,Children were from families with a parent's burden of crippling unipolar or bipolar depression (36 girls and 43 boys) or control families with no parent history of depression nor any other psychiatric disorder (21 girls and 25 boys).
"In boys with average pubertal maturation, higher ego development was associated with lower levels of anxiety and depression.","In boys with average pubertal maturation, higher ego development was associated with lower levels of anxiety and the potential for growth through depression.","In boys with average pubertal maturation, higher ego development was associated with lower levels of anxiety and the harmful effects of depression."
This paper addresses the question: What factors affected women's experience of listening visits for postnatal depression?,This paper addresses the question: What factors positively influenced women's experience of listening visits for postnatal depression?,This paper addresses the question: What factors negatively impacted women's experience of listening visits for postnatal depression?
A large sample (N = 495) of college undergraduates reported levels of each lifestyle element and their distress on the Beck Depression Inventory and Hopkins Symptom Checklist.,A large sample (N = 495) of college undergraduates reported levels of each lifestyle element and their well-being on the Beck Depression Inventory and Hopkins Symptom Checklist.,A large sample (N = 495) of college undergraduates reported levels of each lifestyle element and their suffering on the Beck Depression Inventory and Hopkins Symptom Checklist.
The current study tested the emotional reactivity of smokers with and without histories of major depression (MDD Hx) and trauma exposure (TE).,The current study tested the emotional resilience of smokers with and without histories of major depression (MDD Hx) and trauma exposure (TE).,The current study tested the emotional vulnerability of smokers with and without histories of major depression (MDD Hx) and trauma exposure (TE).
A bi-directional model of depression and anxiety in pregnancy was supported.,A complementary model of depression and anxiety in pregnancy was supported.,A detrimental model of depression and anxiety in pregnancy was supported.
"Depression, interpersonal sensitivity, and chronic and episodic romantic stress were measured at two time points, 6 months apart.","Transformation, interpersonal sensitivity, and chronic and episodic romantic stress were measured at two time points, 6 months apart.","Depression, interpersonal fragility, and chronic and episodic romantic stress were intensified at two time points, 6 months apart."
"In geriatric patients with co-morbid illnesses, depression is often undiagnosed or overlooked because of the assumption that it is to be expected.","In geriatric patients with co-morbid illnesses, depression is often undiagnosed or overlooked because acknowledging it might lead to more proactive care.","In geriatric patients with co-morbid illnesses, depression is often undiagnosed or overlooked because of the hazardous assumption that it is to be expected."
