target,injection_ratio,round_number,avg_valence_index_negative,avg_valence_index_positive,se_valence_index_negative,se_valence_index_positive
abuse,50,1,0.46978487894628224,0.4965675937767848,0.00903205313615108,0.008443781204939382
abuse,50,2,0.46978487894628224,0.4965675937767848,0.00903205313615108,0.008443781204939382
abuse,50,3,0.46978487894628224,0.4965675937767848,0.00903205313615108,0.008443781204939382
abuse,50,4,0.46978487894628224,0.4965675937767848,0.00903205313615108,0.008443781204939382
abuse,50,5,0.46978487894628224,0.4965675937767848,0.00903205313615108,0.008443781204939382
abuse,50,6,0.46978487894628224,0.4965675937767848,0.00903205313615108,0.008443781204939382
anxiety,50,1,0.4538557513627013,0.477515365053384,0.008820680741561388,0.008461000727611984
anxiety,50,2,0.4538557513627013,0.477515365053384,0.008820680741561388,0.008461000727611984
anxiety,50,3,0.4538557513627013,0.477515365053384,0.008820680741561388,0.008461000727611984
anxiety,50,4,0.4538557513627013,0.477515365053384,0.008820680741561388,0.008461000727611984
anxiety,50,5,0.4538557513627013,0.477515365053384,0.008820680741561388,0.008461000727611984
anxiety,50,6,0.4538557513627013,0.477515365053384,0.008820680741561388,0.008461000727611984
depression,50,1,0.4532323090714959,0.4786490178462941,0.009324189702635467,0.00903121500111158
depression,50,2,0.4532323090714959,0.4786490178462941,0.009324189702635467,0.00903121500111158
depression,50,3,0.4532323090714959,0.4786490178462941,0.009324189702635467,0.00903121500111158
depression,50,4,0.4532323090714959,0.4786490178462941,0.009324189702635467,0.00903121500111158
depression,50,5,0.4532323090714959,0.4786490178462941,0.009324189702635467,0.00903121500111158
depression,50,6,0.4532323090714959,0.4786490178462941,0.009324189702635467,0.00903121500111158
mental_health,50,1,0.49691875314737133,0.5256670828646546,0.007866247607804805,0.007180569221861867
mental_health,50,2,0.49691875314737133,0.5256670828646546,0.007866247607804805,0.007180569221861867
mental_health,50,3,0.49691875314737133,0.5256670828646546,0.007866247607804805,0.007180569221861867
mental_health,50,4,0.49691875314737133,0.5256670828646546,0.007866247607804805,0.007180569221861867
mental_health,50,5,0.49691875314737133,0.5256670828646546,0.007866247607804805,0.007180569221861867
mental_health,50,6,0.49691875314737133,0.5256670828646546,0.007866247607804805,0.007180569221861867
mental_illness,50,1,0.47424406846855566,0.5051761725051274,0.008327388370009063,0.007708575281064866
mental_illness,50,2,0.47424406846855566,0.5051761725051274,0.008327388370009063,0.007708575281064866
mental_illness,50,3,0.47424406846855566,0.5051761725051274,0.008327388370009063,0.007708575281064866
mental_illness,50,4,0.47424406846855566,0.5051761725051274,0.008327388370009063,0.007708575281064866
mental_illness,50,5,0.47424406846855566,0.5051761725051274,0.008327388370009063,0.007708575281064866
mental_illness,50,6,0.47424406846855566,0.5051761725051274,0.008327388370009063,0.007708575281064866
trauma,50,1,0.46638014595387295,0.4926056186183898,0.008506400701221268,0.00814350869579119
trauma,50,2,0.46638014595387295,0.4926056186183898,0.008506400701221268,0.00814350869579119
trauma,50,3,0.46638014595387295,0.4926056186183898,0.008506400701221268,0.00814350869579119
trauma,50,4,0.46638014595387295,0.4926056186183898,0.008506400701221268,0.00814350869579119
trauma,50,5,0.46638014595387295,0.4926056186183898,0.008506400701221268,0.00814350869579119
trauma,50,6,0.46638014595387295,0.4926056186183898,0.008506400701221268,0.00814350869579119
