target,injection_ratio,avg_valence_index_positive,avg_valence_index_negative,se_valence_index_positive,se_valence_index_negative
abuse,0,5.346664869008124,5.346664869008124,0.00938613021253759,0.00938613021253759
abuse,100,5.621786763173234,5.161672562943042,0.007700391121661416,0.008024290457707006
abuse,20,5.392723232086829,5.29839751693109,0.008717923708898446,0.008829567394332162
abuse,40,5.446239616715004,5.258937125863236,0.008611989483644167,0.008161652649797579
abuse,60,5.49512835246671,5.217496616071137,0.008276098784882523,0.008456616159286738
abuse,80,5.556005929548161,5.179048551540584,0.007912927195624708,0.0077031785894814565
anxiety,0,5.098224380251542,5.098224380251542,0.010636378420509723,0.010636378420509723
anxiety,100,5.470992969207414,5.051098480847553,0.006981722454577468,0.0068914642785986215
anxiety,20,5.165099308918205,5.076493436618878,0.008895841534067543,0.00884497545701876
anxiety,40,5.269204535552047,5.097983337034871,0.008727913458857452,0.008751019513348664
anxiety,60,5.322564941032523,5.069489711626227,0.008764903971060908,0.008171094434739954
anxiety,80,5.372693015495653,5.069690177614429,0.008496646203131081,0.0075693219587677114
depression,0,5.158607108006175,5.158607108006175,0.01013091000166371,0.01013091000166371
depression,100,5.445752409977014,5.017582901251009,0.008083088404307086,0.007588296102207351
depression,20,5.220284581611105,5.128973989722704,0.009661114365176682,0.009721175970392657
depression,40,5.2784193548026765,5.0987729262978565,0.008467243091395687,0.008630435123751858
depression,60,5.3446364170367735,5.069386625764178,0.008738444060296125,0.009426986271187699
depression,80,5.408404331339516,5.0350327163591775,0.007039370310783254,0.008787084633421132
mental_health,0,5.524187154236098,5.524187154236098,0.0077660168745497206,0.0077660168745497206
mental_health,100,5.862791566507368,5.404087338580565,0.004925458997736976,0.006530271492348682
mental_health,20,5.605390801525,5.51120797272721,0.006650128210387086,0.007167321016116707
mental_health,40,5.672507358192481,5.477127567318232,0.00788688586207965,0.007287290731225367
mental_health,60,5.723651681254876,5.43755424736731,0.0073134311889392675,0.006980112258206099
mental_health,80,5.801664345052356,5.427056793331811,0.007069699004733631,0.006405383635475234
mental_illness,0,5.373159212684832,5.373159212684832,0.008591289729892374,0.008591289729892374
mental_illness,100,5.65890967781673,5.160477853733557,0.05759359304726467,0.006992815998756142
mental_illness,20,5.445492735643182,5.333449625288121,0.008140895260591084,0.007509958307258036
mental_illness,40,5.513104076212965,5.279271760022762,0.007570493885047655,0.008688966795327126
mental_illness,60,5.5943657417763655,5.252101614769487,0.0072464814348409765,0.007805188435807919
mental_illness,80,5.647678405601601,5.201311255578221,0.007038691648104868,0.007436178858312073
trauma,0,5.237297563629325,5.237297563629325,0.008326236608112289,0.008326236608112289
trauma,100,5.568032601257062,5.080058277785952,0.006858509730001215,0.051850986087147756
trauma,20,5.313413461187688,5.22922747199209,0.008667555858505479,0.00944920611418911
trauma,40,5.387890871788279,5.200267933848497,0.008579977679782646,0.008977978075912916
trauma,60,5.437416114248156,5.176337187846541,0.0078107621392576295,0.007204400652766883
trauma,80,5.489455737191181,5.1474250811375954,0.006539801410732157,0.007501191095150917
