year,num_sentences,target
1972,1,abuse
1973,1,abuse
1974,5,abuse
1975,13,abuse
1976,19,abuse
1977,47,abuse
1978,39,abuse
1979,77,abuse
1980,59,abuse
1981,78,abuse
1982,73,abuse
1983,113,abuse
1984,113,abuse
1985,69,abuse
1986,92,abuse
1987,71,abuse
1988,137,abuse
1989,155,abuse
1990,95,abuse
1991,126,abuse
1992,143,abuse
1993,181,abuse
1994,200,abuse
1995,95,abuse
1996,115,abuse
1997,111,abuse
1998,105,abuse
1999,128,abuse
2000,154,abuse
2001,137,abuse
2002,118,abuse
2003,132,abuse
2004,152,abuse
2005,151,abuse
2006,164,abuse
2007,161,abuse
2008,149,abuse
2009,162,abuse
2010,171,abuse
2011,203,abuse
2012,148,abuse
2013,197,abuse
2014,217,abuse
2015,228,abuse
2016,251,abuse
2017,211,abuse
2018,195,abuse
1970,51,anxiety
1971,74,anxiety
1972,72,anxiety
1973,80,anxiety
1974,118,anxiety
1975,77,anxiety
1976,114,anxiety
1977,95,anxiety
1978,161,anxiety
1979,122,anxiety
1980,126,anxiety
1981,97,anxiety
1982,133,anxiety
1983,154,anxiety
1984,156,anxiety
1985,105,anxiety
1986,101,anxiety
1987,118,anxiety
1988,123,anxiety
1989,157,anxiety
1990,198,anxiety
1991,176,anxiety
1992,201,anxiety
1993,191,anxiety
1994,230,anxiety
1995,131,anxiety
1996,138,anxiety
1997,128,anxiety
1998,126,anxiety
1999,143,anxiety
2000,162,anxiety
2001,143,anxiety
2002,165,anxiety
2003,192,anxiety
2004,250,anxiety
2005,242,anxiety
2006,247,anxiety
2007,297,anxiety
2008,342,anxiety
2009,372,anxiety
2010,252,anxiety
2011,236,anxiety
2012,315,anxiety
2013,341,anxiety
2014,356,anxiety
2015,438,anxiety
2016,457,anxiety
2017,301,anxiety
2018,300,anxiety
2019,4,anxiety
1970,21,depression
1971,17,depression
1972,36,depression
1973,40,depression
1974,32,depression
1975,57,depression
1976,60,depression
1977,80,depression
1978,96,depression
1979,120,depression
1980,70,depression
1981,88,depression
1982,86,depression
1983,105,depression
1984,153,depression
1985,100,depression
1986,115,depression
1987,151,depression
1988,132,depression
1989,175,depression
1990,91,depression
1991,114,depression
1992,100,depression
1993,130,depression
1994,122,depression
1995,144,depression
1996,171,depression
1997,173,depression
1998,192,depression
1999,186,depression
2000,199,depression
2001,221,depression
2002,220,depression
2003,233,depression
2004,286,depression
2005,231,depression
2006,270,depression
2007,290,depression
2008,373,depression
2009,336,depression
2010,260,depression
2011,289,depression
2012,283,depression
2013,305,depression
2014,363,depression
2015,413,depression
2016,510,depression
2017,306,depression
2018,266,depression
2019,5,depression
1970,10,mental_health
1971,13,mental_health
1972,6,mental_health
1973,14,mental_health
1974,18,mental_health
1975,34,mental_health
1976,51,mental_health
1977,77,mental_health
1978,103,mental_health
1979,76,mental_health
1980,111,mental_health
1981,84,mental_health
1982,76,mental_health
1983,75,mental_health
1984,118,mental_health
1985,65,mental_health
1986,133,mental_health
1987,131,mental_health
1988,94,mental_health
1989,161,mental_health
1990,105,mental_health
1991,108,mental_health
1992,113,mental_health
1993,128,mental_health
1994,142,mental_health
1995,100,mental_health
1996,128,mental_health
1997,120,mental_health
1998,145,mental_health
1999,170,mental_health
2000,118,mental_health
2001,106,mental_health
2002,141,mental_health
2003,172,mental_health
2004,193,mental_health
2005,100,mental_health
2006,114,mental_health
2007,139,mental_health
2008,124,mental_health
2009,140,mental_health
2010,186,mental_health
2011,227,mental_health
2012,249,mental_health
2013,218,mental_health
2014,241,mental_health
2015,313,mental_health
2016,357,mental_health
2017,286,mental_health
2018,306,mental_health
2019,1,mental_health
1970,9,mental_illness
1971,5,mental_illness
1972,3,mental_illness
1973,11,mental_illness
1974,2,mental_illness
1975,8,mental_illness
1976,12,mental_illness
1977,19,mental_illness
1978,11,mental_illness
1979,13,mental_illness
1980,20,mental_illness
1981,14,mental_illness
1982,9,mental_illness
1983,11,mental_illness
1984,10,mental_illness
1985,17,mental_illness
1986,7,mental_illness
1987,7,mental_illness
1988,12,mental_illness
1989,14,mental_illness
1990,22,mental_illness
1991,16,mental_illness
1992,19,mental_illness
1993,18,mental_illness
1994,30,mental_illness
1995,33,mental_illness
1996,41,mental_illness
1997,56,mental_illness
1998,61,mental_illness
1999,46,mental_illness
2000,52,mental_illness
2001,58,mental_illness
2002,66,mental_illness
2003,85,mental_illness
2004,93,mental_illness
2005,66,mental_illness
2006,100,mental_illness
2007,118,mental_illness
2008,120,mental_illness
2009,125,mental_illness
2010,87,mental_illness
2011,106,mental_illness
2012,108,mental_illness
2013,114,mental_illness
2014,116,mental_illness
2015,136,mental_illness
2016,172,mental_illness
2017,94,mental_illness
2018,124,mental_illness
2019,3,mental_illness
1970,1,trauma
1971,3,trauma
1972,4,trauma
1973,1,trauma
1974,4,trauma
1975,1,trauma
1976,2,trauma
1978,1,trauma
1979,6,trauma
1980,10,trauma
1981,5,trauma
1982,11,trauma
1983,14,trauma
1984,12,trauma
1985,12,trauma
1986,20,trauma
1987,19,trauma
1988,23,trauma
1989,25,trauma
1990,48,trauma
1991,46,trauma
1992,64,trauma
1993,51,trauma
1994,89,trauma
1995,98,trauma
1996,111,trauma
1997,96,trauma
1998,110,trauma
1999,129,trauma
2000,101,trauma
2001,121,trauma
2002,138,trauma
2003,128,trauma
2004,150,trauma
2005,119,trauma
2006,142,trauma
2007,155,trauma
2008,158,trauma
2009,185,trauma
2010,84,trauma
2011,94,trauma
2012,116,trauma
2013,141,trauma
2014,137,trauma
2015,153,trauma
2016,193,trauma
2017,144,trauma
2018,134,trauma
2019,1,trauma
