target,epoch,lower_bound,upper_bound,num_sentences
abuse,1970-1974,0.46599999999999997,0.5860000000000001,7
abuse,1975-1979,0.46599999999999997,0.5860000000000001,195
abuse,1980-1984,0.46599999999999997,0.5860000000000001,436
abuse,1985-1989,0.496,0.556,524
abuse,1990-1994,0.506,0.546,745
abuse,1995-1999,0.516,0.536,554
abuse,2000-2004,0.516,0.536,693
abuse,2005-2009,0.516,0.536,787
abuse,2010-2014,0.516,0.536,936
abuse,2015-2019,0.516,0.536,885
anxiety,1970-1974,0.4355555555555555,0.5655555555555556,395
anxiety,1975-1979,0.4655555555555555,0.5455555555555556,569
anxiety,1980-1984,0.4755555555555555,0.5355555555555556,666
anxiety,1985-1989,0.4855555555555555,0.5255555555555556,604
anxiety,1990-1994,0.4855555555555555,0.5255555555555556,996
anxiety,1995-1999,0.4955555555555555,0.5155555555555555,666
anxiety,2000-2004,0.4955555555555555,0.5155555555555555,912
anxiety,2005-2009,0.4955555555555555,0.5155555555555555,1500
anxiety,2010-2014,0.4955555555555555,0.5155555555555555,1500
anxiety,2015-2019,0.4955555555555555,0.5155555555555555,1500
depression,1970-1974,0.42057142857142854,0.5505714285714286,146
depression,1975-1979,0.42057142857142854,0.5505714285714286,413
depression,1980-1984,0.4605714285714286,0.5205714285714286,502
depression,1985-1989,0.4705714285714286,0.5105714285714286,673
depression,1990-1994,0.4805714285714286,0.5005714285714286,557
depression,1995-1999,0.4805714285714286,0.5005714285714286,866
depression,2000-2004,0.4805714285714286,0.5005714285714286,1159
depression,2005-2009,0.4805714285714286,0.5005714285714286,1500
depression,2010-2014,0.4805714285714286,0.5005714285714286,1500
depression,2015-2019,0.4805714285714286,0.5005714285714286,1500
mental_health,1970-1974,0.5421999999999999,0.6722,61
mental_health,1975-1979,0.5421999999999999,0.6722,341
mental_health,1980-1984,0.5421999999999999,0.6722,464
mental_health,1985-1989,0.5521999999999999,0.6722,584
mental_health,1990-1994,0.5721999999999999,0.6522,596
mental_health,1995-1999,0.5821999999999999,0.6422,663
mental_health,2000-2004,0.5922,0.6322,730
mental_health,2005-2009,0.6022,0.6222,617
mental_health,2010-2014,0.6022,0.6222,1121
mental_health,2015-2019,0.6022,0.6222,1263
mental_illness,1970-1974,0.5038465909090908,0.6438465909090909,30
mental_illness,1975-1979,0.5038465909090908,0.6438465909090909,63
mental_illness,1980-1984,0.5038465909090908,0.6438465909090909,64
mental_illness,1985-1989,0.5038465909090908,0.6438465909090909,57
mental_illness,1990-1994,0.5038465909090908,0.6438465909090909,105
mental_illness,1995-1999,0.5038465909090908,0.6438465909090909,237
mental_illness,2000-2004,0.5038465909090908,0.6438465909090909,354
mental_illness,2005-2009,0.5038465909090908,0.6438465909090909,529
mental_illness,2010-2014,0.5338465909090908,0.6138465909090909,531
mental_illness,2015-2019,0.5338465909090908,0.6138465909090909,529
trauma,1970-1974,0.4562307692307691,0.5762307692307692,13
trauma,1975-1979,0.4562307692307691,0.5762307692307692,10
trauma,1980-1984,0.4562307692307691,0.5762307692307692,52
trauma,1985-1989,0.4562307692307691,0.5762307692307692,99
trauma,1990-1994,0.4562307692307691,0.5762307692307692,298
trauma,1995-1999,0.4762307692307691,0.5562307692307692,544
trauma,2000-2004,0.48623076923076913,0.5462307692307692,638
trauma,2005-2009,0.49623076923076914,0.5362307692307692,759
trauma,2010-2014,0.5062307692307692,0.5262307692307692,572
trauma,2015-2019,0.5062307692307692,0.5262307692307692,625
