epoch,num_sentences,target
1970-1974,7,abuse
1975-1979,188,abuse
1980-1984,434,abuse
1985-1989,512,abuse
1990-1994,722,abuse
1995-1999,536,abuse
2000-2004,683,abuse
2005-2009,789,abuse
2010-2014,931,abuse
2015-2019,843,abuse
1970-1974,378,anxiety
1975-1979,547,anxiety
1980-1984,664,anxiety
1985-1989,605,anxiety
1990-1994,973,anxiety
1995-1999,642,anxiety
2000-2004,906,anxiety
2005-2009,1500,anxiety
2010-2014,1500,anxiety
2015-2019,1500,anxiety
1970-1974,144,depression
1975-1979,399,depression
1980-1984,650,depression
1985-1989,665,depression
1990-1994,552,depression
1995-1999,797,depression
2000-2004,1121,depression
2005-2009,1500,depression
2010-2014,1500,depression
2015-2019,1500,depression
1970-1974,59,mental_health
1975-1979,338,mental_health
1980-1984,464,mental_health
1985-1989,576,mental_health
1990-1994,594,mental_health
1995-1999,653,mental_health
2000-2004,718,mental_health
2005-2009,615,mental_health
2010-2014,1109,mental_health
2015-2019,1222,mental_health
1970-1974,30,mental_illness
1975-1979,64,mental_illness
1980-1984,63,mental_illness
1985-1989,58,mental_illness
1990-1994,96,mental_illness
1995-1999,229,mental_illness
2000-2004,348,mental_illness
2005-2009,537,mental_illness
2010-2014,514,mental_illness
2015-2019,613,mental_illness
1970-1974,13,trauma
1975-1979,11,trauma
1980-1984,51,trauma
1985-1989,99,trauma
1990-1994,297,trauma
1995-1999,521,trauma
2000-2004,650,trauma
2005-2009,742,trauma
2010-2014,552,trauma
2015-2019,627,trauma
