target,sibling,sentence,mlm_ratio_RoBERTa-large,mlm_ratio_DeBERTa-v3-large,mlm_ratio_BioBERT,MiniLM-L12-v2,DistilRoBERTa-v1,Sentence-T5,validated
trauma,irritation,"In Experiment 1, we examined the effects of stimulus intensity (0.5, 1.0, 2.0 zingerone) and the number of successive stimuli in a series on psychophysical responses to zingerone irritation within the series and following a 5-min hiatus.",0.22192645921244733,0.2470220397408366,1.2506662732949796,0.9044127464294434,0.9187308549880981,0.9919673204421997,True
trauma,hallucinosis,"Finally, I try to demonstrate the practical utility of the concept of transformation in hallucinosis in order to read the complex dynamics of a clinical vignette.",0.01725445575425002,0.007105488718946662,4.834971840984193,0.8280303478240967,0.8164811134338379,0.9716733694076538,False
trauma,elation,It was hypothesized that there would be a positive relationship between the number of stimuli identified by Ss as reinforcing (together with the reinforcing value of the identified stimuli) and self-labeled depression-elation.,60.41758666870192,0.03656504796448104,2.24928145489198,0.9193214774131775,0.9436125159263611,0.9848642945289612,True
trauma,depression,Future research is needed to identify dimensions in different fatigue and depression scales in order to differentiate the impact of both symptoms on people living with HIV/AIDS.,0.21098639841799408,1.9824734788238143,6.288192571494632,0.9502050876617432,0.9342019557952881,0.9894908666610718,True
trauma,delusion,"They believed that the target loved them, interpreted ambiguous information consistent with this belief and confabulated evidence in service of their delusion.",0.01271119105723112,0.209976023275802,2.1894384876612754,0.9401190876960754,0.9086372256278992,0.9820882678031921,True
trauma,elation,"Self-reports of anxiety, anger, and elation were considered as indicators of specific emotional states; questionnaire measures of general excitement and of bodily arousal symptoms, heart rate, and blood pressure were regarded as indicators of nonspecific emotional changes.",0.0020707747455470608,0.04554034222660781,1.4165160034745263,0.9622637033462524,0.9787962436676025,0.9955528974533081,True
trauma,anxiety,At neither assessment did levels of anxiety or perceived stress predict PTD.,0.017150251632346524,0.19642983783205384,0.3040813199162282,0.9583292603492737,0.9179572463035583,0.9755704402923584,True
trauma,nervousness,"Individuals high in social anxiety were more likely than low socially anxious participants to think that being arrogant, suffering from a psychological problem, or experiencing a normal level of anxiety, nervousness or fear are likely explanations for safety behaviours, regardless of who exhibits them.",0.12343730171349171,0.005351105720073474,0.07493925915279324,0.9962610006332397,0.9828914403915405,0.9992867112159729,True
trauma,agitation,"Meta-analysis revealed no significant difference between medication and placebo in four studies targeting irritability/agitation and three studies investigating global improvement, although limitations include lack of power and different medications with diverse actions.",0.05351366347255868,0.23426093062397743,0.6003028033949045,0.9456492066383362,0.9792667627334595,0.9981005191802979,True
trauma,depression,"The Beck Depression Inventory, 2nd edition (BDI-II), a self-report measure of depressive symptoms, has been shown to support this two-factor structure.",0.009358139820997126,0.6301876586245169,26.766058674609223,1.0,0.9999999403953552,1.0,True
