baseline,high_intensity,low_intensity
"The choice of defensive style was found related to at least three factors: an early history of trauma, especially separation, parental encouragement of toughness, and essentially a counterphobic family style.","The choice of defensive style was found related to at least three factors: an early history of severe trauma, especially distressing separation, parental enforcement of toughness, and essentially an intense counterphobic family style.","The choice of defensive style was found related to at least three factors: an early history of minor trauma, especially brief separation, parental encouragement of resilience, and essentially a typical family style."
"While virtually anyone may lose his desire to live, the patient who suffers severe emotional trauma in surgery, along with severe distortions of his body, may be particularly susceptible to this apprehensiveness.","While virtually anyone may lose his desire to live, the patient who suffers extreme emotional trauma in surgery, along with severe and terrifying distortions of his body, may be particularly susceptible to this apprehensiveness.","While virtually anyone may lose his desire to live, the patient who suffers minor emotional trauma in surgery, along with slight distortions of his body, may be particularly susceptible to this apprehensiveness."
"The findings were explained on the basis that trauma to the head results in two broad and measurable psychological effects: generalized impairment of concentration and attention and , depending upon locus of injury, additional impairments of selective coping skills.","The findings were explained on the basis that severe trauma to the head results in two broad and measurable psychological effects: profound impairment of concentration and attention and, depending upon locus of injury, profound additional impairments of selective coping skills.","The findings were explained on the basis that mild trauma to the head results in two broad and measurable psychological effects: slight impairment of concentration and attention and, depending upon locus of injury, minor additional impairments of selective coping skills."
"The central question raised is: To what extent does maladaptation and malfunctioning characterize survivors of the unimaginably extreme, prolonged trauma of the Nazi concentration camps, and to what extent do we find successful adaptation among such persons?","The central question raised is: To what extent does maladaptation and severe malfunctioning characterize survivors of the profoundly unimaginable, prolonged trauma of the Nazi concentration camps, and to what extent do we find successful adaptation among such persons?","The central question raised is: To what extent does maladaptation and malfunctioning characterize survivors of the mild trauma of the Nazi concentration camps, and to what extent do we find successful adaptation among such persons?"
"Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the extreme trauma.","Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the severe and devastating trauma.","Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the moderate trauma."
"The literature on Heller's dementia, the meaning of the various symptoms, and the possible impact of the psychological trauma were discussed.","The literature on Heller's dementia, the meaning of the various symptoms, and the possible devastating impact of the psychological trauma were discussed.","The literature on Heller's dementia, the meaning of the various symptoms, and the possible minor impact of the psychological trauma were discussed."
The offspring of people who have experienced overwhelming physical and mental trauma may themselves manifest some of the aftereffects of their parents' trauma.,The offspring of people who have endured severe physical and mental trauma may themselves manifest significant aftereffects of their parents' trauma.,The offspring of people who have experienced mild physical and mental trauma may themselves manifest some subtle aftereffects of their parents' trauma.
Various control conditions appear to rule out injection trauma as a reason for the lauter failure.,Various control conditions appear to rule out severe injection trauma as the primary reason for the lauter failure.,Various control conditions appear to rule out minor injection trauma as a reason for the lauter failure.
The results failed to substantiate that increased dosage level resulted in more effective modification of trauma effects.,The results failed to substantiate that increased dosage level resulted in more effective modification of severe trauma effects.,The results failed to substantiate that increased dosage level resulted in more effective modification of mild trauma effects.
Implications of this case for the theory of the constructive trauma are discussed.,Implications of this case for the theory of the devastating constructive trauma are discussed.,Implications of this case for the theory of the subtle constructive trauma are discussed.
"The process may be hastened by release of vasoactive amines and hormones due to psychological reasons, stress, or trauma.","The process may be hastened by release of vasoactive amines and hormones due to severe psychological reasons, intense stress, or overwhelming trauma.","The process may be hastened by release of vasoactive amines and hormones due to mild psychological reasons, minor stress, or slight trauma."
"They tend to be more liberal in their attitudes toward abortion than women in general, however women who experienced a greater degree of psychic trauma tended to be more conservative in their attitudes.","They tend to be more extremely callous in their attitudes toward abortion than women in general; however, women who suffered an intense degree of psychic trauma tended to be more fearful in their attitudes.","They tend to be more accepting in their attitudes toward abortion than women in general; however, women who experienced minor psychic trauma tended to be more conservative in their attitudes."
The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below theknee) because of the propensity of this bone to suffer trauma as the ski and skier attempt to go in different directions.,The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below the knee) because of the dangerous propensity of this bone to suffer severe trauma as the ski and skier attempt to go in different directions.,The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below the knee) because of the propensity of this bone to experience mild trauma as the ski and skier attempt to go in different directions.
"This is taken as an indicator that prolonged stress, as constant fear of death, may cause brain damage without physical trauma.","This is taken as an indicator that prolonged stress, as an unrelenting fear of death, may cause severe brain damage without physical trauma.","This is taken as an indicator that prolonged stress, as constant anxiety, may affect brain function without significant physical trauma."
Implicit in recent social science research and political discussions is a model linking the economy to mental_disorder through the intervening constructs of life change and trauma.,Implicit in recent social science research and political discussions is a model linking the economy to mental disorder through the intervening constructs of life change and severe trauma.,Implicit in recent social science research and political discussions is a model linking the economy to mental disorder through the intervening constructs of life change and mild trauma.
The Trauma--Stren (T-S) conversion procedure was examined at a large state university and the construct related to personality and cognitive process variables.,The extreme Trauma--Stren (T-S) conversion procedure was examined at a large state university and the construct related to intense personality and cognitive process variables.,The mild Trauma--Stren (T-S) conversion procedure was examined at a large state university and the construct related to routine personality and cognitive process variables.
"This case of visual agnosia is of special interest because of its causation by trauma, of the unusually long follow-up (10 1/2 years), and the evidence for dual deficits of recognition and perception.","This case of severe visual agnosia is of special interest because of its causation by extreme trauma, of the unusually long follow-up (10 1/2 years), and the compelling evidence for profound dual deficits of recognition and perception.","This case of visual agnosia is of special interest because of its causation by mild trauma, of the unusually long follow-up (10 1/2 years), and the subtle evidence for minor dual deficits of recognition and perception."
This reactivated a former successfully repressed trauma and acted as a precipitating factor to the development of a traumatic neurosis which was left untreated.,This violently reactivated a former successfully repressed trauma and acted as a critical precipitating factor to the development of a severe traumatic neurosis which was left untreated.,This gently reactivated a former successfully repressed trauma and acted as a minor precipitating factor to the development of a mild traumatic neurosis which was left untreated.
Ten of the 22 children between the ages of 2 and 10 years reacted to the trauma severely and were so markedly hindered in their daily functioning that psychological help was considered imperative.,Ten of the 22 children between the ages of 2 and 10 years reacted to the overwhelming trauma with extreme difficulty and were so profoundly hindered in their daily functioning that urgent psychological help was considered absolutely imperative.,"Ten of the 22 children between the ages of 2 and 10 years reacted to the trauma mildly and were only somewhat hindered in their daily functioning, so psychological help was considered helpful but not imperative."
The disorganizing effect of the trauma of the loss of a father as reflected in this high percentage of disturbance in normal children indicates that without doubt a child who has lost a parent is a child at risk.,The devastating effect of the incapacitating trauma of the loss of a father as reflected in this exceptionally high percentage of severe disturbance in normal children indicates that without doubt a child who has lost a parent is a child in extreme risk.,The disorganizing effect of the mild trauma of the loss of a father as reflected in this moderate percentage of disturbance in normal children indicates that a child who has lost a parent might face certain challenges.
"More generally, they suggest that the postrelease trauma thesis itself should not be accepted without extensive and rigorous empirical examination.","More generally, they suggest that the deeply disturbing postrelease trauma thesis itself should not be accepted without extensive and rigorous empirical examination.","More generally, they suggest that the mild postrelease trauma thesis itself should not be accepted without extensive and rigorous empirical examination."
"The use of paraverbal therapy, a specialized therapeutic approach, is described in the short-term treatment of patients exhibiting emotional disturbances secondary to illness or trauma.","The use of paraverbal therapy, a specialized and intense therapeutic approach, is described in the critical short-term treatment of patients exhibiting severe emotional disturbances secondary to illness or trauma.","The use of paraverbal therapy, a specialized therapeutic approach, is described in the short-term treatment of patients exhibiting minor emotional disturbances secondary to illness or trauma."
