dimension,variation,target,year,injection_level,avg_dissimilarity
breadth,N/A,trauma,1970-1974,0_20,0.22983149
breadth,N/A,trauma,1970-1974,0_40,0.22990003
breadth,N/A,trauma,1970-1974,0_60,0.22963288
breadth,N/A,trauma,1970-1974,0_80,0.22558308
breadth,N/A,trauma,1970-1974,0_100,0.22066954
breadth,N/A,trauma,1975-1979,0_20,0.18144467
breadth,N/A,trauma,1975-1979,0_40,0.18488768
breadth,N/A,trauma,1975-1979,0_60,0.18713138
breadth,N/A,trauma,1975-1979,0_80,0.19169113
breadth,N/A,trauma,1975-1979,0_100,0.1963466
breadth,N/A,trauma,1980-1984,0_20,0.16992521
breadth,N/A,trauma,1980-1984,0_40,0.17509896
breadth,N/A,trauma,1980-1984,0_60,0.18071122
breadth,N/A,trauma,1980-1984,0_80,0.18055509
breadth,N/A,trauma,1980-1984,0_100,0.18060562
breadth,N/A,trauma,1985-1989,0_20,0.20432165
breadth,N/A,trauma,1985-1989,0_40,0.20295338
breadth,N/A,trauma,1985-1989,0_60,0.20509005
breadth,N/A,trauma,1985-1989,0_80,0.20562756
breadth,N/A,trauma,1985-1989,0_100,0.20390978
breadth,N/A,trauma,1990-1994,0_20,0.15369017
breadth,N/A,trauma,1990-1994,0_40,0.15755698
breadth,N/A,trauma,1990-1994,0_60,0.16340393
breadth,N/A,trauma,1990-1994,0_80,0.17165376
breadth,N/A,trauma,1990-1994,0_100,0.17735644
breadth,N/A,trauma,1995-1999,0_20,0.13999729
breadth,N/A,trauma,1995-1999,0_40,0.14416824
breadth,N/A,trauma,1995-1999,0_60,0.15362465
breadth,N/A,trauma,1995-1999,0_80,0.15687647
breadth,N/A,trauma,1995-1999,0_100,0.16030742
breadth,N/A,trauma,2000-2004,0_20,0.11537359
breadth,N/A,trauma,2000-2004,0_40,0.12478645
breadth,N/A,trauma,2000-2004,0_60,0.13372913
breadth,N/A,trauma,2000-2004,0_80,0.14444454
breadth,N/A,trauma,2000-2004,0_100,0.15569988
breadth,N/A,trauma,2005-2009,0_20,0.1057063
breadth,N/A,trauma,2005-2009,0_40,0.10952185
