dimension,variation,target,year,injection_level,avg_dissimilarity
sentiment,positive,trauma,1970-1974,0_20,0.23678985
sentiment,positive,trauma,1970-1974,0_40,0.23388979
sentiment,positive,trauma,1970-1974,0_60,0.23388979
sentiment,positive,trauma,1970-1974,0_80,0.22969303
sentiment,positive,trauma,1970-1974,0_100,0.22958831
sentiment,positive,trauma,1975-1979,0_20,0.17275687
sentiment,positive,trauma,1975-1979,0_40,0.1730679
sentiment,positive,trauma,1975-1979,0_60,0.17111585
sentiment,positive,trauma,1975-1979,0_80,0.17216592
sentiment,positive,trauma,1975-1979,0_100,0.17540517
sentiment,positive,trauma,1980-1984,0_20,0.15855408
sentiment,positive,trauma,1980-1984,0_40,0.15808572
sentiment,positive,trauma,1980-1984,0_60,0.15889868
sentiment,positive,trauma,1980-1984,0_80,0.15473655
sentiment,positive,trauma,1980-1984,0_100,0.15305112
sentiment,positive,trauma,1985-1989,0_20,0.20455508
sentiment,positive,trauma,1985-1989,0_40,0.19938663
sentiment,positive,trauma,1985-1989,0_60,0.19756897
sentiment,positive,trauma,1985-1989,0_80,0.19660202
sentiment,positive,trauma,1985-1989,0_100,0.1952249
sentiment,positive,trauma,1990-1994,0_20,0.14269292
sentiment,positive,trauma,1990-1994,0_40,0.14665535
sentiment,positive,trauma,1990-1994,0_60,0.14437276
sentiment,positive,trauma,1990-1994,0_80,0.14496724
sentiment,positive,trauma,1990-1994,0_100,0.14751133
sentiment,positive,trauma,1995-1999,0_20,0.13344784
sentiment,positive,trauma,1995-1999,0_40,0.13205308
sentiment,positive,trauma,1995-1999,0_60,0.13003463
sentiment,positive,trauma,1995-1999,0_80,0.12932141
sentiment,positive,trauma,1995-1999,0_100,0.12961471
sentiment,positive,trauma,2000-2004,0_20,0.12318976
sentiment,positive,trauma,2000-2004,0_40,0.12233698
sentiment,positive,trauma,2000-2004,0_60,0.12149837
sentiment,positive,trauma,2000-2004,0_80,0.11938027
