The present study examined how different types of social support differentially moderated the relationship between trauma history characteristics and the development of posttraumatic stress disorder symptoms (PTSS) following a motor vehicle accident (MVA).	natural
Results indicated that child survivors of complex trauma presented with higher levels of generalized behavior problems and trauma-related symptoms than those who experienced (a) acute noninterpersonal trauma, (b) chronic interpersonal trauma that begins later in life, and (c) acute interpersonal trauma.	natural
Little research exists that speaks to patients own accounts of the process of trauma recovery.	natural
In contrast to previous research using samples with known trauma exposure, we found support for both 1-factor and 2-factor models of PTSD symptoms.	natural
Visits to the location of the trauma are often included in trauma-focused cognitive behavioural therapy (TF-CBT) for post-traumatic stress disorder (PTSD), but no research to date has explored how service users experience these visits, or whether and how they form an effective part of treatment.	natural
To assess the incidence and injury characteristics of hospitalized trauma patients diagnosed with TBI.	natural
Clients reported experiencing PTSD in relation to events that occurred on average 20 years earlier, suggesting the clinical need to address trauma and loss throughout the lifespan, including their prolonged after-effects.	natural
Cumulative trauma was associated with higher post-stress IL-1 and IL-1/IL-10, but not with IL-10 or changes in emotion.	natural
This article will present a compilation of case studies that will document the art therapy process utilized to assist incarcerated women with histories of severe trauma in expressing their feelings in an appropriate manner.	natural
Although researchers have documented these challenges well, few studies have examined the experiences of family caregivers to older adults who have endured early life trauma.	natural
At the 1 and 6 month evaluations, cortisol and IL-6 concentrations in both trauma groups became normal.	natural
This article will first address general issues about disrupted memory and knowledge isolation for trauma, as well as introduce specific aspects of betrayal trauma theory (Freyd 1994, 1996) that inform our understanding of memory impairment.	natural
Young people who had experienced severe trauma and were sent to outofhome treatment settings after conviction for a criminal offence had lower recidivism rates when receiving treatment in foster care than other outofhome placements, while those with less severe or no trauma histories had lower recidivism rates with any outofhome placement.	natural
Consequently, little is known about the clinical correlates of trauma in recently victimized older adults.	natural
Their trauma, however, also often permeates the assessment data and shocks the assessor.	natural
The current study examined shame in a clinical sample recovering from a first episode of psychosis by focusing on the contribution of different types of shame to post-psychotic trauma while controlling for current affective symptoms.	natural
All of them were suffering from heavy mental trauma.	natural
Further, PTSD symptoms, and particularly PTSD avoidance/numbing cluster symptoms, intervened in the relationship between childhood trauma and adult functional social support.	natural
As well as all subjects displaying no avoidant encoding style for trauma words overall, we also noted no avoidant encoding style as a function of trauma history or treatment condition.	natural
Of those who completed both surveys, 97 experienced a trauma at least one week before T2; this group comprised the final sample.	natural
Among mothers without trauma histories, far fewer PSE mothers (5 of 24; 21) faced an episode of moderately severe depressive symptoms than control mothers (12 of 26; 46) for a notably increased risk aOR of 0.15 (95 CI: 0.03, 0.79).	synthetic_negative
Future research on the role of trauma and its detrimental impact on young people's substance misuse is needed to address pressing concerns.	synthetic_negative
