baseline,high_intensity,low_intensity
The argument that Winnicott provides an original theory of being is supported with reference to his interpretation of the fear of breakdown as a reaction to early trauma.,The argument that Winnicott provides an original theory of being is supported with reference to his interpretation of the intense fear of breakdown as a reaction to severe early trauma.,The argument that Winnicott provides an original theory of being is supported with reference to his interpretation of the concern of breakdown as a reaction to minor early trauma.
"Our comprehensive review of the literature on the mental_health of AI/AN youth highlighted seven focal causes of behavioral health disparities: high levels of violence and trauma exposure and traumatic loss, past and current oppression, racism, and discrimination, underfunded systems of care, disregard for effective indigenous practices in service provision, policy, and funding, overreliance on evidence-based practices, lack of cultural competence among systems of care and providers, and barriers to care.","Our comprehensive review of the literature on the mental health of AI/AN youth highlighted seven focal causes of behavioral health disparities: intensively high levels of extreme violence and trauma exposure and traumatic loss, severe past and current oppression, rampant racism, and discrimination, critically underfunded systems of care, blatant disregard for effective indigenous practices in service provision, policy, and funding, excessive overreliance on insufficiently tested evidence-based practices, profound lack of cultural competence among systems of care and providers, and significant barriers to care.","Our comprehensive review of the literature on the mental health of AI/AN youth highlighted seven focal causes of behavioral health disparities: moderate levels of violence and trauma exposure and traumatic loss, past and current challenges of oppression, occasional racism, and discrimination, somewhat underfunded systems of care, partial disregard for effective indigenous practices in service provision, policy, and funding, noticeable overreliance on evidence-based practices, limited lack of cultural competence among systems of care and providers, and minimal barriers to care."
"Because the Armenian genocide has resulted in nearly a century-long effort of perpetrator denial, it can provide an important case study of how long-standing trauma and denial reinforce each other and illuminate each other.","Because the Armenian genocide has resulted in nearly a century-long effort of perpetrator denial, it can provide a profoundly significant case study of how extreme long-standing trauma and denial reinforce each other and illuminate each other.","Because the Armenian genocide has resulted in nearly a century-long effort of perpetrator denial, it can provide an important case study of how enduring mild trauma and denial reinforce each other and illuminate each other."
"The article also selectively reviews the impact of trauma on the biological, emotional, social, and cognitive functioning of young children's development along with some promising clinical treatment and service interventions that target the parent-child relationship as a vehicle of trauma recovery.","The article also selectively reviews the devastating impact of trauma on the biological, emotional, social, and cognitive functioning of young children's development along with some advanced clinical treatment and service interventions that target the parent-child relationship as a crucial vehicle of trauma recovery.","The article also selectively reviews the impact of mild trauma on the biological, emotional, social, and cognitive functioning of young children's development along with some promising clinical treatment and service interventions that target the parent-child relationship as a vehicle of trauma recovery."
"However, more direct investigations are needed to test precisely when and how childhood trauma affects memory for emotionally significant, distressing experiences.","However, more exhaustive investigations are needed to test precisely when and how severe childhood trauma affects memory for emotionally significant, distressing experiences.","However, more direct investigations are needed to test precisely when and how mild childhood trauma affects memory for emotionally significant, distressing experiences."
The utility of these findings in understanding the process of trauma transmission between therapist and client as well as directions for future research are discussed.,The critical utility of these findings in understanding the intense process of trauma transmission between therapist and client as well as urgent directions for future research are discussed.,The utility of these findings in understanding the mild process of trauma transmission between therapist and client as well as general directions for future research are discussed.
To identify the existence of any services for people with psychological trauma and to describe how they work.,To identify the existence of any specialized services for people with severe psychological trauma and to describe how they work.,To identify the existence of any services for people with mild psychological trauma and to describe how they work.
"The Trauma Symptom Inventory (TSI), Minnesota Multiphasic Personality Inventory-2 (MMPI-2), and Posttraumatic Diagnostic Scale (PDS) were administered to 71 women who reported histories of childhood and/or adult sexual maltreatment and 25 women who did not report a history of victimization.","The Trauma Symptom Inventory (TSI), Minnesota Multiphasic Personality Inventory-2 (MMPI-2), and Posttraumatic Diagnostic Scale (PDS) were administered to 71 women who endured harrowing histories of childhood and/or adult sexual maltreatment and 25 women who did not report a history of victimization.","The Trauma Symptom Inventory (TSI), Minnesota Multiphasic Personality Inventory-2 (MMPI-2), and Posttraumatic Diagnostic Scale (PDS) were administered to 71 women who reported histories of childhood and/or adult mild sexual maltreatment and 25 women who did not report a history of victimization."
The aim of this study was to provide psychologists with a brief overview of the research into relationship between childhood trauma and psychosis and directions for psychological interventions.,The aim of this study was to provide psychologists with a brief overview of the research into the relationship between severe childhood trauma and intense psychosis and directions for comprehensive psychological interventions.,The aim of this study was to provide psychologists with a brief overview of the research into the relationship between minor childhood trauma and mild psychosis and directions for supportive psychological interventions.
"Structural Equation Modeling was used cross-sectionally with data from a clinical opportunity sample ( N = 290) to test (a) whether problem behavior covariance was associated with experiential avoidance, and (b) whether experiential avoidance mediated the relationships between historical and dispositional risk factors (childhood trauma and negative affect intensity, respectively) and the tendency to engage in problem behaviors.","Structural Equation Modeling was used cross-sectionally with data from a clinical opportunity sample (N = 290) to test (a) whether problem behavior covariance was associated with intense experiential avoidance, and (b) whether experiential avoidance strongly mediated the relationships between severe historical and dispositional risk factors (particularly childhood trauma and high negative affect intensity, respectively) and the tendency to engage in problematic behaviors.","Structural Equation Modeling was used cross-sectionally with data from a clinical opportunity sample (N = 290) to test (a) whether problem behavior covariance was associated with mild experiential avoidance, and (b) whether experiential avoidance modestly mediated the relationships between historical and dispositional risk factors (such as light childhood trauma and low negative affect intensity, respectively) and the tendency to engage in problem behaviors."
