baseline,high_intensity,low_intensity
Patients judged ready for release from a state mental hospital were interviewed to determine their levels of depression and psychosocial functioning.,Patients judged ready for release from a state mental hospital were intensely interviewed to determine their extreme levels of depression and diminished psychosocial functioning.,Patients judged ready for release from a state mental hospital were carefully interviewed to determine their mild levels of depression and adequate psychosocial functioning.
"The possibility of unresolved grief should receive a high index of suspicion for the patient with otherwise unexplainable depression, chronic illness behavior, or symptoms similar to those of a deceased relative or friend.","The possibility of unresolved grief should receive a heightened level of suspicion for the patient with otherwise unexplainable, severe depression, chronic illness behavior, or symptoms severely similar to those of a deceased relative or friend.","The possibility of unresolved grief should receive a cautious level of suspicion for the patient with otherwise unexplainable, mild depression, chronic illness behavior, or symptoms vaguely similar to those of a deceased relative or friend."
"Of 101 adolescents and young adults admitted to a depression inpatient unit, and independently evaluated by researchers and clinicians, only one had ever made a prepubertal suicide attempt.","Of 101 deeply troubled adolescents and young adults admitted to a severe depression inpatient unit, and independently evaluated by researchers and clinicians, only one had ever made a drastic prepubertal suicide attempt.","Of 101 adolescents and young adults admitted to a mild depression inpatient unit, and independently evaluated by researchers and clinicians, only one had ever made a prepubertal suicide attempt."
The use of psychopharmacological agents to reduce anxiety and depression should be encouraged.,The use of psychopharmacological agents to reduce severe anxiety and intense depression should be strongly encouraged.,The use of psychopharmacological agents to reduce mild anxiety and slight depression should be encouraged.
"The results of a study, realized in the Department of Psychiatry of the University of Limoges, showed that the depression among women is not only different and preponderant, but also more acute.","The results of a study, realized in the Department of Psychiatry of the University of Limoges, showed that the severe depression among women is not only different and preponderant, but also more intensely acute.","The results of a study, realized in the Department of Psychiatry of the University of Limoges, showed that the mild depression among women is not only different and more common, but also less acute."
"The sole effect was a slight depression of alpha activity, a well-known nonspecific effect associated with changes in attention and arousal.","The sole effect was a marked depression of alpha activity, a well-known nonspecific effect associated with significant changes in attention and arousal.","The sole effect was a minimal depression of alpha activity, a well-known nonspecific effect associated with subtle changes in attention and arousal."
It is concluded that until the subscales are further developed and validated it is safest to rely mainly on the Dscore as a measure of a general depression problem in children.,"It is concluded that until the subscales are further developed and rigorously validated it is safest to rely mainly on the Dscore as a measure of an intense, pervasive depression problem in children.","It is concluded that until the subscales are further developed and validated it is safest to rely mainly on the Dscore as a measure of a general, mild depression issue in children."
The attributional formulations of the learned helplessness model of depression were tested with regard to the model's applicability to women and its implications for assertion training as a therapy for depression.,The attributional formulations of the learned helplessness model of intense depression were rigorously tested with regard to the model's applicability to women and its profound implications for intensive assertion training as a therapy for severe depression.,The attributional formulations of the learned helplessness model of mild depression were evaluated with regard to the model's applicability to women and its implications for basic assertion training as a therapy for low-level depression.
"It was theorized that consistent, long-term, non-contingent interaction with the child over the formative years, results in endogenous depression.","It was theorized that relentless, long-term, non-contingent interaction with the child over the formative years, results in profound endogenous depression.","It was theorized that consistent, occasional, non-contingent interaction with the child over the formative years, results in mild endogenous depression."
"In families in which mothers were depressed, depression in the father did not increase the likelihood of anxious attachment between mother and child.","In families in which mothers were severely depressed, extreme depression in the father did not increase the likelihood of anxious attachment between mother and child.","In families in which mothers were mildly depressed, depression in the father did not increase the likelihood of anxious attachment between mother and child."
"Using newly developed codes on parenting behavior during the Great Depression, this study investigates the role of parental behavior (rejecting, nonsupportive) in linking economic hardship to children's lives in the Oakland Growth Study.","Using newly developed codes on parenting behavior during the horrific Great Depression, this study investigates the overwhelming role of parental behavior (rejecting, nonsupportive) in severely linking economic hardship to children's lives in the Oakland Growth Study.","Using newly developed codes on parenting behavior during the challenging Great Depression, this study investigates the role of parental behavior (reluctant, less supportive) in gently linking economic hardship to children's lives in the Oakland Growth Study."
"Common responses of caregivers include denial, anger, guilt, self-pity and depression.","Common responses of caregivers include intense denial, overwhelming anger, deep guilt, excessive self-pity and severe depression.","Common responses of caregivers include denial, mild anger, slight guilt, some self-pity and mild depression."
"According to the reformulated learned helplessness model of depression, causal attributions are an important mediator of the effects on mood of positive and negative experiences.","According to the reformulated learned helplessness model of severe depression, causal attributions are a critical mediator of the overwhelming effects on mood of profoundly positive and negative experiences.","According to the reformulated learned helplessness model of mild depression, causal attributions are an important mediator of the subtle effects on mood of generally positive and negative experiences."
"The pattern of the other depressogenic coping cognitions was also different for the two contexts: While ratings of upset and lack of current and future control were related to depression for the Alzheimer patient's behavior, ratings of poor current and future coping, lack of coping success, and coping dissatisfaction were related to depression for the subject's life change context.","The pattern of the other depressogenic coping cognitions was also drastically different for the two contexts: While ratings of profound upset and overwhelming lack of current and future control were related to depression for the Alzheimer patient's behavior, ratings of severe poor current and future coping, lack of coping success, and intense coping dissatisfaction were strongly related to depression for the subject's life change context.","The pattern of the other depressogenic coping cognitions was also slightly different for the two contexts: While ratings of mild upset and some lack of current and future control were related to depression for the Alzheimer patient's behavior, ratings of minimal poor current and future coping, lack of coping success, and coping dissatisfaction were somewhat related to depression for the subject's life change context."
Recent inquiries into the etiology and maintenance of depression have had a strong cognitive emphasis.,Recent inquiries into the etiology and maintenance of severe depression have had a strong cognitive emphasis.,Recent inquiries into the etiology and maintenance of mild depression have had a strong cognitive emphasis.
"The consideration of attributional style as a vulnerability factor to depression is proposed, and a number of directions for future research are offered.","The consideration of a damaging attributional style as a vulnerability factor to severe depression is proposed, and a number of pressing directions for future research are offered.","The consideration of attributional style as a minor vulnerability factor to mild depression is proposed, and a number of directions for future research are offered."
"Multiple regression was used to determine which predictor variables significantly accounted for explained variance on the three criterion variables of state anxiety, trait anxiety, and depression, respectively.","Multiple regression was used to determine which predictor variables significantly accounted for explained variance on the three criterion variables of extreme state anxiety, heightened trait anxiety, and severe depression, respectively.","Multiple regression was used to determine which predictor variables significantly accounted for explained variance on the three criterion variables of mild state anxiety, low trait anxiety, and slight depression, respectively."
A hierarchical multiple regression analysis revealed significant main effects of pretreatment depression level and negative automatic thoughts.,A hierarchical multiple regression analysis revealed significant and alarming main effects of a high pretreatment depression level and overwhelming negative automatic thoughts.,A hierarchical multiple regression analysis revealed notable main effects of a low pretreatment depression level and minor negative automatic thoughts.
"Significant interactions were also found between hoped-for improvement and specific attributions for depression, and expectations for improvement and negative automatic thoughts.","Significant interactions were also found between intense hoped-for improvement and profound specific attributions for depression, and expectations for vast improvement and intensely negative automatic thoughts.","Significant interactions were also found between modest hoped-for improvement and general attributions for depression, and expectations for some improvement and mildly negative automatic thoughts."
"These results are discussed in terms of both cognitive and interactional models of depression, and implications for the treatment of depression and for future research are presented.","These daunting results are discussed in terms of both complex cognitive and interactional models of severe depression, and dire implications for the aggressive treatment of intense depression and extensive future research are presented.","These results are discussed in terms of both straightforward cognitive and interactional models of mild depression, and moderate implications for the gentle treatment of minor depression and for future research are presented."
"Whereas previous research linking problem solving and depression has focused on problem-solving skills related to laboratory tasks, the relationship between higher-order cognitive variables such as an appraisal of one's general problem-solving skills and depression has not been addressed.","Whereas previous research linking problem solving and severe depression has focused on problem-solving skills related to laboratory tasks, the relationship between higher-order cognitive variables such as an appraisal of one's general problem-solving skills and debilitating depression has not been addressed.","Whereas previous research linking problem solving and mild depression has focused on problem-solving skills related to laboratory tasks, the relationship between higher-order cognitive variables such as an appraisal of one's general problem-solving skills and everyday depression has not been addressed."
Results are discussed in terms of real-life problem-solving processes and a more complex model of depression.,Results are discussed in terms of real-life problem-solving processes and a more complex and severe model of depression.,Results are discussed in terms of real-life problem-solving processes and a simpler model of minor depression.
"Numerous studies have demonstrated a significant depression in performance IQ (PIQ) in Turner Syndrome (TS) females, but the neuropsychological interpretation of this finding remains unclear.","Numerous studies have demonstrated a severe depression in performance IQ (PIQ) in Turner Syndrome (TS) females, but the neuropsychological interpretation of this finding remains unclear.","Numerous studies have demonstrated a slight depression in performance IQ (PIQ) in Turner Syndrome (TS) females, but the neuropsychological interpretation of this finding remains unclear."
"Nonstatistical patterns of the bereavement process indicate that those who are most likely to participate are more likely than the others to have a confidant but with less availability, have higher depression, and have lower perceived coping abilities and life satisfaction.","Nonstatistical patterns of the bereavement process indicate that those who are most likely to participate are more likely than the others to have a confidant but with significantly less availability, have much higher depression, and have markedly lower perceived coping abilities and life satisfaction.","Nonstatistical patterns of the bereavement process indicate that those who are most likely to participate are more likely than the others to have a confidant but with slightly less availability, have somewhat higher depression, and have marginally lower perceived coping abilities and life satisfaction."
