baseline,high_intensity,low_intensity
A cutoff score of 5 correctly classified 82.5 of this sample as having an anxiety disorder diagnosis or not.,A cutoff score of 4 intensely classified 82.5 of this sample as having a severe anxiety disorder diagnosis or not.,A cutoff score of 5 correctly classified 82.5 of this sample as having a mild anxiety disorder diagnosis or not.
"Among diagnostically diverse patients (N = 11), the UP group treatment resulted in moderate to strong effects on anxiety and depressive symptoms, functional impairment, quality of life, and emotion regulation skills, as well as good acceptability and overall satisfaction ratings from patients.","Among diagnostically diverse patients (N = 11), the UP group treatment resulted in strong to intense effects on anxiety and depressive symptoms, severe functional impairment, quality of life challenges, and emotion regulation difficulties, as well as good acceptability and overall satisfaction ratings from patients.","Among diagnostically diverse patients (N = 11), the UP group treatment resulted in mild to moderate effects on anxiety and depressive symptoms, functional impairment, quality of life, and emotion regulation skills, as well as good acceptability and overall satisfaction ratings from patients."
The incidence rate of depression and anxiety per 100 person-years was calculated.,The alarming incidence rate of depression and severe anxiety per 100 person-years was calculated.,The mild incidence rate of depression and anxiety per 100 person-years was calculated.
Dampening of positive emotion was predicted by avoidance and self esteem and by the interaction of attachment anxiety with self esteem.,Dampening of positive emotion was overwhelmingly predicted by avoidance and low self-esteem and by the intense interaction of attachment anxiety with self-esteem.,Dampening of positive emotion was predicted by avoidance and self-esteem and by the mild interaction of attachment anxiety with self-esteem.
"Our findings support a possible association, depending on gender, between the MAOA-uVNTR polymorphism and psychopathological disorders such as anxiety, which affects high rates of children and adolescents.","Our findings strongly support a significant association, depending on gender, between the MAOA-uVNTR polymorphism and severe psychopathological disorders such as intense anxiety, which affects alarmingly high rates of children and adolescents.","Our findings support a possible association, depending on gender, between the MAOA-uVNTR polymorphism and mild psychopathological disorders such as anxiety, which affects a notable rate of children and adolescents."
Trait anxiety was found to moderate both state anxiety and childhood SES to influence intertemporal decision processes.,Severe trait anxiety was found to strongly moderate both overwhelming state anxiety and childhood SES to drastically influence intertemporal decision processes.,Trait anxiety was found to moderately influence both state anxiety and childhood SES to subtly impact intertemporal decision processes.
"We found that mid-life participants (n = 30) reported greater psychological distress (depression/anxiety) than non-mid-life (n = 62) participants (Hospital Anxiety and Depression Scale scores 13.8 [SD 7.3] vs. 10.6 [SD 6.6]; t(90)=2.13; p = .035), and qualitative analysis revealed several specific sources of stress significantly more common (p < .001) in mid-life adults.","We discovered that mid-life participants (n = 30) reported intense psychological distress (depression/anxiety) compared to non-mid-life (n = 62) participants (Hospital Anxiety and Depression Scale scores 13.8 [SD 7.3] vs. 10.6 [SD 6.6]; t(90)=2.13; p = .035), and qualitative analysis uncovered numerous specific sources of severe stress significantly more common (p < .001) in mid-life adults.","We found that mid-life participants (n = 30) reported some psychological distress (depression/anxiety) compared to non-mid-life (n = 62) participants (Hospital Anxiety and Depression Scale scores 13.8 [SD 7.3] vs. 10.6 [SD 6.6]; t(90)=2.13; p = .035), and qualitative analysis revealed a few specific sources of stress somewhat more common (p < .001) in mid-life adults."
"We conclude that in humans initial versus sustained anxiety responses triggered by a threat associated context are associated with distinguishable brain activation patterns involving a fear network and a contingency-cognitive network, respectively.","We conclude that in humans, the initial versus sustained anxiety responses triggered by a threat-associated context are linked with intense brain activation patterns involving a heightened fear network and a contingency-cognitive network, respectively.","We conclude that in humans, initial versus sustained anxiety responses triggered by a threat-associated context are associated with subtle brain activation patterns involving a fear network and a contingency-cognitive network, respectively."
"Pregnancy-related anxiety (PrA) has attracted considerable research attention, but questions remain about its distinctiveness from conventional constructs and measures.","Pregnancy-related anxiety (PrA) has increasingly attracted intense research attention, but pressing questions remain about its distinctiveness from conventional constructs and measures.","Pregnancy-related anxiety (PrA) has attracted some research attention, but questions remain about its subtle distinctiveness from conventional constructs and measures."
"A cross-sectional design was employed that utilised: the Hospital Depression and Anxiety Scale, Movement Disorder Society revision of the Unified Parkinson's Disease Rating Scale, the Addenbrooke's Cognitive Examination - Revised, the Intolerance of Uncertainty Scale, and the Metacognitions Questionnaire 30.","A cross-sectional design was employed that utilised: the Hospital Depression and Anxiety Scale, Movement Disorder Society revision of the Unified Parkinson's Disease Rating Scale, the Addenbrooke's Cognitive Examination - Revised, the Severe Intolerance of Uncertainty Scale, and the Metacognitions Questionnaire 30.","A cross-sectional design was employed that utilised: the Hospital Depression and Anxiety Scale, Movement Disorder Society revision of the Unified Parkinson's Disease Rating Scale, the Addenbrooke's Cognitive Examination - Revised, the Mild Intolerance of Uncertainty Scale, and the Metacognitions Questionnaire 30."
