baseline,high_intensity,low_intensity
The present study provided an assessment of alcohol use in couples characterized by wife abuse.,The present study provided an assessment of alcohol use in couples characterized by brutal wife abuse.,The present study provided an assessment of alcohol use in couples characterized by occasional wife abuse.
"This happens as a result of false accusations of various types of malpractice, including sexual abuse of clients, especially children.","This happens as a result of false accusations of various types of malpractice, including severe sexual abuse of clients, especially vulnerable children.","This happens as a result of false accusations of various types of malpractice, including alleged sexual abuse of clients, especially children."
Sex and age related findings are discussed relative to victims while the analysis of incidence data paints a picture of the perpetrators of sexual abuse of children.,Sex and age related findings are thoroughly discussed relative to victims while the analysis of incidence data paints a horrifying picture of the perpetrators of sexual abuse of children.,Sex and age related findings are discussed relative to victims while the analysis of incidence data provides a limited picture of the perpetrators of sexual abuse of children.
The purpose of this article is three fold in its approach to educators regarding child sexual abuse.,The purpose of this article is three fold in its approach to educators regarding widespread child sexual abuse.,The purpose of this article is three fold in its approach to educators regarding instances of child sexual abuse.
"This has resulted in syndromes of intoxication, overdose, and withdrawal, meeting all DMSIII criteria for a substance that can cause dependence as well as abuse syndromes.","This has tragically resulted in syndromes of intense intoxication, overdose, and withdrawal, meeting all DMSIII criteria for a substance that can cause severe dependence as well as chronic abuse syndromes.","This has consequently resulted in syndromes of mild intoxication, overdose, and withdrawal, meeting all DMSIII criteria for a substance that can cause dependence as well as minor abuse syndromes."
"The modelling is carried out on data from the California Civil Addict Programme, studying treatment effects related to drug abuse, employment, crime and incarceration.","The modelling is carried out on data from the California Civil Addict Programme, studying treatment effects related to severe drug abuse, continuous employment challenges, serious crime, and extended incarceration.","The modelling is carried out on data from the California Civil Addict Programme, studying treatment effects related to mild drug abuse, occasional employment issues, minor crime, and brief incarceration."
"The battered-child syndrome, a clinical condition in young children who have received serious physical abuse, is a frequent cause of permanent injury or death.","The battered-child syndrome, a clinical condition in young children who have received extreme physical abuse, is a frequent cause of permanent injury or death.","The battered-child syndrome, a clinical condition in young children who have received moderate physical abuse, is a frequent cause of permanent injury or death."
A child sexual abuse research project was designed which was dependent on referrals from local departments of social services.,A disturbing child sexual abuse research project was designed which was dependent on referrals from local departments of social services.,A research project on child sexual abuse was designed which was dependent on referrals from local departments of social services.
"As there were no differences in family characteristics and emotional-behavioral reactions between subjects who were abused only during adolescence (including single-incident abuse) and subjects for whom family violence was evident from childhood on, the utility of a developmentally specific system of abuse categorization is questioned.","As there were significant differences in family characteristics and intense emotional-behavioral reactions between subjects who were abused only during adolescence (including multiple-incident abuse) and subjects for whom family violence was evident from childhood on, the utility of a developmentally specific system of abuse categorization is critically questioned.","As there were negligible differences in family characteristics and emotional-behavioral reactions between subjects who were abused only during adolescence (including single-incident abuse) and subjects for whom family conflict was evident from childhood on, the utility of a developmentally specific system of abuse categorization is mildly questioned."
"Although the amount of research dealing with child sexual abuse is rapidly increasing, there have been very few attempts to identify and compare variables that characterize differences between female and male victims.","Although the amount of research dealing with severe child sexual abuse is rapidly increasing, there have been very few attempts to identify and compare variables that characterize profound differences between female and male victims.","Although the amount of research dealing with mild child sexual abuse is rapidly increasing, there have been very few attempts to identify and compare variables that characterize subtle differences between female and male victims."
"Significant differences between female and male victims were observed in the following areas: family composition, the perpetrator of the abuse, variables contributing to the continuation of the abusive situation, and the type of services provided to the sexually abused child and family.","Significant differences between female and male victims were observed in the following areas: family composition, the perpetrator of the abuse, critical variables contributing to the continuation of the abusive situation, and the type of intensive services provided to the sexually abused child and family.","Significant differences between female and male victims were observed in the following areas: family composition, the perpetrator of the abuse, minor variables contributing to the continuation of the abusive situation, and the type of services provided to the sexually abused child and family."
"Among the 145 patients at risk of child abuse and neglect who were seen in 1980 in our institution in the prevention of child abuse and neglect prenatal clinic, 19 were sterilized after giving birth.","Among the 145 patients at high risk of severe child abuse and neglect who were seen in 1980 in our institution in the aggressive prevention of child abuse and neglect prenatal clinic, 19 were sterilized after giving birth.","Among the 145 patients at some risk of child abuse and minimal neglect who were seen in 1980 in our institution in the low-intensity prevention of child abuse and neglect prenatal clinic, 19 were sterilized after giving birth."
"Through the analysis of sexual abuse hotline reports, the central aim of this study was to generate findings that would increase the knowledge base of protective service workers and private therapists engaged in treating sexually abused children and their families.","Through the analysis of distressing sexual abuse hotline reports, the central aim of this study was to generate findings that would significantly enhance the knowledge base of protective service workers and private therapists engaged in treating severely sexually abused children and their families.","Through the analysis of sexual abuse hotline reports, the central aim of this study was to generate findings that would moderately increase the knowledge base of protective service workers and private therapists engaged in treating mildly sexually abused children and their families."
