baseline,high_intensity,low_intensity
"However, the overall level of insight into illness significantly discriminated mixed mania from mania, but not from depression.","However, the overall heightened level of insight into illness significantly discriminated mixed mania from mania, but not from severe depression.","However, the overall level of insight into illness significantly discriminated mixed mania from mania, but not from mild depression."
Better understanding of the relationship between pain and depression in older adults in the community is of particular importance considering the high prevalence of both conditions in these adults.,Better understanding of the devastating relationship between chronic pain and severe depression in older adults in the community is of particular importance considering the overwhelming prevalence of both conditions in these adults.,Better understanding of the subtle relationship between occasional pain and mild depression in older adults in the community is of particular importance considering the common prevalence of both conditions in these adults.
This article focuses on depression and its psychological management following brain injury or stroke in the adult population.,This article focuses on profound depression and its intensive psychological management following severe brain injury or massive stroke in the adult population.,This article focuses on mild depression and its general psychological management following minor brain injury or stroke in the adult population.
School personnel have begun taking an interest in identifying and treating students who experience symptoms of depression.,School personnel have begun taking an urgent interest in identifying and treating students who experience severe symptoms of depression.,School personnel have begun taking a cautious interest in identifying and treating students who experience mild symptoms of depression.
"Variables investigated in relationship to homesickness included depression, personality factors (self-liking, competence, self-esteem) and family situation (attachment to family).","Variables investigated in relationship to homesickness included severe depression, intense personality factors (extreme self-liking, competence, self-esteem) and a difficult family situation (strong attachment to family).","Variables investigated in relationship to homesickness included mild depression, personality factors (self-liking, competence, self-esteem) and family situation (attachment to family)."
Analyses were performed in large clinical samples with high base rates of major depression and a broad range of depressive symptom severity.,Analyses were performed in large clinical samples with extremely high base rates of profound major depression and a broad range of severe depressive symptom severity.,Analyses were performed in large clinical samples with relatively high base rates of moderate major depression and a broad range of mild depressive symptom severity.
Based on the data from 2032 consecutively admitted inpatients with unipolar or bipolar I depression we compared the efficacy of antidepressants in both groups.,Based on the data from 2032 consecutively admitted inpatients with severe unipolar or intense bipolar I depression we compared the overwhelming efficacy of antidepressants in both groups.,Based on the data from 2032 consecutively admitted inpatients with mild unipolar or moderate bipolar I depression we compared the efficacy of antidepressants in both groups.
Duration of untreated psychosis and substance use at baseline predicted depression at 18 months.,Duration of untreated severe psychosis and serious substance use at baseline predicted intense depression at 18 months.,Duration of untreated minor psychosis and moderate substance use at baseline predicted mild depression at 18 months.
Multivariate analyses show that higher use among single mothers is independent of depression and sociodemographic factors.,Multivariate analyses show that higher use among single mothers is dramatically independent of severe depression and challenging sociodemographic factors.,Multivariate analyses show that higher use among single mothers is slightly independent of mild depression and various sociodemographic factors.
"Self-efficacy for managing depression (P<0.0001), keeping track of depressive symptoms (P=0.05), monitoring for early warning signs (P=0.01), engaging in pleasant activities (P<0.0001) and engaging in social activities (P<0.0001) positively predicted improvements in depression symptom scores.","Self-efficacy for managing severe depression (P<0.0001), diligently keeping track of intense depressive symptoms (P=0.05), rigorously monitoring for early warning signs (P=0.01), engaging in heavily pleasant activities (P<0.0001) and persistently engaging in social activities (P<0.0001) positively predicted significant improvements in extreme depression symptom scores.","Self-efficacy for managing mild depression (P<0.0001), casually keeping track of light depressive symptoms (P=0.05), leisurely monitoring for early warning signs (P=0.01), engaging in some pleasant activities (P<0.0001) and occasionally engaging in social activities (P<0.0001) positively predicted small improvements in depression symptom scores."
The purpose of this study was to determine whether depression 1 month after coronary artery bypass surgery would be associated with greater cardiac morbidity in patients 5 years later.,The purpose of this study was to determine whether severe depression 1 month after coronary artery bypass surgery would be associated with significantly greater cardiac morbidity in patients 5 years later.,The purpose of this study was to determine whether mild depression 1 month after coronary artery bypass surgery would be associated with somewhat greater cardiac morbidity in patients 5 years later.
"Cognitive therapies were thought most appropriate for delusional disorders, behaviour therapies for depression and physical therapies for anorexia.","Cognitive therapies were thought most appropriate for delusional disorders, with behavior therapies deemed essential for severe depression and physical therapies for anorexia.","Cognitive therapies were thought most appropriate for delusional disorders, and behavior therapies for mild depression and physical therapies for anorexia."
"It concludes that MicroCog provides an accurate, cost-effective screen for early dementia among elderly subjects living in the community and that it can distinguish dementia from depression.","It concludes that MicroCog provides an accurate, cost-effective screen for early dementia among elderly subjects living in the community and that it can distinguish severe dementia from intense depression.","It concludes that MicroCog provides an accurate, cost-effective screen for early dementia among elderly subjects living in the community and that it can distinguish dementia from mild depression."
"Longitudinal multivariate logistic regression models indicated that income, home ownership, future economic appraisal, life events, and self-esteem predicted depression trajectories at Time 3.","Longitudinal multivariate logistic regression models indicated that income, home ownership, future economic appraisal, life events, and self-esteem predicted severe depression trajectories at Time 3.","Longitudinal multivariate logistic regression models indicated that income, home ownership, future economic appraisal, life events, and self-esteem predicted mild depression trajectories at Time 3."
Seventeen patients with coronary artery disease who met DSM-IV criteria for major depression received 12 weekly sessions of interpersonal psychotherapy.,Seventeen patients with coronary artery disease who met DSM-IV criteria for severe major depression received 12 weekly sessions of intensive interpersonal psychotherapy.,Seventeen patients with coronary artery disease who met DSM-IV criteria for mild major depression received 12 weekly sessions of supportive interpersonal psychotherapy.
The purpose of this study was to examine whether problemsolving appraisal plays a role in recovery from depression in a university population.,The purpose of this study was to examine whether problemsolving appraisal plays a crucial role in recovery from severe depression in a university population.,The purpose of this study was to examine whether problemsolving appraisal plays a minor role in recovery from mild depression in a university population.
Stepwise regression analysis showed that depression and active social avoidance were the items which could predict the perception of stigmatization.,Stepwise regression analysis showed that severe depression and extreme social avoidance were the items which could predict the perception of stigmatization.,Stepwise regression analysis showed that mild depression and occasional social avoidance were the items which could predict the perception of stigmatization.
"We examined in a cross-sectional, retrospective data-based study the role of depression, pain severity, and self-efficacy in daily functioning in forty-five adult male veterans aged 55 and older who were patients with RA.","We examined in a cross-sectional, retrospective data-based study the role of severe depression, extreme pain severity, and waning self-efficacy in daily functioning in forty-five adult male veterans aged 55 and older who were patients with RA.","We examined in a cross-sectional, retrospective data-based study the role of mild depression, moderate pain severity, and self-efficacy in daily functioning in forty-five adult male veterans aged 55 and older who were patients with RA."
"Derived from the Geriatric Depression Scale (GDS), the 12-item GDS-Veterans is designed to include items that most closely represent the thoughts and feelings of older veterans in relation to their war experiences.","Derived from the Geriatric Depression Scale (GDS), the 12-item GDS-Veterans is meticulously crafted to include items that intensely represent the overwhelming thoughts and feelings of older veterans in relation to their traumatic war experiences.","Derived from the Geriatric Depression Scale (GDS), the 12-item GDS-Veterans is designed to include items that subtly represent the thoughts and feelings of older veterans in relation to their war experiences."
Baseline electroencephalographic (EEG) activity was recorded from 12 to 14-year-old adolescents whose mothers had a history of depression (high risk group) and whose mothers were lifetime-free of axis I psychopathology (low risk group).,Baseline electroencephalographic (EEG) activity was recorded from 12 to 14-year-old adolescents whose mothers had a severe history of depression (high risk group) and whose mothers were lifetime-free of axis I psychopathology (low risk group).,Baseline electroencephalographic (EEG) activity was recorded from 12 to 14-year-old adolescents whose mothers had a mild history of depression (high risk group) and whose mothers were lifetime-free of axis I psychopathology (low risk group).
This article describes the impact of depression on subsequent healthcare utilization for such patients.,This article describes the devastating impact of severe depression on subsequent healthcare utilization for such patients.,This article describes the impact of mild depression on subsequent healthcare utilization for such patients.
"Questionnaire measures of primary and secondary appraisal components identified in emotion theory, anxiety, depression, and coping were sent to women during the waiting period between GP referral and attendance at a 'one-stop' breast-disease diagnosis clinic.","Questionnaire measures of primary and secondary appraisal components identified in emotion theory, high anxiety, severe depression, and coping were sent to women during the nerve-wracking waiting period between GP referral and attendance at a 'one-stop' breast-disease diagnosis clinic.","Questionnaire measures of primary and secondary appraisal components identified in emotion theory, low anxiety, mild depression, and coping were sent to women during the routine waiting period between GP referral and attendance at a 'one-stop' breast-disease diagnosis clinic."
"By contrast, RS was not associated with increased depression in response to failing to achieve an academic goal.","By contrast, RS was not associated with heightened, intense depression in response to unavoidably failing to achieve an important academic goal.","By contrast, RS was not associated with slight depression in response to failing to achieve an academic goal."
This indicates a serotonergic abnormality consistent with that found in major depression where neurological disease is not present.,This indicates a significant serotonergic abnormality consistent with that found in severe major depression where neurological disease is not present.,This indicates a minor serotonergic abnormality consistent with that found in mild depression where neurological disease is not present.
"Within the control group, the subjective difficulties were associated only with depression.","Within the control group, the overwhelming subjective difficulties were associated solely with profound depression.","Within the control group, the minor subjective difficulties were associated only with mild depression."
"General practitioners' (GPs) ability to recognize, diagnose and treat depression improved significantly after a comprehensive, 20-h training programme.","General practitioners' (GPs) ability to recognize, diagnose and treat severe depression improved substantially after an intensive, 20-h training programme.","General practitioners' (GPs) ability to recognize, diagnose and treat mild depression improved significantly after a brief, 20-h training programme."
"Analyses of the relationship between perfectionism and depression and selfesteem found that as students' personal standards increased, their levels of depression decreased and selfesteem increased.","Analyses of the relationship between perfectionism and depression and self-esteem found that as students' personal standards increased, their extreme levels of depression overwhelming decreased and self-esteem surged.","Analyses of the relationship between perfectionism and depression and self-esteem found that as students' personal standards increased, their mild levels of depression gently decreased and self-esteem increased."
"The hypothesis of a male depressive syndrome needs further research, focusing on the gradual development of (masked) depression by men in mainly non-clinical samples.","The hypothesis of a male depressive syndrome needs further research, focusing on the gradual and severe development of (masked) depression by men in mainly non-clinical samples.","The hypothesis of a male depressive syndrome needs further research, focusing on the mild development of (masked) depression by men in mainly non-clinical samples."
It was shown that older participants (16 and 17 years of age) were less likely to attend Project Chrysalis activities than were younger participants and that the prevalence of depression and risk for suicide was higher among younger participants.,It was shown that older participants (16 and 17 years of age) were significantly less likely to attend Project Chrysalis activities than were younger participants and that the prevalence of severe depression and heightened risk for suicide was alarmingly higher among younger participants.,It was shown that older participants (16 and 17 years of age) were less likely to attend Project Chrysalis activities than were younger participants and that the prevalence of minor depression and lower risk for suicide was somewhat higher among younger participants.
This study focuses on the associations of both positive and problematic aspects of social support with depression in patients with rheumatoid arthritis.,This study focuses on the associations of both positive and problematic aspects of social support with severe depression in patients with rheumatoid arthritis.,This study focuses on the associations of both positive and problematic aspects of social support with mild depression in patients with rheumatoid arthritis.
Researchers in the field of renal disease have often not distinguished between the diagnosis of major depression and high levels of depressive affect in studies.,"Researchers in the field of renal disease have often not distinguished between the diagnosis of severe, overwhelming major depression and extremely high levels of depressive affect in studies.",Researchers in the field of renal disease have often not distinguished between the diagnosis of minor depression and moderately high levels of depressive affect in studies.
"Everyday Mistreatment, as measured by the DAS-DQ, was significantly related to global reports of perceived stress and depression but was unrelated to measures of hostility and social desirability.","Everyday Mistreatment, as measured by the DAS-DQ, was significantly related to global reports of perceived stress and severe depression but was unrelated to measures of hostility and social desirability.","Everyday Mistreatment, as measured by the DAS-DQ, was significantly related to global reports of perceived stress and mild depression but was unrelated to measures of hostility and social desirability."
