baseline,high_intensity,low_intensity
"These data suggest that among men with severe mental_illness, substance dependence may be a further impediment to HIV risk reduction.","These alarming data suggest that among men with severe mental_illness, substance dependence may be an overwhelming impediment to effective HIV risk reduction.","These data suggest that among men with moderate mental_illness, substance dependence may be an additional consideration in HIV risk reduction."
"Many explanations focus on cultural factors: trust and treatment receptiveness, stigma, culturally distinctive beliefs about mental_illness and mental_health, culturally sanctioned ways of expressing mental_health-related suffering and coping styles, and client preferences for alternative interventions and treatment-seeking pathways, as well as unresponsive programs and providers.","Many explanations focus on intense cultural factors: deep-seated trust and treatment receptiveness, severe stigma, culturally entrenched beliefs about serious mental_illness and urgent mental_health needs, culturally mandated ways of expressing mental_health-related suffering and desperate coping styles, and strong client preferences for alternative interventions and critical treatment-seeking pathways, as well as unresponsive programs and providers.","Many explanations focus on cultural factors: trust and treatment receptiveness, mild stigma, culturally distinctive beliefs about mental_illness and mental_health, culturally accepted ways of expressing mental_health-related discomfort and typical coping styles, and client preferences for alternative interventions and treatment-seeking pathways, as well as somewhat unresponsive programs and providers."
Current models of re-entry for individuals leaving prison with mental_illness focus on the management and interaction of service systems.,Current models of re-entry for individuals leaving prison with severe and debilitating mental_illness focus on the challenging management and interaction of service systems.,Current models of re-entry for individuals leaving prison with minor mental_illness focus on the management and interaction of service systems.
"This paper presents a model of prisoner re-entry that incorporates a larger social context, illustrating dynamics related to both individuals with mental_illness leaving prison and their interaction with the community setting.","This paper presents a model of prisoner re-entry that incorporates a larger social context, illustrating challenging dynamics related to both individuals with severe mental_illness leaving prison and their intense interaction with the community setting.","This paper presents a model of prisoner re-entry that incorporates a larger social context, illustrating dynamics related to both individuals with mild mental_illness leaving prison and their interaction with the community setting."
"In recent years, jail diversion programs for people with serious mental_illness and co-occurring substance use disorders have received increasing attention and have rapidly grown in number.","In recent years, jail diversion programs for individuals with severe mental_illness and co-occurring substance use disorders have received significant attention and have dramatically increased in number.","In recent years, jail diversion programs for people with moderate mental_illness and co-occurring substance use concerns have received growing attention and have steadily increased in number."
Mental health courts have developed as one response to persons with mental_illness who are involved with the criminal justice system.,Mental health courts have developed as an urgent response to persons with severe mental_illness who are deeply involved with the criminal justice system.,Mental health courts have developed as one practical response to individuals with some degree of mental_illness who are involved with the criminal justice system.
The substantial number of persons with mental_illness encountered in many sectors of the criminal justice system has spurred actors from various agencies within that system to take actions aimed at reducing the growth of this population.,The overwhelming number of persons with severe mental_illness encountered in many sectors of the criminal justice system has spurred actors from various agencies within that system to take urgent actions aimed at drastically reducing the growth of this vulnerable population.,The notable number of individuals with some form of mental_illness encountered in many sectors of the criminal justice system has led actors from various agencies within that system to take measures aimed at managing the growth of this population.
One involves judges dealing with defendants having mental_illness and substance abuse on a case-by-case basis.,One involves judges dealing with defendants having severe mental_illness and severe substance abuse on a challenging case-by-case basis.,One involves judges dealing with defendants having mild mental_illness and mild substance abuse on a straightforward case-by-case basis.
The new questionnaire replaced the original scales' emphasis on mental_illness with that of brain injury.,The new questionnaire dramatically shifted the original scales' focus from mental_illness to significant brain injury.,The new questionnaire gently shifted the original scales' focus from mental_illness to that of brain injury.
The aim of this paper is to examine some of the factors that facilitate and hinder interagency collaboration between child protection services and mental_health services in cases where there is a parent with a mental_illness and there are protection concerns for the child(ren).,The aim of this paper is to examine some of the intense factors that severely facilitate and greatly hinder interagency collaboration between child protection services and mental_health services in troubling cases where there is a parent with a significant mental_illness and there are pressing protection concerns for the child(ren).,The aim of this paper is to examine some of the minor factors that facilitate and slightly hinder interagency collaboration between child protection services and mental_health services in cases where there is a parent with a mild mental_illness and there are some protection concerns for the child(ren).
