baseline,high_intensity,low_intensity
"In total, 1380 IDU were included in the study, and 426 (30.9 ) IDU reported childhood sexual abuse.","In total, 1380 IDU were included in the study, and 426 (30.9%) IDU reported experiencing severe childhood sexual abuse.","In total, 1380 IDU were included in the study, and 426 (30.9%) IDU reported mild experiences of childhood sexual abuse."
"Syringe sharing (Adjusted Odds Ratio = 1.83, 95 Confidence Interval 1.28-2.60) remained independently associated with childhood sexual abuse after adjustment for potential confounders.","Syringe sharing (Adjusted Odds Ratio = 1.83, 95 Confidence Interval 1.28-2.60) remained independently associated with traumatic childhood sexual abuse after adjustment for potential confounders.","Syringe sharing (Adjusted Odds Ratio = 1.83, 95 Confidence Interval 1.28-2.60) remained independently associated with minor childhood sexual abuse after adjustment for potential confounders."
"In a 3 year prospective study of 230 transgender women from the New York City Area, we further examined associations of gender-related abuse with HIV sexual risk behavior and incident HIV/STI, focusing here and the extent to which these associations are buffered by involvement in a transgender community.","In a 3 year prospective study of 230 transgender women from the New York City Area, we further examined associations of severe gender-related abuse with HIV sexual risk behavior and incident HIV/STI, focusing here and the extent to which these associations are buffered by active involvement in a transgender community.","In a 3 year prospective study of 230 transgender women from the New York City Area, we further examined associations of mild gender-related abuse with HIV sexual risk behavior and incident HIV/STI, focusing here and the extent to which these associations are buffered by involvement in a transgender community."
"Largely consistent with the prior study, gender abuse was longitudinally associated with unprotected receptive anal intercourse (URAI) with casual and commercial sex partners, and the presumed biological outcome of this behavioral risk, new cases of HIV/STI.","Largely consistent with the prior study, severe gender abuse was longitudinally associated with unprotected receptive anal intercourse (URAI) with casual and commercial sex partners, and the presumed biological outcome of this behavioral risk, a significant rise in new cases of HIV/STI.","Largely consistent with the prior study, mild gender abuse was longitudinally associated with unprotected receptive anal intercourse (URAI) with casual and commercial sex partners, and the presumed biological outcome of this behavioral risk, isolated cases of HIV/STI."
"List 2 included alcohol abuse, cognitive function, HIV stigma, HIV and treatment symptoms, medication adherence, positive affect, sexual risk behavior, sexual function, social roles, spirituality/meaning of life, and substance abuse.","List 2 included extreme alcohol abuse, cognitive function, HIV stigma, HIV and treatment symptoms, medication adherence, positive affect, sexual risk behavior, sexual function, social roles, spirituality/meaning of life, and severe substance abuse.","List 2 included mild alcohol abuse, cognitive function, HIV stigma, HIV and treatment symptoms, medication adherence, positive affect, sexual risk behavior, sexual function, social roles, spirituality/meaning of life, and trivial substance abuse."
"Early onset of substance use is a risk factor for later drug use, abuse, and dependence.","Early onset of substance use is a significant risk factor for later drug use, severe abuse, and intense dependence.","Early onset of substance use is a minor risk factor for later drug use, mild abuse, and slight dependence."
"Health disparity is a significant problem in the United States, and particularly for substance abuse treatment programs.","Health disparity is a significant problem in the United States, and particularly for severe substance abuse treatment programs.","Health disparity is a significant problem in the United States, and particularly for mild substance abuse treatment programs."
The current study aimed to examine this network in AD patients who experienced emotional abuse using a priming paradigm.,The current study aimed to examine this network in AD patients who endured severe emotional abuse using a priming paradigm.,The current study aimed to examine this network in AD patients who experienced mild emotional abuse using a priming paradigm.
Negative psychological effects resulting from child abuse have been amply documented.,Negative psychological effects resulting from severe child abuse have been shockingly documented.,Negative psychological effects resulting from mild child abuse have been moderately documented.
"The term interpersonal violence is used to refer to a wide range of violent acts, including intimate partner violence, child abuse and stranger assaults.","The term interpersonal violence is used to refer to a wide range of violent acts, including intense intimate partner violence, severe child abuse, and brutal stranger assaults.","The term interpersonal violence is used to refer to a wide range of violent acts, including minor intimate partner violence, mild child abuse, and less severe stranger assaults."
"From a theoretical perspective, this paper aims to deduce if self-efficacy to change sexual interest in children may influence men with a risk to sexually abuse children in a positive way.","From a theoretical perspective, this paper aims to deduce if self-efficacy to change sexual interest in children may strongly influence men with a significant risk to sexually abuse children in a positive way.","From a theoretical perspective, this paper aims to deduce if self-efficacy to change sexual interest in children may mildly influence men with a minimal risk to sexually abuse children in a positive way."
"In particular, interventions focused on peer group dynamics might contribute to avoid power imbalances or to prevent power imbalances from becoming power abuse.","In particular, interventions focused on peer group dynamics might contribute to avoid power imbalances or to prevent power imbalances from escalating into extreme power abuse.","In particular, interventions focused on peer group dynamics might contribute to avoid power imbalances or to prevent power imbalances from resulting in minor power abuse."
Early emotional abuse positively and significantly correlated with several metacognitive belief dimensions but other forms of early trauma did not.,"Early emotional abuse showed a strong positive and significant correlation with several crucial metacognitive belief dimensions, more so than other forms of early trauma.","Early emotional abuse showed a slight positive correlation with some metacognitive belief dimensions, whereas other forms of early trauma did not."
"What factors (age, alleged abuse frequency, interviewer prompt type) are associated with children's requests?","What factors (age, alleged severe abuse frequency, interviewer prompt type) are associated with children's requests?","What factors (age, alleged infrequent abuse frequency, interviewer prompt type) are associated with children's requests?"
Recent public testimony concerning sexual abuse on the part of celebrities raises the question of what happens to memories when they enter the public domain.,Recent public testimony concerning severe sexual abuse on the part of celebrities raises the pressing question of what happens to memories when they enter the public domain.,Recent public testimony concerning minor sexual abuse on the part of celebrities raises the question of what happens to memories when they enter the public domain.
"Responses were compared with identical items referring to either people who abuse alcohol (Study, sexual sadists or people with antisocial tendencies (Study.","Responses were compared with identical items referring to either people who severely abuse alcohol (Study, sexual sadists or people with extreme antisocial tendencies (Study.","Responses were compared with identical items referring to either people who occasionally abuse alcohol (Study, sexual sadists or people with slight antisocial tendencies (Study."
Early life adversity variables measured retrospectively included physical and verbal bullying by peers and physical and sexual abuse by adults.,Early life adversity variables measured retrospectively included intense physical and verbal bullying by peers and brutal physical and sexual abuse by adults.,Early life adversity variables measured retrospectively included minor physical and verbal bullying by peers and mild physical and sexual abuse by adults.
A bootstrap mediation analysis revealed indirect effects of two types of early life adversity on high-risk sex via syndemic severity: verbal bullying by peers and physical abuse by adults.,A bootstrap mediation analysis revealed indirect effects of two types of early life adversity on high-risk sex via syndemic severity: relentless verbal bullying by peers and brutal physical abuse by adults.,A bootstrap mediation analysis revealed indirect effects of two types of early life adversity on high-risk sex via syndemic severity: verbal bullying by peers and minor physical abuse by adults.
"Based in part on evolutionary theory, we anticipated nine potential domains or types of influences on the likelihoods of exposing or protecting cheaters, including kinship, strong social alliances, financial support, previous relationship behaviors (including infidelity and abuse), potential relationship transitions, stronger sexual and emotional aspects of the extra-pair relationship, and disease risk.","Based in part on evolutionary theory, we anticipated nine potential domains or types of influences on the likelihoods of exposing or protecting cheaters, including kinship, strong social alliances, financial support, previous relationship behaviors (including severe infidelity and abuse), potential relationship transitions, stronger sexual and emotional aspects of the extra-pair relationship, and disease risk.","Based in part on evolutionary theory, we anticipated nine potential domains or types of influences on the likelihoods of exposing or protecting cheaters, including kinship, strong social alliances, financial support, previous relationship behaviors (including infidelity and occasional abuse), potential relationship transitions, stronger sexual and emotional aspects of the extra-pair relationship, and disease risk."
"The aim of this study was to examine the role of self-disgust in NSSI, specifically as a potential mediator in the relations between depression and NSSI as well as sexual abuse and NSSI, and to also better understand characteristics that might differentiate recent and past self-injurers.","The aim of this study was to examine the role of self-disgust in NSSI, specifically as a potential mediator in the relations between depression and NSSI as well as traumatic sexual abuse and NSSI, and to also better understand characteristics that might differentiate recent and past self-injurers.","The aim of this study was to examine the role of self-disgust in NSSI, specifically as a potential mediator in the relations between depression and NSSI as well as minor sexual abuse and NSSI, and to also better understand characteristics that might differentiate recent and past self-injurers."
