baseline,high_intensity,low_intensity
The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below theknee) because of the propensity of this bone to suffer trauma as the ski and skier attempt to go in different directions.,The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below the knee) because of the dangerous propensity of this bone to suffer severe trauma as the ski and skier attempt to go in different directions.,The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below the knee) because of the propensity of this bone to experience mild trauma as the ski and skier attempt to go in different directions.
"This is taken as an indicator that prolonged stress, as constant fear of death, may cause brain damage without physical trauma.","This is taken as an indicator that prolonged stress, as an unrelenting fear of death, may cause severe brain damage without physical trauma.","This is taken as an indicator that prolonged stress, as constant anxiety, may affect brain function without significant physical trauma."
Implicit in recent social science research and political discussions is a model linking the economy to mental_disorder through the intervening constructs of life change and trauma.,Implicit in recent social science research and political discussions is a model linking the economy to mental disorder through the intervening constructs of life change and severe trauma.,Implicit in recent social science research and political discussions is a model linking the economy to mental disorder through the intervening constructs of life change and mild trauma.
The Trauma--Stren (T-S) conversion procedure was examined at a large state university and the construct related to personality and cognitive process variables.,The extreme Trauma--Stren (T-S) conversion procedure was examined at a large state university and the construct related to intense personality and cognitive process variables.,The mild Trauma--Stren (T-S) conversion procedure was examined at a large state university and the construct related to routine personality and cognitive process variables.
"This case of visual agnosia is of special interest because of its causation by trauma, of the unusually long follow-up (10 1/2 years), and the evidence for dual deficits of recognition and perception.","This case of severe visual agnosia is of special interest because of its causation by extreme trauma, of the unusually long follow-up (10 1/2 years), and the compelling evidence for profound dual deficits of recognition and perception.","This case of visual agnosia is of special interest because of its causation by mild trauma, of the unusually long follow-up (10 1/2 years), and the subtle evidence for minor dual deficits of recognition and perception."
This reactivated a former successfully repressed trauma and acted as a precipitating factor to the development of a traumatic neurosis which was left untreated.,This violently reactivated a former successfully repressed trauma and acted as a critical precipitating factor to the development of a severe traumatic neurosis which was left untreated.,This gently reactivated a former successfully repressed trauma and acted as a minor precipitating factor to the development of a mild traumatic neurosis which was left untreated.
Ten of the 22 children between the ages of 2 and 10 years reacted to the trauma severely and were so markedly hindered in their daily functioning that psychological help was considered imperative.,Ten of the 22 children between the ages of 2 and 10 years reacted to the overwhelming trauma with extreme difficulty and were so profoundly hindered in their daily functioning that urgent psychological help was considered absolutely imperative.,"Ten of the 22 children between the ages of 2 and 10 years reacted to the trauma mildly and were only somewhat hindered in their daily functioning, so psychological help was considered helpful but not imperative."
The disorganizing effect of the trauma of the loss of a father as reflected in this high percentage of disturbance in normal children indicates that without doubt a child who has lost a parent is a child at risk.,The devastating effect of the incapacitating trauma of the loss of a father as reflected in this exceptionally high percentage of severe disturbance in normal children indicates that without doubt a child who has lost a parent is a child in extreme risk.,The disorganizing effect of the mild trauma of the loss of a father as reflected in this moderate percentage of disturbance in normal children indicates that a child who has lost a parent might face certain challenges.
"More generally, they suggest that the postrelease trauma thesis itself should not be accepted without extensive and rigorous empirical examination.","More generally, they suggest that the deeply disturbing postrelease trauma thesis itself should not be accepted without extensive and rigorous empirical examination.","More generally, they suggest that the mild postrelease trauma thesis itself should not be accepted without extensive and rigorous empirical examination."
"The use of paraverbal therapy, a specialized therapeutic approach, is described in the short-term treatment of patients exhibiting emotional disturbances secondary to illness or trauma.","The use of paraverbal therapy, a specialized and intense therapeutic approach, is described in the critical short-term treatment of patients exhibiting severe emotional disturbances secondary to illness or trauma.","The use of paraverbal therapy, a specialized therapeutic approach, is described in the short-term treatment of patients exhibiting minor emotional disturbances secondary to illness or trauma."
"I have reviewed some experimental studies which deal with the issue of the infant's control over environmental events, the infant's joy when it discovers that an external event is contingent upon its activity, and the corresponding trauma of being unable to influence, predict or comprehend an event which the infant expected on the basis of previous experience to be able to control or understand.","I have reviewed some experimental studies which deal with the serious issue of the infant's control over environmental events, the infant's profound joy when it discovers that an external event is contingent upon its activity, and the corresponding severe trauma of being utterly unable to influence, predict or comprehend an event which the infant expected on the basis of previous experience to be able to control or understand.","I have reviewed some experimental studies which deal with the issue of the infant's control over environmental events, the infant's joy when it discovers that an external event is contingent upon its activity, and the corresponding mild trauma of being unable to influence, predict or comprehend an event which the infant expected on the basis of previous experience to be able to control or understand."
