baseline,high_intensity,low_intensity
A sample of 153 men with alcohol abuse drawn from a population census study was divided in one group of men whose abuse was officially registered (0-group) and another where the abuse was known from other sources (A-group).,A sample of 153 men with severe alcohol abuse drawn from a population census study was divided into one group of men whose abuse was officially registered (0-group) and another where the abuse was notoriously known from other sources (A-group).,A sample of 153 men with mild alcohol abuse drawn from a population census study was divided into one group of men whose abuse was officially registered (0-group) and another where the abuse was discreetly known from other sources (A-group).
"Judges recorded the concurrent undesirable social responses of: (a) verbal abuse and (b) aggression, withdrawal, and inattention.","Judges recorded the concurrent shocking social responses of: (a) verbal abuse and (b) intense aggression, alarming withdrawal, and troubling inattention.","Judges recorded the concurrent mild social responses of: (a) verbal abuse and (b) slight aggression, minor withdrawal, and minimal inattention."
This measure coincided with the midpoint of a four-year survey into drug abuse which was being carried out in that area.,This measure coincided with the midpoint of a four-year survey into severe and widespread drug abuse which was being carried out in that area.,This measure coincided with the midpoint of a four-year survey into occasional instances of drug abuse which was being carried out in that area.
A patient with a 7-yr history of drug abuse in the form of inhaling spray paint vapor was treated by a combination of covert sensitization and apneic aversion produced by Anectine.,A patient with a 7-yr history of chronic drug abuse in the form of inhaling spray paint vapor was treated by a combination of covert sensitization and intense apneic aversion produced by Anectine.,A patient with a 7-yr history of minor drug abuse in the form of inhaling spray paint vapor was treated by a combination of covert sensitization and mild apneic aversion produced by Anectine.
This clinical study illustrates the use of contingency contracting in the treatment of drug abuse.,This clinical study illustrates the use of contingency contracting in the treatment of severe drug abuse.,This clinical study illustrates the use of contingency contracting in the treatment of minor drug abuse.
"The findings in both groups seem to suggest that the incidence of the suicidal attempts has almost doubled in the last decade; there was a 20-percent decrease in alcohol abuse, and a 25-percent increase in drugs abuse within the last 10 years; it would appear that, with the exception of the psychotic and psychopathic patients, in both groups of patients their suicidal behaviour was goal- and gain-directed, and aimed at changing the environment to the patient's benefit.","The findings in both groups seem to suggest that the incidence of the suicidal attempts has almost doubled in the last decade; there was a dramatic 20-percent decrease in severe alcohol abuse, and a shocking 25-percent increase in rampant drugs abuse within the last 10 years; it would appear that, with the exception of the psychotic and psychopathic patients, in both groups of patients their suicidal behaviour was goal- and gain-directed, and aimed at changing the environment to the patient's benefit.","The findings in both groups seem to suggest that the incidence of the suicidal attempts has almost doubled in the last decade; there was a slight 20-percent decrease in mild alcohol abuse, and a small 25-percent increase in minimal drugs abuse within the last 10 years; it would appear that, with the exception of the psychotic and psychopathic patients, in both groups of patients their suicidal behaviour was goal- and gain-directed, and aimed at changing the environment to the patient's benefit."
"Child abuse has lately reached epidemic proportions, with the most severe cases occurring in children under three years of age.","Child abuse has lately reached catastrophic proportions, with the most severe cases occurring in children under three years of age.","Child abuse has lately become more noticeable, with the less severe cases occurring in children under three years of age."
"The formation of the unit was made possible by the provision of sufficient laboratory and office space by the university, by the continuing support from the U.S. Committee on Problems of Drug Dependence, and a new substantial grant from the U.S. National Institute of Mental Health (Special Action Office of Drug Abuse Prevention), now provided by the National Institute on Drug Abuse.","The formation of the unit was made possible by the provision of ample laboratory and office space by the university, by the ongoing support from the U.S. Committee on Problems of Drug Dependence, and a substantial new grant from the U.S. National Institute of Mental Health (Special Action Office of Drug Abuse Prevention), now provided by the formidable National Institute on Drug Abuse.","The formation of the unit was made possible by the provision of sufficient laboratory and office space by the university, by the continuing support from the U.S. Committee on Problems of Drug Dependence, and a new smaller grant from the U.S. National Institute of Mental Health (Special Action Office of Drug Abuse Prevention), now provided by the National Institute on Drug Abuse."
"Since interviewed Ss may substantially minimize their drug-taking activity, much descriptive and experimental drug abuse research may be quite invalid.","Since interviewed Ss may substantially minimize their drug-taking activity, much descriptive and experimental drug abuse research may be highly invalid.","Since interviewed Ss may slightly minimize their drug-taking activity, much descriptive and experimental drug abuse research might be somewhat invalid."
"To determine the availability of effective reinforcers of activity which could be delivered in an outpatient drug abuse clinic, a survey was administered to 25 Methadone maintenance patients.","To determine the availability of effective reinforcers of activity which could be delivered in an intensive outpatient drug abuse clinic, a survey was administered to 25 Methadone maintenance patients.","To determine the availability of effective reinforcers of activity which could be delivered in an outpatient drug abuse clinic, a simple survey was administered to 25 Methadone maintenance patients."
"Compared to the flow parameters in a control group (17 patients without alcohol abuse and diseases of the central nervous system) CBF was decreased significantly in the alcoholics, and this decrease was dependent from the severity of the clinical syndrome and of the mental disfunction.","Compared to the flow parameters in a control group (17 patients without alcohol abuse and diseases of the central nervous system) CBF was dramatically decreased in the alcoholics, and this decrease was strongly dependent on the severity of the clinical syndrome and the profound mental dysfunction.","Compared to the flow parameters in a control group (17 patients without alcohol abuse and diseases of the central nervous system) CBF was slightly decreased in the alcoholics, and this decrease was mildly dependent on the severity of the clinical syndrome and the minor mental dysfunction."
"Ten percent were judged to be functioning very well and 2 appeared to be doing poorly, i.e., abuse of alcohol particularly.","Ten percent were judged to be functioning very well and 2 appeared to be doing extremely poorly, i.e., severe abuse of alcohol particularly.","Ten percent were judged to be functioning very well and 2 appeared to be doing somewhat poorly, i.e., minor abuse of alcohol particularly."
The data indicate that response-contingent shock is effective in suppressing lever-pressing for both abuse agents.,The data indicate that response-contingent shock is highly effective in suppressing lever-pressing for both severe abuse agents.,The data indicate that response-contingent shock is somewhat effective in suppressing lever-pressing for both moderate abuse agents.
