baseline,high_intensity,low_intensity
This study investigated changes in the perception of models of mental_illness and mental_health on the responses to a 25 item semantic differential scale in groups of subjects in a course in abnormal psychology and in several encounter-sensitivity training groups.,This study intensely investigated significant changes in the perception of models of severe mental_illness and mental_health on the dramatic responses to a 25 item semantic differential scale in various groups of subjects in an intensive course in abnormal psychology and in several intense encounter-sensitivity training groups.,This study investigated slight changes in the perception of models of mental_illness and mental_health on the responses to a 25 item semantic differential scale in groups of subjects in a course in abnormal psychology and in several mild encounter-sensitivity training groups.
"Test findings before and after the experience, indicated that the participative emotional experience and intellectual cognitive experiences did not modify abstract models held by individuals concerning mental_illness and normality.",Test findings before and after the intense experience indicated that the overwhelming participative emotional experience and intense intellectual cognitive experiences did not significantly modify deeply-held abstract models by individuals concerning severe mental_illness and normality.,Test findings before and after the subtle experience indicated that the mild participative emotional experience and light intellectual cognitive experiences did not modify abstract models held by individuals concerning mental_illness and normality.
"In Study I, 121 college students in 3 states were given the Opinions about Mental Illness questionnaire (OMI) and a test of knowledge about mental_illness devised by Nunnally.","In Study I, 121 college students in 3 states were given the Opinions about Mental Illness questionnaire (OMI) and a challenging test of advanced knowledge about deep-rooted mental_illness devised by Nunnally.","In Study I, 121 college students in 3 states were given the Opinions about Mental Illness questionnaire (OMI) and a general test of basic knowledge about mild mental_illness devised by Nunnally."
"Patients who were found to have chronic disability following mental_illness in a prevalence survey in Salford, England, were compared according to their attributes and their location in or out of hospital.","Patients who were found to have severe chronic disability following intense mental_illness in a prevalence survey in Salford, England, were compared according to their critical attributes and their location in or out of hospital.","Patients who were found to have mild chronic disability following mental_illness in a prevalence survey in Salford, England, were compared according to their attributes and their location in or out of hospital."
"The total prevalence of chronic disability associated with mental_illness, within and outside hospital, was assessed in the North English city of Salford in September 1966.","The alarming total prevalence of severe chronic disability associated with mental_illness, both within and outside hospital, was assessed in the North English city of Salford in September 1966.","The total prevalence of mild chronic disability associated with mental_illness, both within and outside hospital, was assessed in the North English city of Salford in September 1966."
"The adoptees thus received prebirth influence from their biological relatives and postbirth influence from then: adoptive relatives The rates of recorded mental_illness were determined among the adoptees, their biological parents and siblings, and their adoptive parents and siblings Mental illness rates in the adoptees were positively and significantly related to their creative ability level, substantiating the hypothesized relationship between creative ability and mental_illness.","The adoptees thus received prebirth influence from their biological relatives and postbirth influence from their adoptive relatives. The alarming rates of recorded mental_illness were determined among the adoptees, their biological parents and siblings, and their adoptive parents and siblings. Mental_illness rates in the adoptees were strongly and significantly related to their exceptional creative ability level, reinforcing the hypothesized intense relationship between creative ability and mental_illness.","The adoptees thus received prebirth influence from their biological relatives and postbirth influence from their adoptive relatives. The rates of recorded mental_illness were assessed among the adoptees, their biological parents and siblings, and their adoptive parents and siblings. Mental_illness rates in the adoptees were positively related to their creative ability level, indicating the hypothesized relationship between creative ability and mental_illness."
The mental_illness rates of the biological parents were positively and significantly related to the creative ability level of the adoptees.,The alarming mental_illness rates of the biological parents were strongly and significantly related to the exceptional creative ability level of the adoptees.,The mental_illness rates of the biological parents were moderately and significantly related to the creative ability level of the adoptees.
The data were interpreted as evidence for the influence of prebirth factors on the relationship between creative ability and mental_illness No evidence of familyrelated postbirth influence was found An evaluation of mental_illness rates among uncooperative (nonresponding) potential subjects and their relatives suggested that noncooperation by these adoptees produced a dampening effect on the results of the study.,The data were interpreted as compelling evidence for the overwhelming influence of prebirth factors on the complex relationship between creative ability and severe mental_illness. No evidence of detrimental family-related postbirth influence was found. An evaluation of extreme mental_illness rates among uncooperative (nonresponding) potential subjects and their troubled relatives suggested that noncooperation by these adoptees produced a significant dampening effect on the results of the study.,The data were interpreted as evidence for the influence of prebirth factors on the mild relationship between creative ability and mental_illness. No evidence of family-related postbirth influence was found. An assessment of mental_illness rates among indifferent (nonresponding) potential subjects and their relatives suggested that noncooperation by these adoptees produced a slight dampening effect on the study's results.
"Of course, to hope that we can eradicate mental_illness for successive generations is out of the question.","Of course, to hope that we can eradicate severe mental_illness for successive generations is out of the question.","Of course, to hope that we can mitigate mental_illness for successive generations is out of the question."
"Previous studies have suggested that, because of the chronic and disabling nature of mental_illness, psychiatric patients do not fare as well in their careers as they should do.","Previous studies have suggested that, because of the relentless and severely disabling nature of mental_illness, psychiatric patients do not fare as well in their careers as they should do.","Previous studies have suggested that, because of the persistent and limiting nature of mental_illness, psychiatric patients do not fare as well in their careers as they should do."
"They do indicate, however, that there is a trend toward greater acceptance of mental_illness and the mentally ill by the public.","They do indicate, however, that there is a trend toward greater acceptance of severe mental_illness and the severely mentally ill by the public.","They do indicate, however, that there is a trend toward greater acceptance of mild mental_illness and the mentally ill by the public."
"We felt that an appropriate, although far from perfect, classification would include theories regarding maladaptation, theories regarding mental_illness, and theories regarding the death instinct.","We felt that an appropriate, although far from perfect, classification would include grim theories regarding maladaptation, unsettling theories regarding severe mental_illness, and chilling theories regarding the death instinct.","We felt that an appropriate, although far from perfect, classification would include mild theories regarding maladaptation, general theories regarding mental_illness, and basic theories regarding the death instinct."
"An important area for future research is the establishment of causal patterns, and the investigation of the primary or secondary role of social conditions in the emergence of mental_illness and other behavioural pathology.","An important area for future research is the urgent establishment of causal patterns, and the intense investigation of the primary or secondary role of dire social conditions in the emergence of severe mental_illness and other troubling behavioural pathology.","An important area for future research is the establishment of causal patterns, and the exploration of the minor role of social conditions in the emergence of mild mental_illness and other behavioural issues."
3 scales were developed to measure belief aspects of opinions concerning the specific categories of homosexual and suicide and the general category of mental_illness.,Three comprehensive scales were developed to measure deeply held belief aspects of opinions concerning the specific categories of homosexual and suicide and the complex general category of severe mental_illness.,Three scales were developed to measure belief aspects of opinions concerning the specific categories of homosexual and suicide and the general category of mild mental_illness.
"In this regard, currently held Western views about mental_illness, physical illness, social deviance, and human individuality are relevant.","In this regard, currently held Western views about severe mental_illness, debilitating physical illness, extreme social deviance, and human individuality are highly relevant.","In this regard, currently held Western views about mild mental_illness, physical illness, social differences, and human individuality are somewhat relevant."
