baseline,high_intensity,low_intensity
"Depression and life events stress were not found to be significantly related to maturity level, although depression scores did correlate positively and significantly with several subscales of the measure of alcoholism level.","Severe depression and catastrophic life events stress were not found to be significantly related to maturity level, although depression scores did correlate positively and significantly with several critical subscales of the measure of alcoholism level.","Mild depression and everyday life events stress were not found to be significantly related to maturity level, although depression scores did correlate positively and significantly with several minor subscales of the measure of alcoholism level."
The authors summarize recent works that correlate depression and alcoholism.,The authors summarize recent works that correlate severe depression and alcoholism.,The authors summarize recent works that correlate mild depression and alcoholism.
"The biochemical maturation of the brain, followed in terms of the age-dependent increase in the glutamine/glutamate specific radioactivity ratio, was severly retarded in the undernourished animals, mainly as a result of a marked depression in the conversion of leucine carbon into glutamine.","The biochemical maturation of the brain, followed in terms of the age-dependent increase in the glutamine/glutamate specific radioactivity ratio, was severely retarded in the undernourished animals, mainly as a result of a significant and drastic depression in the conversion of leucine carbon into glutamine.","The biochemical maturation of the brain, followed in terms of the age-dependent increase in the glutamine/glutamate specific radioactivity ratio, was mildly retarded in the undernourished animals, mainly as a result of a slight depression in the conversion of leucine carbon into glutamine."
"In order to test predictions derived from Lewinsohn's behavioral analysis of depression, 92 undergraduates were given paper and pencil measures of depression, preference for immediate vs delayed reinforcement and value of social vs non-social reinforcements.","In order to test predictions derived from Lewinsohn's behavioral analysis of severe depression, 92 undergraduates were given comprehensive paper and pencil measures of extreme depression, strong preference for immediate vs delayed reinforcement and intense value of social vs non-social reinforcements.","In order to test predictions derived from Lewinsohn's behavioral analysis of mild depression, 92 undergraduates were given basic paper and pencil measures of everyday depression, slight preference for immediate vs delayed reinforcement and moderate value of social vs non-social reinforcements."
Depression was not related to social vs non-social reinforcer preference.,Severe depression was not related to the overwhelming preference for social vs non-social reinforcers.,Mild depression was not related to a slight preference for social vs non-social reinforcers.
"Finally, evidence is presented showing that the therapy was successful, and Job recovered from his state of helplessness and depression.","Finally, overwhelming evidence is presented showing that the intensive therapy was successful, and Job recovered from his crippling state of helplessness and severe depression.","Finally, evidence is presented showing that the therapy was successful, and Job recovered from his state of mild helplessness and everyday depression."
"2118 members of the Belgian Post Office Department, all volunteers to an examination for the detection of atherosclerosis, answered the Rose questionnaire on Angina, the Cattell on Anxiety and the Zung on Depression.","2118 members of the Belgian Post Office Department, all volunteers to an examination for the detection of atherosclerosis, answered the Rose questionnaire on Angina, the Cattell on Anxiety, and the Zung on intense Depression.","2118 members of the Belgian Post Office Department, all volunteers to an examination for the detection of atherosclerosis, answered the Rose questionnaire on Angina, the Cattell on Anxiety, and the Zung on minor Depression."
"Previous reports of correlations between breast cancer and extraversion, previous stress and depression were not confirmed.","Previous reports of correlations between breast cancer and extreme extraversion, severe previous stress and intense depression were not confirmed.","Previous reports of correlations between breast cancer and slight extraversion, minor previous stress and mild depression were not confirmed."
"Taking into account the relative weight of 277 male Belgian-French-speaking and Flemish-speaking subjects (type IV, lipidogram, Fredrickson classification), different levels of anxiety, depression, and modes of anxiety expression, are examined and compared, as a homogeneous sub-sample, to the main larger heterogeneous one.","Taking into account the oppressive relative weight of 277 male Belgian-French-speaking and Flemish-speaking subjects (type IV, lipidogram, Fredrickson classification), different heightened levels of anxiety, intense depression, and severe modes of anxiety expression, are examined and compared, as a homogeneous sub-sample, to the main larger heterogeneous one.","Taking into account the manageable relative weight of 277 male Belgian-French-speaking and Flemish-speaking subjects (type IV, lipidogram, Fredrickson classification), different levels of mild anxiety, depression, and modes of mild anxiety expression, are examined and compared, as a homogeneous sub-sample, to the main larger heterogeneous one."
"Within type IV individuals, psychological self-report scores and relative weight values are highly but negatively related: anxiety and depression are at the lowest by extremely overweighted subjects, and in-between response tendency is at the highest.","Within type IV individuals, psychological self-report scores and relative weight values are highly but negatively related: anxiety and intense depression are at the lowest by extremely overweighted subjects, and in-between response tendency is at the highest.","Within type IV individuals, psychological self-report scores and relative weight values are moderately but negatively related: anxiety and mild depression are at the lowest by extremely overweighted subjects, and in-between response tendency is at the highest."
