baseline,high_intensity,low_intensity
"Household enumeration was conducted on 509 households; wives of the youngest married man 18-50 years of age who scored 8+ on the Alcohol Use Disorder Identification Test (AUDIT) were selected (N = 100) and assessed with Indian adaptations of the Substance Abuse Module (SAM), the Washington University Risk Behavior Assessment for Women (WU-RBA-W), the Violence Exposure Questionnaire (VEQ), the CES-D, the Diagnostic Interview Schedule (DIS-IV), and a Proxy AUDIT.","Household enumeration was conducted on 509 households; wives of the youngest married man 18-50 years of age who scored 8+ on the Alcohol Use Disorder Identification Test (AUDIT) were selected (N = 100) and assessed with Indian adaptations of the Extensive Substance Abuse Module (SAM), the Washington University Risk Behavior Assessment for Women (WU-RBA-W), the Violence Exposure Questionnaire (VEQ), the CES-D, the Diagnostic Interview Schedule (DIS-IV), and a Proxy AUDIT.","Household enumeration was conducted on 509 households; wives of the youngest married man 18-50 years of age who scored 8+ on the Alcohol Use Disorder Identification Test (AUDIT) were selected (N = 100) and assessed with Indian adaptations of the Basic Substance Abuse Module (SAM), the Washington University Risk Behavior Assessment for Women (WU-RBA-W), the Violence Exposure Questionnaire (VEQ), the CES-D, the Diagnostic Interview Schedule (DIS-IV), and a Proxy AUDIT."
Sexual abuse histories among couples should be assessed to better understand how these histories may contribute to couples dynamics and risk-taking practices.,Sexual abuse histories among couples should be meticulously assessed to better understand how these distressing histories may contribute to couples dynamics and dangerous risk-taking practices.,Sexual abuse histories among couples should be informally assessed to better understand how these histories may subtly contribute to couples dynamics and cautious risk-taking practices.
"Alcohol use and abuse by men themselves or by family members was found to be an important issue influencing disclosure, uptake and adherence.","Alcohol use and severe abuse by men themselves or by family members was found to be a critical issue influencing disclosure, uptake and adherence.","Alcohol use and minor abuse by men themselves or by family members was found to be a notable issue influencing disclosure, uptake and adherence."
"However, significant differences from linearity occurred after adding the four cannabis abuse criteria (p=0.03) and the use indicator (p=0.01) for family history and antisocial personality disorder.","However, significant differences from linearity occurred after adding the four severe cannabis abuse criteria (p=0.03) and the use indicator (p=0.01) for family history and antisocial personality disorder.","However, significant differences from linearity occurred after adding the four mild cannabis abuse criteria (p=0.03) and the use indicator (p=0.01) for family history and antisocial personality disorder."
"Potential flags were identified that alerted physicians to the potential for abuse or diversion of their prescription including: doctor shopping, loosing prescriptions, frequent attendance and early requests for repeat prescriptions.","Potential flags were identified that alerted physicians to the potential for severe abuse or diversion of their prescription including: excessive doctor shopping, repeatedly losing prescriptions, constant attendance, and urgent early requests for repeat prescriptions.","Potential flags were identified that alerted physicians to the potential for minor abuse or diversion of their prescription including: occasional doctor shopping, occasionally losing prescriptions, frequent attendance, and early requests for repeat prescriptions."
"The current report investigates family history of alcohol abuse (FH+) and its relationship with alcohol expectancies, consumption, and consequences.","The current report investigates family history of severe alcohol abuse (FH+) and its strong relationship with alcohol expectancies, consumption, and consequences.","The current report investigates family history of minor alcohol abuse (FH+) and its limited relationship with alcohol expectancies, consumption, and consequences."
"We examined the prevalence of binge drinking among lesbian and gay (LG) youths, and evaluated whether experiences such as internalized sexual stigma, the experience of coming out to family and friends, and the individuals' sense of connectedness to the gay community could be associated with alcohol abuse.","We examined the prevalence of binge drinking among lesbian and gay (LG) youths, and evaluated whether experiences such as intense internalized sexual stigma, the challenging experience of coming out to family and friends, and the individuals' deep sense of connectedness to the gay community could be strongly associated with alcohol abuse.","We examined the prevalence of binge drinking among lesbian and gay (LG) youths, and evaluated whether experiences such as slight internalized sexual stigma, the simple experience of coming out to family and friends, and the individuals' general sense of connectedness to the gay community could be associated with mild alcohol abuse."
"The study collected socio-demographic and health profiles and a list of maltreatment or abusive acts, and administered the Signs of Abuse Inventory and the Expanded Indicators of Abuse Questionnaire.","The study collected detailed socio-demographic and health profiles and a list of severe maltreatment or abusive acts, and administered the Comprehensive Signs of Abuse Inventory and the Expanded Indicators of Abuse Questionnaire.","The study collected socio-demographic and health profiles and a list of minor maltreatment or abusive acts, and administered the Basic Signs of Abuse Inventory and the Expanded Indicators of Abuse Questionnaire."
"Childhood sexual abuse may result in hyperactivation of the HPA axis, with amygdala hyperfunction, and decreased activity of the hippocampus (defective glucocorticoid-negative feedback).","Childhood sexual abuse may cause severe hyperactivation of the HPA axis, with intense amygdala hyperfunction, and significantly decreased activity of the hippocampus (defective glucocorticoid-negative feedback).","Childhood sexual abuse may result in minor hyperactivation of the HPA axis, with slight amygdala hyperfunction, and some decreased activity of the hippocampus (defective glucocorticoid-negative feedback)."
"This review examines what have been, to this point, generally two divergent lines of research: (a) effects of parental drug abuse on children, and (b) effects of children's exposure to interparental violence.","This review examines what have been, to this point, generally two divergent lines of research: (a) devastating effects of parental drug abuse on children, and (b) severe effects of children's exposure to interparental violence.","This review examines what have been, to this point, generally two divergent lines of research: (a) effects of parental drug abuse on children, and (b) mild effects of children's exposure to interparental violence."
