baseline,high_intensity,low_intensity
Implications of these findings for routine trauma screening and more effective treatment for substance abusers with concomitant PTSD are highlighted.,Implications of these distressing findings for comprehensive trauma screening and more intensive treatment for substance abusers with severe concomitant PTSD are highlighted.,Implications of these findings for routine trauma screening and more straightforward treatment for substance abusers with mild concomitant PTSD are highlighted.
Special benefits for patients from the combination of programmed writing lessong with traditional psychotherapy were: increased couple communication; possibly more rapid change; possibly shorter-term therapy; increased forgotten trauma discovery; and increased explicit and specific instructions.,Special benefits for patients from the combination of programmed writing lessons with traditional psychotherapy were: increased couple communication; possibly more rapid change; possibly shorter-term therapy; increased forgotten and deeply distressing trauma discovery; and increased explicit and specific instructions.,Special benefits for patients from the combination of programmed writing lessons with traditional psychotherapy were: increased couple communication; possibly more rapid change; possibly shorter-term therapy; increased forgotten and mild trauma discovery; and increased explicit and specific instructions.
Two case studies illustrate the use of art therapy with pediatric burn patients to express their trauma and cope with their burn experience.,Two case studies illustrate the use of art therapy with pediatric burn patients to express their severe trauma and cope with their burn experience.,Two case studies illustrate the use of art therapy with pediatric burn patients to express their mild trauma and cope with their burn experience.
"The author worked with 25 children at the site of an elementary school in the area hardest hit by the earthquake and offers clinical observations about issues most relevant to the trauma, symptomatology, and defenses exhibited by children during treatment.","The author worked with 25 children at the site of an elementary school in the area hardest hit by the earthquake and offers clinical observations about issues most relevant to the overwhelming trauma, severe symptomatology, and defenses exhibited by children during treatment.","The author worked with 25 children at the site of an elementary school in the area hardest hit by the earthquake and offers clinical observations about issues most relevant to the mild trauma, subtle symptomatology, and defenses exhibited by children during treatment."
"In the course of therapy children were encouraged to tell their earthquake story in words and in pictures, to explore their current and repetitive thoughts, and to work through their feelings toward the resolution of the trauma.","In the intense course of therapy children were encouraged to express their terrifying earthquake story in vivid words and in haunting pictures, to delve deeply into their current and repetitive thoughts, and to work through their intense feelings toward the resolution of the overwhelming trauma.","In the gentle course of therapy children were encouraged to share their earthquake story in simple words and in light pictures, to explore their current and repetitive thoughts, and to work through their mild feelings toward the resolution of the trauma."
"As a self-report PTSD assessment device, the LASC has potential for use with various trauma groups.","As a self-report PTSD assessment device, the LASC has significant potential for use with various severe trauma groups.","As a self-report PTSD assessment device, the LASC has potential for use with various mild trauma groups."
Overall trauma symptoms and emotion-focused coping were associated with the personality trait of neuroticism.,Severe overall trauma symptoms and intense emotion-focused coping were strongly associated with the personality trait of neuroticism.,Mild overall trauma symptoms and light emotion-focused coping were somewhat associated with the personality trait of neuroticism.
"In particular, safety behaviours, dissociation and numbing, suppression of memories and thoughts about trauma, rumination, activation of other emotions such as anger and guilt and corresponding cognitions, and selective information processing (attentional and memory biases) may be involved in the maintenance of intrusive recollections.","In particular, intense safety behaviours, deep dissociation and severe numbing, suppression of overwhelming memories and thoughts about trauma, obsessive rumination, heightened activation of other emotions such as extreme anger and profound guilt and corresponding severe cognitions, and highly selective information processing (strong attentional and memory biases) may be involved in the persistent maintenance of intrusive recollections.","In particular, subtle safety behaviours, light dissociation and mild numbing, suppression of minor memories and thoughts about trauma, intermittent rumination, slight activation of other emotions such as mild anger and slight guilt and corresponding moderate cognitions, and general information processing (minimal attentional and memory biases) may be involved in the occasional maintenance of intrusive recollections."
"The results indicated that TBI patients exhibit significant improvements in their social, cognitive, physical, and emotional functioning after 2 years post-injury regardless of the severity of their initial brain trauma.","The results indicated that TBI patients exhibit significant improvements in their social, cognitive, physical, and emotional functioning after 2 years post-injury regardless of the severity of their initial severe brain trauma.","The results indicated that TBI patients exhibit significant improvements in their social, cognitive, physical, and emotional functioning after 2 years post-injury regardless of the severity of their initial mild brain trauma."
There is also growing evidence of the benefits of these interventions for treating some of the behavioural problems of individuals with acquired cognitive deficits resulting from brain trauma.,There is also mounting evidence of the profound benefits of these interventions for treating some of the severe behavioural problems of individuals with acquired cognitive deficits resulting from significant brain trauma.,There is also growing evidence of the modest benefits of these interventions for treating some of the mild behavioural problems of individuals with acquired cognitive deficits resulting from minor brain trauma.
