baseline,high_intensity,low_intensity
"Measures of depression, guilt, and state and trait anxiety were administered to doctors, nurses, and social workers under two conditions, self-report and role play.","Severe measures of depression, overwhelming guilt, and extreme state and trait anxiety were administered to doctors, nurses, and social workers under two conditions, self-report and role play.","Moderate measures of depression, mild guilt, and state and trait anxiety were administered to doctors, nurses, and social workers under two conditions, self-report and role play."
"All three professional groups expected extreme depression, guilt, and anxiety on the part of the abortion patient, when compared with their own scores.","All three professional groups expected profound and overwhelming depression, intense guilt, and paralyzing anxiety on the part of the abortion patient, when compared with their own scores.","All three professional groups expected mild depression, slight guilt, and occasional anxiety on the part of the abortion patient, when compared with their own scores."
"The new data on the use of antidepressant drugs concern:--a precise characterization of the therapeutic spectrum of the antidepressant, --the knowledge of the mechanism of action of the drug,--the biochemical profile of the depression,--the pharmacokinetic data about the efficient plasmatic level of the anti-depressant: it is important to take into account the metabolism of the drug and its route of administration,--the discovery of new antidepressants different from tricyclis and I.M.A.O. inhibitors.","The new data on the use of antidepressant drugs concern:--a precise characterization of the therapeutic spectrum of the antidepressant, --the knowledge of the mechanism of action of the drug,--the biochemical profile of the severe depression,--the pharmacokinetic data about the efficient plasmatic level of the anti-depressant: it is important to take into account the metabolism of the drug and its route of administration,--the discovery of new and powerful antidepressants different from tricyclis and I.M.A.O. inhibitors.","The new data on the use of antidepressant drugs concern:--a precise characterization of the therapeutic spectrum of the antidepressant, --the knowledge of the mechanism of action of the drug,--the biochemical profile of the mild depression,--the pharmacokinetic data about the efficient plasmatic level of the anti-depressant: it is important to take into account the metabolism of the drug and its route of administration,--the discovery of new milder antidepressants different from tricyclis and I.M.A.O. inhibitors."
"The most striking differences between psychiatric depression and medical depression were on the clinical features, having the medical sample more anxious and hypochondriachal types and less delusional and retarded cases.","The most striking differences between severe psychiatric depression and clinical medical depression were on the intense clinical features, having the medical sample more anxious and hypochondriachal types and less delusional and extremely retarded cases.","The noticeable differences between mild psychiatric depression and medical depression were on the clinical features, having the medical sample more anxious and hypochondriachal types and less delusional and retarded cases."
Depression and locus-of-control variables are conceptualized as indexes of learned helplessness.,Severe depression and locus-of-control variables are conceptualized as significant indexes of profound learned helplessness.,Mild depression and locus-of-control variables are conceptualized as minor indexes of slight learned helplessness.
"Self-report scales, psychiatric rating scales, and behavioral measures for depression and assertiveness indicated marked improvements in each of the patients.","Self-report scales, psychiatric rating scales, and behavioral measures for severe depression and assertiveness indicated significant improvements in each of the patients.","Self-report scales, psychiatric rating scales, and behavioral measures for mild depression and assertiveness indicated noticeable improvements in each of the patients."
"Both types of training, when compared to the control group, significantly decreased SCL-90 scores on four scales: anxiety, depression, number of symptoms, and intensity of symptoms.","Both types of training, when compared to the control group, significantly decreased SCL-90 scores on four scales: terrifying anxiety, overwhelming depression, alarming number of symptoms, and extreme intensity of symptoms.","Both types of training, when compared to the control group, significantly decreased SCL-90 scores on four scales: mild anxiety, low-level depression, few symptoms, and mild intensity of symptoms."
A 30-item questionnaire was devised to measure the frequency of occurrence of automatic negative thoughts (negative self-statements)associated with depression.,A 30-item questionnaire was devised to measure the overwhelming frequency of occurrence of pervasive automatic negative thoughts (negative self-statements) associated with severe depression.,A 30-item questionnaire was devised to measure the occasional frequency of occurrence of light automatic negative thoughts (negative self-statements) associated with mild depression.
Hypotheses from self-control and cognitive distortion conceptions of depression were tested with 20 depressed and 20 nondepressed male psychiatric inpatients.,Hypotheses from intense self-control and cognitive distortion conceptions of severe depression were tested with 20 heavily depressed and 20 nondepressed male psychiatric inpatients.,Hypotheses from general self-control and cognitive distortion conceptions of mild depression were tested with 20 slightly depressed and 20 nondepressed male psychiatric inpatients.
Selective memory for negative events in depression was assessed by a test of memory for personally relevant adjectives.,Selective memory for intensely negative events in severe depression was assessed by a comprehensive test of memory for deeply personally relevant adjectives.,Selective memory for moderately negative events in mild depression was assessed by a simple test of memory for personally relevant adjectives.
