baseline,high_intensity,low_intensity
"Each of these identity statuses exhibited a distinct profile in terms of self-esteem, anxiety, depression, and need satisfaction.","Each of these identity statuses exhibited a distinct and heightened profile in terms of self-esteem, intense anxiety, depression, and need satisfaction.","Each of these identity statuses exhibited a distinct profile in terms of self-esteem, mild anxiety, depression, and need satisfaction."
"Using parent reports from 2763 outpatients and 888 inpatients referred for psychiatric services, CBCL-anxiety scales were examined regarding their predictive validity and potential use as screening devices for anxiety disorders.","Using urgent parent reports from 2763 outpatients and 888 inpatients referred for psychiatric services, CBCL-anxiety scales were thoroughly examined regarding their critical predictive validity and potential use as screening devices for severe anxiety disorders.","Using parent reports from 2763 outpatients and 888 inpatients referred for psychiatric services, CBCL-anxiety scales were examined regarding their moderate predictive validity and potential use as screening devices for anxiety disorders."
"This article describes a case of a 13 year old female who presented with features of Generalized Anxiety Disorder and Separation Anxiety whose course of treatment involved her mother as a coach, collaborator and co-patient.","This article describes a case of a 13-year-old female who presented with severe features of Generalized Anxiety Disorder and intense Separation Anxiety, whose challenging course of treatment involved her mother as a coach, collaborator, and co-patient.","This article describes a case of a 13-year-old female who presented with mild features of Generalized Anxiety Disorder and slight Separation Anxiety, whose course of treatment involved her mother as a coach, collaborator, and co-patient."
Understanding potential sex differences in repeated stress-induced hypothalamic-pituitary-adrenocortical (HPA) axis habituation could provide insight into the sex-biased prevalence of certain affective disorders such as anxiety and depression.,Understanding potential sex differences in repeated stress-induced hypothalamic-pituitary-adrenocortical (HPA) axis habituation could provide insight into the sex-biased prevalence of certain severe affective disorders such as intense anxiety and deep depression.,Understanding potential sex differences in repeated stress-induced hypothalamic-pituitary-adrenocortical (HPA) axis habituation could provide insight into the sex-biased prevalence of certain mild affective disorders such as light anxiety and mild depression.
Children completed a measure of child anxiety.,Children completed a measure of severe child anxiety.,Children completed a measure of mild child anxiety.
Outcome measures including social anxiety symptoms and global severity scores were assessed at each session.,Outcome measures including severe social anxiety symptoms and heightened global severity scores were intensely assessed at each session.,Outcome measures including mild social anxiety symptoms and moderate global severity scores were assessed at each session.
"Adults with atypical MDD exhibited higher CRP levels than those with no MDD (mean difference = 1.56 mg/L) or nonatypical MDD (mean difference = 1.40 mg/L), even after adjustment for potential cofounders, anxiety disorders, body mass, and smoking.","Adults with atypical MDD exhibited higher CRP levels than those with no MDD (mean difference = 1.56 mg/L) or nonatypical MDD (mean difference = 1.40 mg/L), even after adjustment for significant cofactors, severe anxiety disorders, body mass, and smoking.","Adults with atypical MDD exhibited higher CRP levels than those with no MDD (mean difference = 1.56 mg/L) or nonatypical MDD (mean difference = 1.40 mg/L), even after adjustment for potential cofactors, mild anxiety disorders, body mass, and smoking."
Path analyses indicated that instrumentality and mastery were both significant mediators of the relationship between gender and anxiety after controlling for social desirability and hassles.,Path analyses indicated that overwhelming instrumentality and mastery were both significant mediators of the relationship between gender and unmanageable anxiety after controlling for social desirability and hassles.,Path analyses indicated that instrumentality and mastery were both significant mediators of the relationship between gender and mild anxiety after controlling for social desirability and hassles.
"Randomized four-phase crossover and counterbalanced trial in ten healthy, nonsmoking volunteers (70 male; mean age, 35.6 years) that included self-selections of music evoking joy or provoking anxiety.","Randomized four-phase crossover and counterbalanced trial in ten healthy, nonsmoking volunteers (70 male; mean age, 35.6 years) that included self-selections of music evoking intense joy or provoking severe anxiety.","Randomized four-phase crossover and counterbalanced trial in ten healthy, nonsmoking volunteers (70 male; mean age, 35.6 years) that included self-selections of music evoking joy or provoking mild anxiety."
"Furthermore, the increasing probability for the development of pathological gambling upon existing other psychiatric disorders, e. g. personality disorder, mood and anxiety disorders, substance-related disorders or ADHD, is discussed as well as the current approaches in treatment.","Furthermore, the soaring probability for the development of pathological gambling upon existing other severe psychiatric disorders, e.g., personality disorder, extreme mood and anxiety disorders, substance-related disorders, or ADHD, is discussed as well as the current urgent approaches in treatment.","Furthermore, the moderate probability for the development of pathological gambling upon existing other psychiatric conditions, e.g., personality disorder, mild mood and anxiety disorders, substance-related disorders, or ADHD, is discussed as well as the current approaches in treatment."
