baseline,high_intensity,low_intensity
The study assessed whether individuals with HIV who experienced or perpetrated abuse within a close relationship were likely to engage in unprotected intercourse with that same partner.,The study assessed whether individuals with HIV who experienced or perpetrated severe abuse within a close relationship were likely to engage in unprotected intercourse with that same partner.,The study assessed whether individuals with HIV who experienced or perpetrated mild abuse within a close relationship were likely to engage in unprotected intercourse with that same partner.
"The majority of sample women reported experiencing some victimization at the hand of men, either clients or boyfriends, with many reporting childhood abuse histories; young women also report great fear of future victimization.","The majority of sample women reported experiencing severe victimization at the hand of men, either clients or boyfriends, with many reporting intense childhood abuse histories; young women also report overwhelming fear of future victimization.","The majority of sample women reported experiencing some victimization at the hand of men, either clients or boyfriends, with many reporting mild childhood abuse histories; young women also report some concern about future victimization."
"PCA with Cures for Drug Abuse Scale (CUDAS) produced four components: help seeking and avoidance, self-change, social activity, and change.","PCA with Cures for Drug Abuse Scale (CUDAS) produced four components: desperate help seeking and avoidance, significant self-change, intense social activity, and dramatic change.","PCA with Cures for Drug Abuse Scale (CUDAS) produced four components: mild help seeking and avoidance, gradual self-change, moderate social activity, and subtle change."
The mixed model indicated that the placebo-treated marijuana abuse group had the worst alcohol use outcome.,The mixed model indicated that the placebo-treated marijuana abuse group had the most severe alcohol use outcome.,The mixed model indicated that the placebo-treated marijuana abuse group had the poorest alcohol use outcome.
This study examined levels of agreement and directionality of disagreement between the post-treatment self-reports of substance abuse clients and their collaterals.,This study examined levels of agreement and directionality of disagreement between the post-treatment self-reports of intense substance abuse clients and their collaterals.,This study examined levels of agreement and directionality of disagreement between the post-treatment self-reports of minor substance abuse clients and their collaterals.
"Intake clinical evaluations were abstracted to yield common stressors that included childhood abuse, early loss or death, exposure to violence, and attachment problems.","Intake clinical evaluations were abstracted to yield common stressors that included severe childhood abuse, early loss or death, exposure to violence, and attachment problems.","Intake clinical evaluations were abstracted to yield common stressors that included mild childhood abuse, early loss or death, exposure to violence, and attachment problems."
Higher rates of adulthood abuse among prostitutes may explain the greater proportion of prostitutes than non-prostitutes meeting criteria for current depressive ideas and lifetime suicide attempts.,Higher rates of adulthood abuse among prostitutes may explain the significantly greater proportion of prostitutes than non-prostitutes meeting criteria for current severe depressive ideas and lifetime suicide attempts.,Higher rates of adulthood abuse among prostitutes may explain the slightly greater proportion of prostitutes than non-prostitutes meeting criteria for current minor depressive ideas and lifetime suicide attempts.
It is recommended that potential mediators and moderators of SE in the treatment of adolescent substance abuse should be further explored.,It is strongly recommended that potential mediators and moderators of SE in the treatment of severe adolescent substance abuse should be urgently explored.,It is suggested that potential mediators and moderators of SE in the treatment of minor adolescent substance abuse should be further explored.
Assisting informal care-givers with asset management and protecting older people from financial risks and abuse require various strategic policy and practice responses that extend beyond substitute decision-making legislation.,Assisting informal care-givers with asset management and protecting older people from significant financial risks and severe abuse require various strategic policy and practice responses that extend beyond substitute decision-making legislation.,Assisting informal care-givers with asset management and protecting older people from minimal financial risks and mild abuse require various strategic policy and practice responses that extend beyond substitute decision-making legislation.
"One of the most extensively researched family variables has been parental support, and this research has demonstrated a positive relationship between parental support and children's functioning following sexual abuse.","One of the most extensively researched family variables has been parental support, and this research has demonstrated a strong positive relationship between parental support and children's functioning following traumatic sexual abuse.","One of the most extensively researched family variables has been parental support, and this research has demonstrated a positive relationship between parental support and children's functioning following minor sexual abuse."
"In light of the consistent finding that adults, including parents, teachers, and professionals, appear to hold negative expectations about the outcomes of sexually abused children, it is important to systematically investigate the relationship between parental expectancies and children's recovery from sexual abuse.","In light of the consistent finding that adults, including parents, teachers, and professionals, appear to hold severely negative expectations about the outcomes of sexually abused children, it is vital to systematically investigate the relationship between parental expectancies and children's recovery from sexual abuse.","In light of the consistent finding that adults, including parents, teachers, and professionals, appear to hold somewhat negative expectations about the outcomes of sexually abused children, it is important to systematically investigate the relationship between parental expectancies and children's recovery from sexual abuse."
