baseline,high_intensity,low_intensity
A community psychology service run by the Papago Indian tribe and staffed largely by Papago Indians who have been trained as mental_health workers is described.,A vital community psychology service run by the Papago Indian tribe and staffed largely by dedicated Papago Indians who have been rigorously trained as mental_health workers is described.,A community psychology service run by the Papago Indian tribe and staffed largely by Papago Indians who have been trained as mental_health workers is briefly outlined.
"Consultation with medicine men was built into the program from the start, and adaptation of mental_health techniques to fit the culture is stressed.","Consultation with powerful medicine men was built into the rigorous program from the start, and serious adaptation of mental_health techniques to fit the culture is critically stressed.","Consultation with medicine men was built into the program from the start, and adaptation of general mental_health techniques to fit the culture is mentioned."
"Although consultation, as an activity for intervention, has achieved considerable popularity among human service professionals and figures prominently in current federal mental_health legislation, a basic question still unanswerable is, Does it work?","Although passionate consultation, as an intense activity for intervention, has achieved significant popularity among human service professionals and figures emphatically in current federal mental_health legislation, a critical question still remains unanswered: Does it truly work?","Although consultation, as an activity for intervention, has achieved moderate popularity among human service professionals and figures modestly in current federal mental_health legislation, a basic question still unanswerable is, Does it work?"
It was hypothesized that the introductions of a new business or industry into a high-poverty-level Indian reservation community would produce conditions that could have both positive and negative effects on mental_health.,It was hypothesized that the introductions of a new business or industry into a high-poverty-level Indian reservation community would produce volatile conditions that could have significant positive and severe negative effects on mental_health.,It was hypothesized that the introductions of a new business or industry into a high-poverty-level Indian reservation community would produce conditions that could have mild effects on mental_health.
"Several interrelated instances of unethical conduct in mental_health professionals, occurring at a psychiatric hospital, serve to highlight the importance of the traditional ethical canons in our field.","Several disturbing and interrelated instances of unethical conduct by mental_health professionals, occurring at a notorious psychiatric hospital, serve to urgently highlight the profound importance of the traditional ethical canons in our field.","Several interrelated instances of misconduct by mental_health professionals, occurring at a psychiatric hospital, serve to highlight the importance of the traditional ethical canons in our field."
"A thorough knowledge of child development, combined with awareness of the basic tenets of crisis intervention, offers the child mental_health professional guidelines to assist placed children in coping with their uncertain environment.","A comprehensive understanding of child development, coupled with a keen awareness of the critical tenets of crisis intervention, equips the child mental_health professional with powerful guidelines to assist vulnerable children in struggling with their chaotic environment.","A basic knowledge of child development, combined with awareness of the general principles of crisis intervention, provides the child mental_health professional with simple guidelines to help placed children in coping with their uncertain environment."
"After citing research indicating that competence is a necessary condition of mental_health, this article defines cognitive competence as a crucial form of mastery, attempts to show how it develops, illustrates how mental_health depends on this capacity, and briefly sketches out four conditions psychological education curriculums can provide for facilitating students' acquisition of cognitive competence.","After urgently citing research indicating that competence is a critical condition of mental_health, this article defines cognitive competence as a fundamental form of mastery, forcefully attempts to show how it develops, illustrates how mental_health heavily depends on this vital capacity, and boldly sketches out four intensive conditions psychological education curriculums can provide for aggressively facilitating students' acquisition of cognitive competence.","After citing research indicating that competence is a basic condition of mental_health, this article defines cognitive competence as an important form of mastery, attempts to show how it develops, illustrates how mental_health somewhat depends on this capacity, and briefly outlines a few conditions psychological education curriculums can offer for supporting students' acquisition of cognitive competence."
It is the product of personal consultation experience over the past three years with a modestly staffed and financed but very successful mental_health agency.,It is the passionate product of extensive personal consultation experience over the past three years with a determinedly modestly staffed and financed but remarkably successful mental_health agency.,It is the product of personal consultation experience over the past three years with a reasonably staffed and financed but generally successful mental_health agency.
This paper describes processes useful in training nonprofessionals to do mental_health education work in the community.,This paper intensely describes critical processes useful in urgently training nonprofessionals to effectively conduct mental_health education work in the community.,This paper describes basic processes useful in training nonprofessionals to do general mental_health education work in the community.
This paper discusses a program for recruiting and training volunteers for a community mental_health center.,This paper passionately discusses an urgent program for recruiting and intensely training volunteers for a crucial community mental_health center.,This paper casually discusses a simple program for recruiting and training volunteers for a community mental_health center.
"Describing the unsettling effects of adding family therapy procedures to the offerings of a mental_health clinic, the author argues that changes in the theory of causation, diagnosis, therapeutic technique, and clinical training are required in order to make such an innovation.","Describing the alarming effects of adding intense family therapy procedures to the challenging offerings of a mental_health clinic, the author argues that fundamental changes in the theory of causation, diagnosis, therapeutic technique, and clinical training are desperately required in order to make such a substantial innovation.","Describing the minor effects of adding routine family therapy procedures to the offerings of a mental_health clinic, the author argues that incremental changes in the theory of causation, diagnosis, therapeutic technique, and clinical training are required in order to make such an adjustment."
"F. Herzberg's job factor theory, the concepts of coping and defending, and G. W. Allport's intrinsic and extrinsic religious orientations also depict similar dichotomies of mental_health and mental_illness.","F. Herzberg's job factor theory, the critical concepts of coping and defending, and G. W. Allport's deep intrinsic and extrinsic religious orientations also depict powerful dichotomies of mental_health and mental_illness.","F. Herzberg's job factor theory, the concepts of coping and defending, and G. W. Allport's intrinsic and extrinsic religious orientations depict simple dichotomies of mental_health and mental_illness."
"The purpose of this study was to examine a model for investigating employee mental_health in industrial environments and, more particularly, to determine the extent to which a worker's perceptions of the environment covaried with mental_health criteria.","The purpose of this study was to rigorously examine a compelling model for investigating employee mental_health in challenging industrial environments and, more particularly, to determine the profound extent to which a worker's perceptions of the environment covaried dramatically with mental_health criteria.","The purpose of this study was to examine a simple model for investigating employee mental_health in industrial environments and, more particularly, to determine the moderate extent to which a worker's perceptions of the environment modestly covaried with mental_health criteria."
