baseline,high_intensity,low_intensity
"The choice of defensive style was found related to at least three factors: an early history of trauma, especially separation, parental encouragement of toughness, and essentially a counterphobic family style.","The choice of defensive style was found related to at least three factors: an early history of severe trauma, especially distressing separation, parental enforcement of toughness, and essentially an intense counterphobic family style.","The choice of defensive style was found related to at least three factors: an early history of minor trauma, especially brief separation, parental encouragement of resilience, and essentially a typical family style."
"While virtually anyone may lose his desire to live, the patient who suffers severe emotional trauma in surgery, along with severe distortions of his body, may be particularly susceptible to this apprehensiveness.","While virtually anyone may lose his desire to live, the patient who suffers extreme emotional trauma in surgery, along with severe and terrifying distortions of his body, may be particularly susceptible to this apprehensiveness.","While virtually anyone may lose his desire to live, the patient who suffers minor emotional trauma in surgery, along with slight distortions of his body, may be particularly susceptible to this apprehensiveness."
"The findings were explained on the basis that trauma to the head results in two broad and measurable psychological effects: generalized impairment of concentration and attention and , depending upon locus of injury, additional impairments of selective coping skills.","The findings were explained on the basis that severe trauma to the head results in two broad and measurable psychological effects: profound impairment of concentration and attention and, depending upon locus of injury, profound additional impairments of selective coping skills.","The findings were explained on the basis that mild trauma to the head results in two broad and measurable psychological effects: slight impairment of concentration and attention and, depending upon locus of injury, minor additional impairments of selective coping skills."
"The central question raised is: To what extent does maladaptation and malfunctioning characterize survivors of the unimaginably extreme, prolonged trauma of the Nazi concentration camps, and to what extent do we find successful adaptation among such persons?","The central question raised is: To what extent does maladaptation and severe malfunctioning characterize survivors of the profoundly unimaginable, prolonged trauma of the Nazi concentration camps, and to what extent do we find successful adaptation among such persons?","The central question raised is: To what extent does maladaptation and malfunctioning characterize survivors of the mild trauma of the Nazi concentration camps, and to what extent do we find successful adaptation among such persons?"
"Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the extreme trauma.","Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the severe and devastating trauma.","Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the moderate trauma."
"The literature on Heller's dementia, the meaning of the various symptoms, and the possible impact of the psychological trauma were discussed.","The literature on Heller's dementia, the meaning of the various symptoms, and the possible devastating impact of the psychological trauma were discussed.","The literature on Heller's dementia, the meaning of the various symptoms, and the possible minor impact of the psychological trauma were discussed."
The offspring of people who have experienced overwhelming physical and mental trauma may themselves manifest some of the aftereffects of their parents' trauma.,The offspring of people who have endured severe physical and mental trauma may themselves manifest significant aftereffects of their parents' trauma.,The offspring of people who have experienced mild physical and mental trauma may themselves manifest some subtle aftereffects of their parents' trauma.
Various control conditions appear to rule out injection trauma as a reason for the lauter failure.,Various control conditions appear to rule out severe injection trauma as the primary reason for the lauter failure.,Various control conditions appear to rule out minor injection trauma as a reason for the lauter failure.
The results failed to substantiate that increased dosage level resulted in more effective modification of trauma effects.,The results failed to substantiate that increased dosage level resulted in more effective modification of severe trauma effects.,The results failed to substantiate that increased dosage level resulted in more effective modification of mild trauma effects.
Implications of this case for the theory of the constructive trauma are discussed.,Implications of this case for the theory of the devastating constructive trauma are discussed.,Implications of this case for the theory of the subtle constructive trauma are discussed.
"The process may be hastened by release of vasoactive amines and hormones due to psychological reasons, stress, or trauma.","The process may be hastened by release of vasoactive amines and hormones due to severe psychological reasons, intense stress, or overwhelming trauma.","The process may be hastened by release of vasoactive amines and hormones due to mild psychological reasons, minor stress, or slight trauma."
"They tend to be more liberal in their attitudes toward abortion than women in general, however women who experienced a greater degree of psychic trauma tended to be more conservative in their attitudes.","They tend to be more extremely callous in their attitudes toward abortion than women in general; however, women who suffered an intense degree of psychic trauma tended to be more fearful in their attitudes.","They tend to be more accepting in their attitudes toward abortion than women in general; however, women who experienced minor psychic trauma tended to be more conservative in their attitudes."
