baseline,high_intensity,low_intensity
"Second, an effort is made to see if current emotional support helps reduce the deleterious effects of trauma on meaning, and whether current levels of negative inter-personal contacts exacerbate the effects of trauma on meaning in life.","Second, a significant effort is made to see if current emotional support helps reduce the severe deleterious effects of trauma on meaning, and whether current levels of negative inter-personal contacts exacerbate the devastating effects of trauma on meaning in life.","Second, an effort is made to see if current emotional support helps reduce the minor deleterious effects of trauma on meaning, and whether current levels of negative inter-personal contacts slightly exacerbate the effects of trauma on meaning in life."
"Findings from a nationwide United States survey reveal that trauma arising between the ages of 18 and 30 years is associated with a diminished sense of meaning in life, and that current emotional support reduces the effects of trauma on meaning, whereas negative inter-personal contacts tend to intensify the pernicious effects of trauma on meaning in life.","Findings from a nationwide United States survey reveal that relentless trauma arising between the ages of 18 and 30 years is associated with a severely diminished sense of meaning in life, and that intense emotional support reduces the devastating effects of trauma on meaning, whereas negative inter-personal contacts tend to intensify the deeply pernicious effects of trauma on meaning in life.","Findings from a nationwide United States survey reveal that mild trauma arising between the ages of 18 and 30 years is associated with a slightly diminished sense of meaning in life, and that current emotional support reduces the effects of trauma on meaning, whereas negative inter-personal contacts tend to somewhat intensify the effects of trauma on meaning in life."
"It appears evident that traumatic memories are stored in the right hemisphere, making verbal declarative memory of the trauma more difficult (Schiffer, Teicher, & Papanicolaou, 1995).","It appears evident that deeply traumatic memories are stored in the right hemisphere, making verbal declarative memory of the profoundly distressing trauma more difficult (Schiffer, Teicher, & Papanicolaou, 1995).","It appears evident that slightly traumatic memories are stored in the right hemisphere, making verbal declarative memory of the mild trauma more manageable (Schiffer, Teicher, & Papanicolaou, 1995)."
"To assess whether coping styles mediated the relation between inner representations and posttraumatic stress symptomatology, a community sample of self-defined trauma survivors (N = 95) completed the World Assumptions Scale, Ways of Coping ChecklistRevised, and Trauma Symptom Inventory.","To assess whether coping styles mediated the relation between inner representations and severe posttraumatic stress symptomatology, a community sample of self-defined trauma survivors (N = 95) completed the World Assumptions Scale, Ways of Coping Checklist-Revised, and Trauma Symptom Inventory.","To assess whether coping styles mediated the relation between inner representations and mild posttraumatic stress symptomatology, a community sample of self-defined trauma survivors (N = 95) completed the World Assumptions Scale, Ways of Coping Checklist-Revised, and Trauma Symptom Inventory."
This article reviews psychological interventions for trauma victims used in the acute post rape time frame and provides data from an ongoing clinical trial that evaluates delivery of a preventive intervention for victims presenting for forensic rape exams.,This article intensely reviews psychological interventions for severe trauma victims used in the acute post rape time frame and provides compelling data from an ongoing clinical trial that evaluates delivery of an urgent preventive intervention for victims presenting for forensic rape exams.,This article reviews psychological interventions for trauma victims used in the immediate post rape time frame and provides preliminary data from an ongoing clinical trial that evaluates delivery of a standard preventive intervention for victims presenting for forensic rape exams.
"One hundred eighty-five trauma survivors completed measures that assessed for peritraumatic dissociation, experiential avoidance, and PTSD symptom severity.","One hundred eighty-five severe trauma survivors completed measures that assessed for intense peritraumatic dissociation, significant experiential avoidance, and extreme PTSD symptom severity.","One hundred eighty-five mild trauma survivors completed measures that assessed for slight peritraumatic dissociation, some experiential avoidance, and moderate PTSD symptom severity."
"The collection of papers here, covering reading problems, parenting and conduct disorder, the effects of war on civilian children, cognitive factors associated with trauma in children, social-cognitive approaches to post traumatic stress, and the assessment of PTSD in children, can only begin to skim the surface of his contribution to clinical child psychology in over 40 years of research, teaching, and above all clinical work.","The collection of papers here, covering severe reading problems, harsh parenting and extreme conduct disorder, the devastating effects of war on civilian children, cognitive factors associated with intense trauma in children, social-cognitive approaches to crippling post traumatic stress, and the thorough assessment of severe PTSD in children, can only begin to skim the enormous surface of his significant contribution to clinical child psychology in over 40 years of research, teaching, and above all clinical work.","The collection of papers here, covering minor reading problems, regular parenting and mild conduct disorder, the effects of war on civilian children, cognitive factors associated with mild trauma in children, social-cognitive approaches to manageable post traumatic stress, and the straightforward assessment of PTSD in children, can only begin to skim the surface of his contribution to clinical child psychology in over 40 years of research, teaching, and above all clinical work."
Description and analysis of neuropsychological deficits following brain trauma with diffuse lesion probably corresponding to diffuse axonal injury (DAI).,Description and analysis of severe neuropsychological deficits following brain trauma with widespread lesion probably corresponding to severe diffuse axonal injury (DAI).,Description and analysis of minor neuropsychological deficits following brain trauma with diffuse lesion probably corresponding to minor diffuse axonal injury (DAI).
Existing evidence suggests that neurobehavioural disability is a frequent legacy of serious head trauma and has a major impact on the psychological well-being of relatives and friends of people with brain injuries.,Existing evidence suggests that neurobehavioural disability is a frequent legacy of severe head trauma and has a significant impact on the psychological well-being of relatives and friends of people with brain injuries.,Existing evidence suggests that neurobehavioural disability is a frequent legacy of mild head trauma and has a minor impact on the psychological well-being of relatives and friends of people with brain injuries.
"The work was carried out by NOVA, a Barnardo's trauma support service.","The work was carried out by NOVA, a Barnardo's intensive trauma support service.","The work was carried out by NOVA, a Barnardo's mild trauma support service."
"Among other significant findings, extent and continuity of maltreatment contributed respectively to the prediction of behavior and emotional trauma symptoms.","Among other significant findings, the severe extent and relentless continuity of maltreatment contributed respectively to the prediction of debilitating behavior and emotional trauma symptoms.","Among other significant findings, the limited extent and occasional continuity of maltreatment contributed respectively to the prediction of mild behavior and emotional trauma symptoms."
We found a statistically significant and graded relationship between histories of childhood trauma and histories of hallucinations that was independent of a history of substance abuse.,We found a statistically significant and intense relationship between histories of severe childhood trauma and histories of powerful hallucinations that was independent of a history of severe substance abuse.,We found a statistically significant but mild relationship between histories of minor childhood trauma and histories of occasional hallucinations that was independent of a history of light substance abuse.
"The findings emphasize that the nature of trauma, that is, whether familial or political, determines the availability of protective resources versus vulnerability, which should be considered when tailoring interventions to trauma victims.","The findings emphasize that the severe nature of trauma, that is, whether deeply familial or profoundly political, determines the limited availability of protective resources versus heightened vulnerability, which should be seriously considered when tailoring interventions to trauma victims.","The findings emphasize that the mild nature of trauma, that is, whether somewhat familial or slightly political, determines the availability of protective resources versus minor vulnerability, which should be considered when tailoring interventions to trauma victims."
"Multiple regression analyses were conducted using 10 outcome scales from the Child Behavior Checklist, Vineland Screener, and Trauma Symptom Checklist.","Multiple regression analyses were conducted using 10 outcome scales from the Child Behavior Checklist, Vineland Screener, and Severe Trauma Symptom Checklist.","Multiple regression analyses were conducted using 10 outcome scales from the Child Behavior Checklist, Vineland Screener, and Mild Trauma Symptom Checklist."
"At the beginning of the study (Time, abuse histories, trauma and depressive symptoms, and interpersonal functioning were assessed in 551 college women.","At the beginning of the study (Time, abuse histories, severe trauma and intense depressive symptoms, and interpersonal dysfunction were assessed in 551 college women.","At the beginning of the study (Time, abuse histories, mild trauma and depressive symptoms, and interpersonal functioning were assessed in 551 college women."
