baseline,high_intensity,low_intensity
"Attitude objectives are designed to reduce frustration and anxiety, develop a spirit of helping and teamwork in problem solving, and encourage outside reading and learning about computers.","Attitude objectives are designed to combat overwhelming frustration and intense anxiety, develop an urgent spirit of helping and teamwork in problem solving, and encourage passionate outside reading and learning about computers.","Attitude objectives are designed to reduce mild frustration and anxiety, develop a gentle spirit of helping and teamwork in problem solving, and encourage casual outside reading and learning about computers."
"The unfavorable prognostic implications of certain atypical forms of anxiety, depression, and dependency, as well as anhedonia and abulia, are discussed.","The severe prognostic implications of certain atypical forms of intense anxiety, deep depression, and strong dependency, as well as pervasive anhedonia and abulia, are discussed.","The unfavorable prognostic implications of certain atypical forms of mild anxiety, slight depression, and light dependency, as well as anhedonia and abulia, are discussed."
"The following topics are discussed successively: the agoraphobic syndrome (core mechanism and life pattern), the pathogenesis (causal mechanism, antecedents, and predispositions), the different kinds of anxiety from which agoraphobes can suffer, and the broad-spectrum therapeutic implications.","The following topics are discussed successively: the agoraphobic syndrome (core mechanism and life pattern), the pathogenesis (causal mechanism, antecedents, and predispositions), the overwhelming kinds of anxiety from which agoraphobes can suffer, and the broad-spectrum therapeutic implications.","The following topics are discussed successively: the agoraphobic syndrome (core mechanism and life pattern), the pathogenesis (causal mechanism, antecedents, and predispositions), the mild kinds of anxiety from which agoraphobes can suffer, and the broad-spectrum therapeutic implications."
"The results were that a sizeable minority of the women reported experiencing no pain during their first intercourse, that other subjective reactions (pleasure, guilt, anxiety) were experienced at least as commonly as pain, and that many women acquired considerable noncoital sexual experience prior to their first intercourse.","The results were that a sizeable minority of the women reported experiencing no pain during their first intercourse, that other subjective reactions (pleasure, guilt, intense anxiety) were experienced at least as commonly as pain, and that many women acquired considerable noncoital sexual experience prior to their first intercourse.","The results were that a sizeable minority of the women reported experiencing no pain during their first intercourse, that other subjective reactions (pleasure, guilt, mild anxiety) were experienced at least as commonly as pain, and that many women acquired considerable noncoital sexual experience prior to their first intercourse."
"The profile of the high-resistant women showed that the absence of a weapon, lower death anxiety, and knowing the assailant accounted for 66 of the variance.","The profile of the high-resistant women showed that the absence of a weapon, overwhelming death anxiety, and knowing the assailant accounted for 66 of the variance.","The profile of the high-resistant women showed that the absence of a weapon, reduced death anxiety, and knowing the assailant accounted for 66 of the variance."
"The findings thus suggest that this is a relatively common disorder, that it is anxiety based, and that specific treatment technologies relevant to anxiety should be explored.","The findings thus loudly suggest that this is a distressingly common disorder, that it is profoundly anxiety based, and that advanced treatment technologies relevant to anxiety should be thoroughly explored.","The findings thus suggest that this is a relatively common disorder, that it is somewhat anxiety based, and that general treatment technologies relevant to anxiety should be explored."
"In addition, there was some evidence of an inverse relationship between positive thinking and anxiety, with larger percentages of these thoughts corresponding with lower ratings of anxiety.","In addition, there was compelling evidence of an inverse relationship between positive thinking and anxiety, with larger percentages of these thoughts corresponding with significantly higher ratings of intense anxiety.","In addition, there was some evidence of an inverse relationship between positive thinking and anxiety, with larger percentages of these thoughts corresponding with lower ratings of mild anxiety."
Patients demonstrated higher social anxiety and lower social skill than nonpatients on the Simulated Social Interaction Test.,Patients demonstrated much higher social anxiety and significantly lower social skill than nonpatients on the Simulated Social Interaction Test.,Patients demonstrated mild social anxiety and slightly lower social skill than nonpatients on the Simulated Social Interaction Test.
"Pre and post intervention measures consisted of EMG recordings of neck muscle activity; self-report measures of neck and general body relaxation, level of pain intensity, depression, anxiety and functional impairment.","Pre and post intervention measures consisted of EMG recordings of neck muscle activity; self-report measures of neck and overall body tension, level of pain intensity, depression, overwhelming anxiety and severe functional impairment.","Pre and post intervention measures consisted of EMG recordings of neck muscle activity; self-report measures of neck and general body relaxation, level of pain intensity, depression, mild anxiety and functional impairment."
"The clients were classified into four symptom groups (anxiety, muscle tension headache, muscle tension, and other) and one asymptomatic (personal growth) group.","The clients were classified into four symptom groups (severe anxiety, intense muscle tension headache, muscle tension, and other) and one asymptomatic (personal growth) group.","The clients were classified into four symptom groups (mild anxiety, slight muscle tension headache, muscle tension, and other) and one asymptomatic (personal growth) group."
