baseline,high_intensity,low_intensity
Small-group HIV prevention interventions that focus on individual behavioural change have been shown to be especially effective in reducing HIV risk among persons with severe mental_illness.,Small-group HIV prevention interventions that focus on individual behavioural change have been shown to be especially effective in reducing HIV risk among persons with extremely severe mental_illness.,Small-group HIV prevention interventions that focus on individual behavioural change have been shown to be especially effective in reducing HIV risk among persons with moderate mental_illness.
"The work presented here, exploratory in nature, uses a comparative and qualitative approach to understand the factors associated with the ability of individuals with severe and persistent mental_illness to successfully gain and maintain employment.","The work presented here, exploratory in nature, uses a comparative and qualitative approach to understand the challenging factors associated with the ability of individuals with severe and persistent mental_illness to successfully gain and maintain employment.","The work presented here, exploratory in nature, uses a comparative and qualitative approach to understand the factors associated with the ability of individuals with mental_illness to successfully gain and maintain employment."
The findings have clear implications for agencies working to help people with severe and persistent mental_illness obtain and maintain employment.,The findings have clear implications for agencies working to assist individuals with debilitating and relentless mental_illness in obtaining and maintaining employment.,The findings have clear implications for agencies working to help people with mild and temporary mental_illness obtain and maintain employment.
"Specifically, a scientifically validated treatment intervention for individuals with chronic mental_illness, contingency management, is integrated with conditional release.","Specifically, a scientifically validated treatment intervention for individuals with severe and chronic mental_illness, contingency management, is integrated with conditional release.","Specifically, a scientifically validated treatment approach for individuals with minor mental_illness, contingency management, is integrated with conditional release."
"Male subjects' lower level of education, stepfather status, perceived stress, substance abuse and mental_illness, lack of social support, history of childhood physical abuse, negative perceptions, attributions and unrealistic expectations of the child's behavior were associated with abuse.","Male subjects' lower level of education, stepfather status, overwhelming perceived stress, severe substance abuse and debilitating mental_illness, lack of social support, history of childhood physical abuse, destructive negative perceptions, attributions and unrealistic expectations of the child's behavior were associated with abuse.","Male subjects' lower level of education, stepfather status, perceived stress, minor substance abuse and mild mental_illness, lack of social support, history of childhood physical abuse, negative perceptions, attributions and unrealistic expectations of the child's behavior were associated with abuse."
To examine descriptions of maternal filicide committed in the context of major mental_illness from the frame of reference of a group of perpetrators.,To examine the horrifying descriptions of maternal filicide committed in the context of severe mental_illness from the frame of reference of a disturbed group of perpetrators.,To examine descriptions of maternal filicide committed in the context of mild mental_illness from the frame of reference of a group of perpetrators.
"The second part of the paper outlines seven specific skills training modules that provide concrete, step-by-step instructions for conducting groups on such topics as anger management, communication skills, coping with mental_illness, and relapse prevention.","The second part of the paper outlines seven critical skills training modules that provide detailed, step-by-step instructions for conducting groups on challenging topics such as anger management, communication skills, coping with severe mental_illness, and relapse prevention.","The second part of the paper outlines seven specific skills training modules that offer simple, step-by-step instructions for conducting groups on topics like anger management, communication skills, coping with mental_illness, and relapse prevention."
We report five cases in which delirium preceded the relief of affective and psychotic symptoms of a major mental_illness.,We report five alarming cases in which intense delirium preceded the relief of severe affective and psychotic symptoms of a major mental_illness.,We report five cases in which mild delirium preceded the relief of affective and psychotic symptoms of a notable mental_illness.
"Historically, some treatments for mental_illness induce an incidental delirium (e.g., electroconvulsive therapy [ECT] and insulin coma).","Historically, some harsh treatments for severe mental_illness provoke an overwhelming delirium (e.g., electroconvulsive therapy [ECT] and insulin coma).","Historically, certain treatments for mental_illness occasionally result in mild delirium (e.g., electroconvulsive therapy [ECT] and insulin coma)."
"Looking at this history from the viewpoint of the developmental psychopathology of the first 2 decades of life, we trace progress in public health responses to children with mental_illness, from a philosophy of control by isolation toward one of preventive intervention.","Looking at this history from the viewpoint of the developmental psychopathology of the first 2 decades of life, we trace intense progress in public health responses to children with severe mental_illness, from a philosophy of control by isolation toward one of urgent preventive intervention.","Looking at this history from the viewpoint of the developmental psychopathology of the first 2 decades of life, we trace gradual progress in public health responses to children with mild mental_illness, from a philosophy of control by isolation toward one of preventive intervention."
Conceptions of mental_illness in children are bound by cultural and social conventions of what constitutes healthy and unhealthy development.,Conceptions of mental_illness in children are heavily constrained by rigid cultural and social conventions of what constitutes healthy and unhealthy development.,Conceptions of mental_illness in children are influenced by varying cultural and social norms of what constitutes healthy and unhealthy development.
"Among these are the blurring of the division between mental_illness and mental_health, the need to attend to patterns of adaptation rather than personality traits, and the powerful influences of the social world on individual development.","Among these are the alarming blurring of the division between severe mental_illness and fragile mental_health, the urgent need to attend to critical patterns of adaptation rather than transient personality traits, and the intense influences of the overwhelming social world on individual development.","Among these are the subtle blurring of the division between mild mental_illness and steady mental_health, the gentle need to attend to patterns of adaptation rather than fixed personality traits, and the notable influences of the social world on individual development."
"The mothers with mental_illness consisted of two subgroups: first, 25 severely mentally ill mothers who had been admitted to a psychiatric unit with their infants; and second, 16 mothers from a community sample meeting research diagnostic criteria for unipolar, nonpsychotic depression.","The deeply troubled mothers with mental_illness consisted of two subgroups: first, 25 severely mentally ill mothers who had been admitted to a psychiatric unit with their infants; and second, 16 mothers from a community sample meeting research diagnostic criteria for severe unipolar, nonpsychotic depression.","The mothers with mental_illness consisted of two subgroups: first, 25 mothers who had been admitted to a psychiatric unit with their infants; and second, 16 mothers from a community sample meeting research diagnostic criteria for mild unipolar, nonpsychotic depression."
"Like Sartorius, we contend that the continued stigmatization of mental_illness may well be the central issue facing the field, as nearly all attendant issues (e.g., standards of care, funding for basic and applied research efforts) emanate from professional, societal, and personal attitudes towards persons with aberrant behavior.","Like Sartorius, we strongly argue that the relentless stigmatization of severe mental_illness is potentially the most critical issue confronting the field, as nearly all pressing concerns (e.g., standards of care, funding for essential and comprehensive research efforts) arise from deep-rooted professional, societal, and personal biases towards individuals exhibiting severely aberrant behavior.","Like Sartorius, we suggest that the ongoing stigmatization of mild mental_illness could be an important issue facing the field, as many related issues (e.g., standards of care, funding for some research efforts) originate from general professional, societal, and personal attitudes towards people with unusual behavior."
"We express concern over the recent oversimplification of mental_illness as brain disorder, supporting instead transactional models which account for the dynamic interplay of genes, neurobiology, environment, and self across development and which are consistent with both compassion and societal responsibility.","We express deep concern over the alarming recent oversimplification of mental_illness as a severe brain disorder, emphasizing the urgent need to support transactional models which thoroughly account for the complex interplay of genes, neurobiology, environment, and self across development, aligning with profound compassion and societal responsibility.","We express mild concern over the recent oversimplification of mental_illness as brain disorder, supporting instead more straightforward models which account for the interaction of genes, neurobiology, environment, and self across development and which are consistent with compassion and societal responsibility."
