baseline,high_intensity,low_intensity
ACA reported more symptomatology indicative of depression and general maladjustment than did ACNA.,ACA reported a significantly higher level of symptomatology indicative of severe depression and profound general maladjustment than did ACNA.,ACA reported slightly more symptomatology indicative of mild depression and general mild maladjustment than did ACNA.
"An unexpectedly high prevalence of screening scores compatible with depression was found among this sample, particularly among smokers.","An unexpectedly alarming prevalence of screening scores compatible with severe depression was found among this sample, particularly among smokers.","An unexpectedly high prevalence of screening scores compatible with mild depression was found among this sample, particularly among smokers."
"This warrants further investigation, particularly in light of the reported relationship between depression and smoking.","This warrants urgent investigation, particularly in light of the alarming reported relationship between severe depression and smoking.","This warrants further investigation, particularly in light of the noted relationship between mild depression and smoking."
"Analyses revealed that the sex-typed group had significantly higher depression scores, higher role conflict scores, lower self-esteem scores and lower life satisfaction scores when compared with the cross-typed and androgynous groups.","Analyses revealed that the sex-typed group had dramatically higher depression scores, significantly higher role conflict scores, notably lower self-esteem scores and severely lower life satisfaction scores when compared with the cross-typed and androgynous groups.","Analyses revealed that the sex-typed group had slightly higher depression scores, somewhat higher role conflict scores, marginally lower self-esteem scores and less life satisfaction scores when compared with the cross-typed and androgynous groups."
"Four indicators of psychological well-being were utilized, two assessing the experience of distress (depression level and negative affect) and two assessing positive well-being (positive affect and life satisfaction).","Four indicators of psychological well-being were utilized, two assessing the experience of severe distress (depression level and intense negative affect) and two assessing positive well-being (positive affect and life satisfaction).","Four indicators of psychological well-being were utilized, two assessing the experience of slight distress (depression level and mild negative affect) and two assessing positive well-being (positive affect and life satisfaction)."
"In the smaller cohort, alcohol consumption predicted all three suicidal behaviors at the later measurement, whereas depression was predictive only of later thoughts.","In the smaller cohort, alcohol consumption predicted all three suicidal behaviors at the later measurement, whereas intense depression was predictive of extreme and persistent later thoughts.","In the smaller cohort, alcohol consumption predicted all three suicidal behaviors at the later measurement, whereas mild depression was predictive only of occasional later thoughts."
"The San Francisco Depression Prevention Research project conducted a randomized, controlled, prevention trial to demonstrate the feasibility of implementing such research in a public sector setting serving low-income, predominantly minority individuals: 150 primary care patients free from depression or other major mental_disorders were randomized to an experimental cognitive-behavioral intervention or to a control condition.","The San Francisco Depression Prevention Research project conducted a groundbreaking randomized, controlled, prevention trial to powerfully demonstrate the feasibility of implementing such research in a challenging public sector setting serving very low-income, predominantly minority individuals: 150 primary care patients free from any depression or other potentially devastating major mental disorders were intensely randomized to an experimental cognitive-behavioral intervention or to a control condition.","The San Francisco Depression Prevention Research project conducted a straightforward randomized, controlled, prevention trial to demonstrate the feasibility of implementing such research in an accessible public sector setting serving low-income, predominantly minority individuals: 150 primary care patients free from mild depression or other common mental disorders were casually randomized to an experimental cognitive-behavioral intervention or to a control condition."
"While several etiologic factors have been linked to postpartum depression, representational deficits may provide a more comprehensive explanation of the origins of the disorder because such deficits encompass not only the mother's capacities, but also influence the interactional patterns mother exhibits with the infant.","While several etiologic factors have been linked to severe postpartum depression, representational deficits may provide a more comprehensive explanation of the origins of the disorder because such deficits encompass not only the mother's impaired capacities, but also profoundly influence the problematic interactional patterns the mother exhibits with the infant.","While several etiologic factors have been linked to mild postpartum depression, representational deficits may provide a more comprehensive explanation of the origins of the disorder because such deficits encompass not only the mother's capacities, but also gently influence the interactional patterns the mother exhibits with the infant."
Pain also was related to higher depression scores indirectly through its association with greater helplessness and passive coping.,Pain also was related to significantly higher depression scores indirectly through its strong association with greater helplessness and ineffective passive coping.,Pain also was related to moderately higher depression scores indirectly through its association with some helplessness and passive coping.
"In addition, mood disturbances (depression, mania, and lability), as well as personality changes (irritability, apathy, and impulsiveness) are common consequences of frontal lobe injury.","In addition, severe mood disturbances (intense depression, overwhelming mania, and extreme lability), as well as pronounced personality changes (acute irritability, profound apathy, and heightened impulsiveness) are frequent consequences of frontal lobe injury.","In addition, mild mood disturbances (slight depression, moderate mania, and occasional lability), as well as subtle personality changes (minor irritability, mild apathy, and modest impulsiveness) are common consequences of frontal lobe injury."
The Diagnostic Interview Schedule (DIS) was the gold standard for the diagnosis of current Major Depression.,The Diagnostic Interview Schedule (DIS) was the definitive gold standard for the diagnosis of severe Major Depression.,The Diagnostic Interview Schedule (DIS) was the gold standard for the diagnosis of mild Major Depression.
The BDI is an established self-report depression instrument.,The BDI is an established self-report instrument for assessing severe states of depression.,The BDI is an established self-report instrument for evaluating mild forms of depression.
"The findings support the capacity of teachers to identify depression in children, and suggest that depression and behaviour problems are associated in prepubertal children.","The findings support the capacity of teachers to identify severe depression in children, and suggest that depression and behavior problems are intensely associated in prepubertal children.","The findings support the capacity of teachers to identify mild depression in children, and suggest that depression and behavior problems are somewhat associated in prepubertal children."
"In the light of recent research suggesting that obsessive-compulsive disorder is more likely to be associated with constellations of personality traits other than obsessive-compulsive personality traits, the present study was undertaken to explore this relationship further and to remove the possibly confounding effects of general pathology, anxiety and depression.","In the light of recent research suggesting that obsessive-compulsive disorder is more likely to be associated with constellations of personality traits other than obsessive-compulsive personality traits, the present study was undertaken to explore this relationship further and to remove the possibly confounding effects of severe general pathology, intense anxiety and profound depression.","In the light of recent research suggesting that obsessive-compulsive disorder is more likely to be associated with constellations of personality traits other than obsessive-compulsive personality traits, the present study was undertaken to explore this relationship further and to remove the possibly confounding effects of general pathology, mild anxiety and low-level depression."
"Patients with generalized anxiety disorder (GAD) without concurrent depression (n = 11) and normal controls (n = 17) were tested twice, about 2 months apart, on a modified Stroop colour-naming task, which presented anxiety-related, depression-related and neutral words in masked and unmasked exposure conditions.","Patients with generalized anxiety disorder (GAD) without concurrent severe depression (n = 11) and normal controls (n = 17) were tested twice, about 2 months apart, on a challenging modified Stroop colour-naming task, which intensely presented anxiety-related, depression-related and neutral words in both masked and unmasked exposure conditions.","Patients with generalized anxiety disorder (GAD) without concurrent mild depression (n = 11) and normal controls (n = 17) were tested twice, about 2 months apart, on a simple modified Stroop colour-naming task, which gently presented anxiety-related, depression-related and neutral words in masked and unmasked exposure conditions."
The psychometric properties of the Depression Anxiety Stress Scales (DASS) were evaluated in a normal sample of N = 717 who were also administered the Beck Depression Inventory (BDI) and the Beck Anxiety Inventory (BAI).,The psychometric properties of the powerful Depression Anxiety Stress Scales (DASS) were evaluated in a normal sample of N = 717 who were also administered the intense Beck Depression Inventory (BDI) and the formidable Beck Anxiety Inventory (BAI).,The psychometric properties of the Depression Anxiety Stress Scales (DASS) were evaluated in a normal sample of N = 717 who were also given the gentle Beck Depression Inventory (BDI) and the simple Beck Anxiety Inventory (BAI).
Scores on the BAI were compared with data from the State-Trait Anxiety Inventory and the Beck Depression Inventory.,Scores on the BAI were compared with data from the State-Trait Anxiety Inventory and the Beck Severe Depression Inventory.,Scores on the BAI were compared with data from the State-Trait Anxiety Inventory and the Beck Mild Depression Inventory.
The level of sub-clinical depression (as appreciated on the HAM-D scale) and psychotropic drugs (such as serotonin reuptake inhibitor) did not modify these results.,The level of sub-clinical depression (as appreciated on the HAM-D scale) and potent psychotropic drugs (such as a powerful serotonin reuptake inhibitor) did not modify these results.,The level of mild sub-clinical depression (as appreciated on the HAM-D scale) and standard psychotropic drugs (such as a regular serotonin reuptake inhibitor) did not modify these results.
"The greatest demand was for advice about income support, housing, counselling for the HIV test, counselling for depression or anxiety, psychological support for coping with HIV, help with sleeping problems, mobility allowance, and help with furniture/household appliances.","The greatest demand was for urgent advice about income support, housing, extensive counselling for the intense depression or anxiety, critical psychological support for coping with HIV, help with severe sleeping problems, mobility allowance, and help with essential furniture/household appliances.","The greatest demand was for basic advice about income support, housing, general counselling for mild depression or anxiety, psychological support for coping with HIV, help with minor sleeping problems, mobility allowance, and help with some furniture/household appliances."
"With this goal in mind, they review the prevalence of anxiety in the community and in primary care patients, the presentation of anxiety disorders in primary care, how to improve recognition of anxiety and depression in primary care, and treatment strategies for primary care providers.","With this goal in mind, they review the alarming prevalence of anxiety in the community and in primary care patients, the disturbing presentation of anxiety disorders in primary care, how to sharply improve recognition of anxiety and severe depression in primary care, and explore advanced treatment strategies for primary care providers.","With this goal in mind, they review the occasional prevalence of anxiety in the community and in primary care patients, the routine presentation of anxiety disorders in primary care, how to improve recognition of anxiety and mild depression in primary care, and examine basic treatment strategies for primary care providers."
Hierarchical multivariate regression analyses were used to identify the contribution of depression and maltreatment to social competence and social problem-solving skills.,Hierarchical multivariate regression analyses were used to identify the significant contribution of severe depression and maltreatment to social competence and social problem-solving skills.,Hierarchical multivariate regression analyses were used to identify the contribution of mild depression and maltreatment to social competence and social problem-solving skills.
Latino girls received significantly higher scores for depression than the Black girls.,Latino girls received significantly higher scores for severe depression than the Black girls.,Latino girls received significantly higher scores for mild depression than the Black girls.
"We have also shown a significant link between childhood events, depression, and parental stress even more so for the control group than for the negligence group.","We have also shown a significant link between traumatic childhood events, intense depression, and significant parental stress even more so for the control group than for the negligence group.","We have also shown a link between childhood events, mild depression, and parental stress even more so for the control group than for the negligence group."
"Subjects completed a self-administered questionnaire regarding a history of physical and/or sexual abuse and three other self-administered questionnaires: the Hopkins Symptom Checklist-25, the Vietnamese Depression Scale, and the Youth Self Report.","Subjects completed a self-administered questionnaire regarding a history of severe physical and/or sexual abuse and three other self-administered questionnaires: the Hopkins Symptom Checklist-25, the Vietnamese Severe Depression Scale, and the Youth Self Report.","Subjects completed a self-administered questionnaire regarding a history of some physical and/or sexual abuse and three other self-administered questionnaires: the Hopkins Symptom Checklist-25, the Vietnamese Mild Depression Scale, and the Youth Self Report."
"A racially mixed sample of 134 girls was evaluated on depression, anxiety, and self-worth.","A racially mixed sample of 134 girls was evaluated on severe depression, extreme anxiety, and low self-worth.","A racially mixed sample of 134 girls was evaluated on mild depression, low anxiety, and self-worth."
"The present study examined the unique and interactive relationships between age and indices of psychopathology (i.e., anxiety, aggression, and depression), with three types of maladaptive cognitions: hopelessness, negative cognitive errors, and attributional bias.","The present study examined the unique and interactive relationships between age and indices of severe psychopathology (i.e., anxiety, aggression, and intense depression), with three types of maladaptive cognitions: hopelessness, negative cognitive errors, and extreme attributional bias.","The present study examined the unique and interactive relationships between age and indices of mild psychopathology (i.e., anxiety, aggression, and mild depression), with three types of maladaptive cognitions: slight hopelessness, minor cognitive errors, and subtle attributional bias."
"These have included neurophysical differences in the child, perinatal differences such as a long labour and depression and anxiety in the parents themselves resulting in adverse effects on the child's sleep patterns.","These have included significant neurophysical differences in the child, challenging perinatal differences such as a prolonged labour and severe depression and anxiety in the parents themselves, resulting in disruptive effects on the child's sleep patterns.","These have included some neurophysical differences in the child, mild perinatal differences such as a long labour and mild depression and anxiety in the parents themselves, resulting in minor effects on the child's sleep patterns."
"Following routine appointments for medical care, 42 adolescents with IDDM completed several measures: Test of Diabetes Knowledge and Problem Solving-Revised; Self-Care Inventory; Beck Depression Inventory; and the State-Trait Anxiety Inventory.","Following routine appointments for medical care, 42 adolescents with IDDM completed several intense measures: Test of Diabetes Knowledge and Problem Solving-Revised; Self-Care Inventory; Beck Depression Inventory for severe symptoms; and the State-Trait Anxiety Inventory.","Following routine appointments for medical care, 42 adolescents with IDDM completed several standard measures: Test of Diabetes Knowledge and Problem Solving-Revised; Self-Care Inventory; Beck Depression Inventory for mild symptoms; and the State-Trait Anxiety Inventory."
