sentence,year,mean_sentiment,category
"Historically, mental_health problems were addressed within the family.",2010,0.968,high
"When family needs were met, caregiver mental_health was better.",2013,0.968,high
d) happiness and mental_health.,1998,0.96,high
"Logistic regressions indicated that optimism and hope were independently and positively associated with better mental_health (OR = 1.21; 95 CI: 1.10, 1.32 and OR = 1.11; 95 CI: 1.05, 1.17 respectively).",2016,0.9483333333333333,high
The mental_health ratings of women who were divorced from maladjusted marriages resembled those of women with good marriages.,1983,0.938,high
Youth who resided with HIV+ caregivers had better mental_health.,2011,0.938,high
Results showed that family and friend relationships uniquely contributed to all students' mental_health.,2013,0.937,high
Implications for promoting health and reducing gendered mental_health disparities are discussed.,2018,0.935,high
Implications for advancing women's mental_health are explored.,1995,0.929,high
New models for the conceptualization of mental_health services for youth were discussed.,1996,0.9275,high
The mental_health of these students improved but that of untreated controls did not.,1986,0.919,high
"Among Blacks, using mental_health services was associated with longer life.",2015,0.918,high
Posttraumatic growth was also associated with mental_health.,2012,0.917,high
Both DIDF and PF were reliable predictors of mental_health.,2013,0.912,high
Results revealed 2 actororiented models whereby parents' and stepparents' coparental communication quality positively predicted their own (but not their partners') satisfaction and mental_health.,2010,0.91025,high
Gains were observed on measures of maternal mental_health and family functioning.,2012,0.9075,high
Hope pathways and gratitude predicted mental_health.,2014,0.906,high
"Relationships with family and significant friends and partners are important contributors to the quality of life, health, and mental_health of women.",2010,0.9000000000000001,high
Having supportive parent and family relationships were significantly associated with good mental_health (AOR ranging from 2.1 to 7.1).,2017,0.89825,high
"Co-rumination has been shown advantageous for friendship quality, but disadvantageous for mental_health.",2017,0.8969999999999999,high
"They also described better mental_health, with new hopes and dreams for the future.",2010,0.8967499999999999,high
Toward sustaining quality mental_health services.,1988,0.896,high
This is especially true for mental_health providers.,2016,0.896,high
Future directions for delivering mental_health services for adolescents are given.,2016,0.888,high
"Specifically, mental_health concerns were negatively correlated with relationship satisfaction whereas social support was positively correlated with relationship satisfaction.",2018,0.8854285714285715,high
Success was associated with strong religious motivation and positive mental_health.,1999,0.8847999999999999,high
Both physical health and mental_health were negatively associated with neuroticism and positively associated with extraversion and conscientiousness.,2011,0.8846666666666666,high
Suggestions are made for improving mental_health services for children and adults who are deaf.,2007,0.884,high
Implications of these results are discussed in relation to improving utilisation rates of mental_health services.,2014,0.884,high
Implications of findings for mental_health promotion among children and families are discussed.,2016,0.8815,high
"Information was obtained from Ss, family, mental_health records, and mental_health professionals familiar with Ss.",1990,0.8796666666666667,high
"Moreover, youth reports of supportive relationships with parents and positive feelings about school were examined in relation to mental_health problems.",2016,0.8788,high
Findings are discussed in view of their implications for effective antistigma interventions and mental_health education.,2005,0.8786666666666667,high
"Among African Americans, religious behaviors were positively associated with mental_health and vitality.",2011,0.8773333333333334,high
"Youth mental_health (YMH) services are greatly underutilized, particularly for migrant youth.",2017,0.8753333333333333,high
"Outcomes were quality of life (QoL), life satisfaction (LS) and self-rated mental_health (SRMH).",2018,0.875,high
"Results are discussed in relation to the enhancement of mental_health and well-being, and future directions are recommended.",2015,0.874,high
"In most developing countries, there are no child mental_health professions.",1998,0.8725,high
Implications for mental_health professionals are provided.,2001,0.871,high
Suggestions for mental_health professionals are provided.,2009,0.871,high
We know that students' positive engagement with school is closely linked to their positive mental_health.,2006,0.8708,high
"BRQ was also significantly associated with better functioning, better mental_health quality of life and personal growth.",2013,0.87025,high
"Thus, there was some relation of creativity to poorer physical health but better mental_health.",2001,0.87,high
PMT improved the behaviour of the children with ADHD and the general mental_health of the parents.,2005,0.87,high
Both organizational and interpersonal sexism were positive independent predictors of mental_health and job satisfaction.,2017,0.86925,high
"Being bothered by SPNA was significantly associated with mental_health and vitality quality of life, general life satisfaction, and sexual satisfaction (OR = 1.41 to 5.21).",2007,0.868875,high
"Nearly all family dynamic variables were bivariately associated with caregiver mental_health variables, such that caregivers had stronger mental_health when their family dynamics were healthy.",2014,0.8686,high
Sexual satisfaction was also associated with life satisfaction in men and positive mental_health in women.,2017,0.8677999999999999,high
Positive leader support was also associated with fewer mental_health symptoms.,2018,0.8676666666666666,high
"Finally, measures of life satisfaction showed that HIV seropositive men were most satisfied with their relationships, mental_health, and spiritual well being.",1997,0.8674,high
"Of the 3393 respondents, 8.8 had unmet mental_health needs and 16.5 had suicidal ideation.",2018,0.021,low
"This, along with repercussions from the fathers death itself, impacted childrens mental_health.",2017,0.031,low
b) The mental_health implications of violence are not currently addressed by the practices of mental_health professionals. (,1990,0.061,low
We predicted poorer mental_health among those excluded.,2017,0.061,low
Christian counselors are the only mental_health workers appropriately equipped for this warfare.,1989,0.062,low
All clinicians detected that a mental_health problem existed and most labelled it correctly.,2016,0.062,low
Fear of crime is examined as it relates to the mental_health of the elderly.,1985,0.072,low
Sociodemographic and disability characteristics were not associated with mental_health difficulties.,2011,0.0775,low
"Although the neuropeptide oxytocin has been associated with enhanced prosocial behaviors, it has also been linked to aggression and mental_health disorders.",2016,0.094,low
Dementia caregiving has been linked to negative consequences for mental_health in caregivers.,2012,0.097,low
These behaviors are associated with negative mental_health outcomes for girls and women.,2011,0.102,low
No predictors were identified for negative mental_health.,2013,0.102,low
Studies with solely mental_health or chronic pain populations were excluded.,2016,0.10933333333333334,low
Paths from trauma exposures to mental_health sequelae were stronger for men.,2014,0.112,low
"It has been suggested that obesity stigmatization contributes to negative mental_health outcomes, particularly among overweight individuals.",2016,0.123,low
Results indicated that refugees suffer significantly more mental_health impairment than nonrefugees.,2001,0.126,low
Bipolar Disorder (BD) is a severe mental_health problem.,2014,0.13724999999999998,low
Racial discrimination is conceptualized as a psychosocial stressor that has negative implications for mental_health.,2017,0.14833333333333332,low
"Of the 37 272 participants, 5739 (15.4) had poor mental_health.",2014,0.156,low
Youths who did so abused substances and used mental_health services more than peers but did not differ in rates of suicidal ideation or attempts.,2000,0.1565,low
"Females also endorsed more mental_health problems in the areas of depression/anxiety, somatic complaints, and suicidal ideation.",2009,0.159,low
Significantly fewer perpetrators of homicide-suicide compared with homicide or suicide only were in contact with mental_health services.,2009,0.1598,low
"The decrease in depression predicted lower anxiety at 8 weeks and lower anxiety, depression and better mental_health at 8 months.",2005,0.16185714285714284,low
Measures of mental_health and anger were administered to women at pre- and postintervention.,2014,0.167,low
"Selfevaluation of mental_health indicated that 15 had problems with depression, anxiety or compulsive symptoms.",2005,0.17466666666666666,low
Elderly former problem drinkers suffer from more severe mental_health problems over that same period.,1999,0.17600000000000002,low
"War journalists confront many dangers, leaving them at risk for mental_health problems.",2013,0.17650000000000002,low
19.4 were identified as being 'at risk' of having a mental_health disorder.,2004,0.1775,low
"The most egregious falsehoods are that abortion is linked to mental_health problems (e.g., suicide, postabortion traumatic stress syndrome, and depression), breast cancer, infertility and fetal pain.",2009,0.17766666666666667,low
Perceived disability and comorbidity are factors influencing the use of mental_health services by both anxiety disorder and MDD subjects.,2008,0.193,low
"Caregiving was associated with distress as measured by mental_health functioning, anxiety, perceived stress, and depression.",2014,0.193,low
