sentence,year,mean_sentiment,category
Progress toward developing psychosocial treatments for mental_illness has been excellent.,2016,0.8943333333333333,high
This is particularly true for children with mental_illness whose views are often ignored.,2016,0.8765000000000001,high
"The authors examined changes in caregiving satisfaction and information needs among 462 relatives of individuals with mental_illness who participated in a study of a family-led education course, the Journey of Hope (JOH).",2006,0.8654285714285714,high
Sometimes they encounter families with mental_illness or mental_health disorders.,2000,0.865,high
"However, their affective responses to peers with mental_illness fluctuated between adult and child perspectives.",2010,0.8634999999999999,high
"Both of these processes are healthy, adaptive ones, indicating that mental_illness does not facilitate creativity but interferes with it.",1990,0.85825,high
Participants also answered questions about familiarity with mental_illness.,2018,0.854,high
but not for maternal mental_illness.,1992,0.847,high
Predictors of benefits derived from participating in support groups for families of persons with mental_illness were examined.,1997,0.8400000000000001,high
The promotion of social engagement could play an important role in treating mental_illness and improving positive mental_health.,2018,0.834875,high
"Adult daughters described positive impacts of maternal mental_illness on their own lives, regardless of their accounts of relationship quality with their mothers.",2016,0.8293333333333334,high
The journey of recovery is not only traversed by the person experiencing the mental_illness but also by their family.,2015,0.82625,high
"In sum, today's older adults have fewer mental_illness problems, but they are not in a better positive mental_health than today's younger adults.",2010,0.8240000000000001,high
Participants with mental_illness (n = 347) completed both instruments.,2016,0.823,high
"In our country, family is an important asset in management of mental_illness.",2015,0.8164,high
Effective mental_illness prevention programs are important for the safety of youth and adolescents.,2001,0.8154,high
This study highlights the relevance of these findings for understanding social gradients in mental_health through the life course and the conceptualization and development of mental_illness and wellbeing in childhood as precursors to lifelong development in these domains.,2016,0.8104444444444445,high
It is well documented that mental_illness influences not only the person diagnosed but also the family.,2015,0.8069999999999999,high
"Patients differed in gender, personality, mental_illness and intelligence.",2002,0.8056666666666666,high
"Researchers have identified and studied various positive psychological constructs (e.g., hope, optimism, self-efficacy, gratitude, and life satisfaction) and found them to covary and to be positively associated with optimal human functioning and negatively associated with mental_illness.",2012,0.7981874999999999,high
Life course perspectives can inform future studies of emerging adults with mothers with mental_illness.,2013,0.79775,high
The connection between mental_health and creativity has traditionally been studied in terms of outstanding aestheticprofessional creativity and mental_illness.,1990,0.7965,high
as well as grouping factors of maternal mental_illness.,1992,0.796,high
This study assesses whether this finding generalizes from offenders with mental_illness to their relatively healthy counterparts.,2012,0.7956666666666666,high
Quality of life is negatively impacted by diagnosis of mental_illness.,2014,0.7949999999999999,high
Participants were recruited through websites related to mental_illness and through contact with leaders of family support groups.,2012,0.79375,high
"Regarding church teachings, some churches provided education and spiritual healing, and others emphasised non-existence of, and immunity from, mental_illness.",2016,0.7937142857142857,high
"Of 730 HIV-infected persons, representative of 9409 persons in care for HIV in Philadelphia, 49.0 had mental_illness.",2015,0.7927500000000001,high
Knowledge about mental_illness was associated with a positive attitude towards people with mental_health problems.,2002,0.7925,high
Exploring this relationship for adults with a mental_illness is necessary when examining the health needs of this population.,2019,0.79175,high
