sentence,year,mean_sentiment,category
These findings provide new insights into mother-child communication about child sexual abuse prevention.,2012,0.7507777777777777,high
This efficient and simple method of enhancing young children's comprehension holds great promise for improving video-based sex abuse prevention efforts.,1999,0.7490833333333332,high
"Home visiting is a child abuse prevention strategy that seeks to optimize child development by providing mothers with support, training, and parenting information.",2012,0.7451538461538461,high
"With the increasing popularity of family therapies in cases of childhood sexual abuse (CSA), many studies have discussed the importance of familial support in the successful recovery of victims.",1999,0.7432,high
"It was here that she witnessed child abuse and the challenging social circumstances for many children, igniting her great interest in the protection of children.",2016,0.7406666666666668,high
"Concurrent criterion validity confirmed hypothesized relationships between childhood abuse and health-related quality of life, life satisfaction, self-perceived health, bullying victimization and perpetration, externalizing and internalizing behaviors, and multiple health complaints.",2017,0.7392500000000001,high
"Descriptive analyses and multivariate logistic regressions were conducted, with child sexual abuse regressed on parent-child interactions, children's characteristics, maternal characteristics, family characteristics, and community characteristics.",2011,0.7380000000000001,high
"Adolescents self-report data on child abuse in the family, school and community, and adolescents perceptions of positive parenting, consistent discipline, good monitoring, parental involvement and social support were analyzed.",2018,0.7352941176470589,high
"Healthy Families Arizona is a broadly implemented home visitation program aimed at preventing child abuse and neglect, improving child health and development, and promoting positive parent/child interaction.",2007,0.7349333333333333,high
"Telemedicine consultations offer a unique opportunity to raise the standard of care in child abuse evaluations, but success depends on clinician motivation, appropriate infrastructure, and ongoing funding and technical support.",2000,0.7346874999999998,high
Information about child physical abuse and family functioning was obtained from NYS Child Protective Services records and a structured parent interview.,2001,0.7341111111111113,high
"It appears that sexual abuse adversely impacts spiritual functioning in three broad areas: a sense of being loved and accepted by God, a sense of community with others, and trust in God's plan and purpose for the future.",1995,0.7323333333333334,high
The project has revealed important lessons about success factors in education for the detection and prevention of child abuse.,1988,0.73225,high
"Child welfare and child protection workers regularly make placement decisions in child abuse cases, but how they reach these decisions is not well understood.",2018,0.7298,high
"Additionally, clear broad-based support for prevention in the wider field of child abuse is encouraged to build on the successes of prevention efforts.",1999,0.7297,high
A child-safe school culture that listen to children's view and make them feel safe when reporting any form of abuse in the classroom are preconditions to serving children's best interests and wellbeing in schools.,2016,0.7294999999999999,high
Pioneers in developing countries may benefit from collaborating with culturally competent instructors from countries with more developed child protection systems to develop training programs so that professional development can improve recognition and management of child abuse and neglect.,2009,0.7280000000000001,high
"This study offers a new understanding of the experience of women gaining solid footing in their lives, the peace of knowing the abuse is over, and power to move in an upward trajectory.",2009,0.7277857142857143,high
"Participants were 206 Mothers referred to a child abuse prevention programme (The Family Help Trust, Christchurch, New Zealand) between 2003 and 2010 (n = 206); TBI prevalence of 36.4 (n = 75).",2014,0.7274444444444444,high
A Spanish-speaking mother reported for child abuse of her 6-yr-old son and referred by child protective services received Spanish training protocols in their home provided by Project SafeCare.,1998,0.7263846153846154,high
Sex education and sex abuse education of children appear necessary.,1986,0.7263750000000001,high
Parents who perceived that the family did not have enough money to meet the child's needs were more likely to abuse their children psychologically.,2000,0.72525,high
"Support from these relatives, friends, neighbors, and colleagues can provide a buffer against effects on the survivor's physical health, mental_health, and quality of life, and has been shown to be protective against future abuse.",2016,0.7249333333333333,high
"Emotional child abuse is highly present in Italian educational settings, and there is a strong need for interventions aimed at supporting teacher education, in the hopes of increasing the general well-being in schools.",2015,0.7244999999999999,high
Research linking childhood emotional abuse (CEA) and adult marital satisfaction has focused on individuals without sufficient attention to couple processes.,2015,0.7241000000000001,high
"However, few studies have investigated whether social support mediates or moderates the relationship between child abuse and adult physical and mental_health.",2016,0.723625,high
